MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/1/2023 7:48:02,1.16.3,FR1,0,4.16,nan,1,Right,Left,0,1,0,0,nan,nan,0.62
9/1/2023 7:50:49,1.16.3,FR1,0,4.16,nan,1,Left,Left,1,1,0,0,nan,nan,0.24
9/1/2023 7:52:19,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,1,2,0,0,nan,nan,0.20
9/1/2023 7:55:33,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.07
9/1/2023 7:56:13,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,2,3,0,0,nan,nan,0.05
9/1/2023 8:13:50,1.16.3,FR1,0,4.15,3,1,Pellet,Left,2,3,1,0,Timed_out,nan,nan
9/1/2023 8:19:40,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,4,1,0,nan,nan,0.33
9/1/2023 8:21:10,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,5,1,0,nan,nan,0.02
9/1/2023 8:22:36,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,6,1,0,nan,nan,0.02
9/1/2023 8:22:38,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,7,1,0,nan,nan,0.98
9/1/2023 8:37:28,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,8,1,0,nan,nan,0.06
9/1/2023 8:49:28,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,9,1,0,nan,nan,0.07
9/1/2023 8:57:28,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,10,1,0,nan,nan,0.05
9/1/2023 9:01:56,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,11,1,0,nan,nan,0.13
9/1/2023 9:06:34,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,12,1,0,nan,nan,0.02
9/1/2023 9:24:24,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,13,1,0,nan,nan,0.01
9/1/2023 9:24:31,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,14,1,0,nan,nan,0.27
9/1/2023 9:24:32,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,15,1,0,nan,nan,0.57
9/1/2023 9:25:16,1.16.3,FR1,0,4.14,nan,1,Right,Left,2,16,1,0,nan,nan,0.01
9/1/2023 9:25:22,1.16.3,FR1,0,4.15,nan,1,Right,Left,2,17,1,0,nan,nan,0.00
