MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/6/2023 7:00:03,1.16.3,FR1,0,4.14,nan,1,Right,Left,0,1,0,0,nan,nan,0.09
9/6/2023 7:01:25,1.16.3,FR1,0,4.15,nan,1,Right,Left,0,2,0,0,nan,nan,0.17
9/6/2023 7:01:47,1.16.3,FR1,0,4.14,nan,1,Right,Left,0,3,0,0,nan,nan,0.19
9/6/2023 7:03:25,1.16.3,FR1,0,4.14,nan,1,Left,Left,1,3,0,0,nan,nan,0.07
9/6/2023 7:05:17,1.16.3,FR1,0,4.15,3,1,Pellet,Left,1,3,1,0,Timed_out,nan,nan
9/6/2023 7:09:16,1.16.3,FR1,0,4.15,nan,1,Left,Left,2,3,1,0,nan,nan,0.02
9/6/2023 7:09:31,1.16.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,3,3,1,0,nan,nan,0.10
9/6/2023 7:10:29,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,3,4,1,0,nan,nan,0.01
9/6/2023 7:12:02,1.16.3,FR1,0,4.14,nan,1,RightWithPellet,Left,3,5,1,0,nan,nan,0.04
9/6/2023 7:13:05,1.16.3,FR1,0,4.15,nan,1,LeftWithPellet,Left,4,5,1,0,nan,nan,0.00
9/6/2023 7:13:06,1.16.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,5,5,1,0,nan,nan,0.19
9/6/2023 7:15:30,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,5,6,1,0,nan,nan,0.12
9/6/2023 7:16:27,1.16.3,FR1,0,4.15,1,1,Pellet,Left,5,6,2,0,Timed_out,669,nan
9/6/2023 7:18:23,1.16.3,FR1,0,4.15,nan,1,Left,Left,6,6,2,0,nan,nan,0.54
9/6/2023 7:18:24,1.16.3,FR1,0,4.14,nan,1,LeftDuringDispense,Left,7,6,2,0,nan,nan,0.04
