MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/6/2015 1:04:36,1.16.3,FR1,0,4.02,nan,1,Left,Left,1,0,0,0,nan,nan,0.16
9/6/2015 1:10:46,1.16.3,FR1,0,4.02,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.74
9/6/2015 1:11:48,1.16.3,FR1,0,4.02,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.45
9/6/2015 1:12:29,1.16.3,FR1,0,4.02,nan,1,RightWithPellet,Left,3,1,0,0,nan,nan,0.20
9/6/2015 1:13:28,1.16.3,FR1,0,4.02,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.19
9/6/2015 1:13:33,1.16.3,FR1,0,4.02,nan,1,RightWithPellet,Left,4,2,0,0,nan,nan,0.15
9/6/2015 1:17:18,1.16.3,FR1,0,4.02,nan,1,RightWithPellet,Left,4,3,0,0,nan,nan,0.10
9/6/2015 1:18:03,1.16.3,FR1,0,4.02,nan,1,LeftWithPellet,Left,5,3,0,0,nan,nan,0.18
9/6/2015 1:19:11,1.16.3,FR1,0,4.02,nan,1,LeftWithPellet,Left,6,3,0,0,nan,nan,0.46
9/6/2015 1:21:58,1.16.3,FR1,0,4.02,nan,1,RightWithPellet,Left,6,4,0,0,nan,nan,0.04
9/6/2015 1:26:07,1.16.3,FR1,0,4.02,nan,1,RightWithPellet,Left,6,5,0,0,nan,nan,0.18
9/6/2015 1:30:31,1.16.3,FR1,0,4.02,3,1,Pellet,Left,6,5,1,0,Timed_out,nan,nan
9/6/2015 1:39:33,1.16.3,FR1,0,4.02,nan,1,Left,Left,7,5,1,0,nan,nan,0.19
9/6/2015 1:39:40,1.16.3,FR1,0,4.01,nan,1,RightWithPellet,Left,7,6,1,0,nan,nan,0.34
9/6/2015 1:41:36,1.16.3,FR1,0,4.02,1,1,Pellet,Left,7,6,2,0,Timed_out,665,nan
9/6/2015 1:45:19,1.16.3,FR1,0,4.02,nan,1,Right,Left,7,7,2,0,nan,nan,0.06
9/6/2015 1:45:23,1.16.3,FR1,0,4.02,nan,1,Left,Left,8,7,2,0,nan,nan,0.23
