MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/7/2023 11:08:21,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,1,0,0,0,nan,nan,0.13
9/7/2023 11:08:25,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,1,0,1,0,1.03,nan,nan
9/7/2023 11:09:21,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,2,0,1,0,nan,nan,0.30
9/7/2023 11:09:22,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,2,0,2,0,0.36,57,nan
9/7/2023 11:09:59,1.16.3,RevT_L,0,4.04,nan,99,Left,Left,3,0,2,0,nan,nan,0.36
9/7/2023 11:10:00,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,3,0,3,0,0.48,38,nan
9/7/2023 11:10:23,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,4,0,3,0,nan,nan,0.27
9/7/2023 11:10:24,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,4,0,4,0,0.30,24,nan
9/7/2023 11:10:52,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,5,0,4,0,nan,nan,0.25
9/7/2023 11:10:53,1.16.3,RevT_L,0,4.04,1,99,Pellet,Left,5,0,5,0,0.73,29,nan
9/7/2023 11:11:47,1.16.3,RevT_L,0,4.04,nan,99,Left,Left,6,0,5,0,nan,nan,0.33
9/7/2023 11:11:48,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,6,0,6,0,0.42,55,nan
9/7/2023 11:12:21,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,7,0,6,0,nan,nan,0.48
9/7/2023 11:12:22,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,7,0,7,0,0.30,34,nan
9/7/2023 11:12:46,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,8,0,7,0,nan,nan,0.26
9/7/2023 11:12:47,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,8,0,8,0,0.73,25,nan
9/7/2023 11:13:26,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,9,0,8,0,nan,nan,0.16
9/7/2023 11:13:27,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,9,0,9,0,0.55,40,nan
9/7/2023 11:13:57,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,10,0,9,0,nan,nan,0.17
9/7/2023 11:13:58,1.16.3,RevT_L,0,4.04,1,99,Pellet,Left,10,0,10,0,0.54,31,nan
9/7/2023 11:14:15,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,11,0,10,0,nan,nan,0.28
9/7/2023 11:14:17,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,11,0,11,0,0.60,19,nan
9/7/2023 11:14:24,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,12,0,11,0,nan,nan,0.04
9/7/2023 11:14:26,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,12,0,12,0,0.60,8,nan
9/7/2023 11:17:49,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,13,0,12,0,nan,nan,0.30
9/7/2023 11:17:52,1.16.3,RevT_L,0,4.04,nan,99,LeftDuringDispense,Left,14,0,12,0,nan,nan,0.16
9/7/2023 11:17:53,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,14,0,13,0,0.73,208,nan
9/7/2023 11:19:47,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,15,0,13,0,nan,nan,0.10
9/7/2023 11:19:49,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,15,0,14,0,0.73,116,nan
9/7/2023 11:20:16,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,16,0,14,0,nan,nan,0.09
9/7/2023 11:20:17,1.16.3,RevT_L,0,4.03,1,99,Pellet,Left,16,0,15,0,0.42,28,nan
9/7/2023 11:20:36,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,17,0,15,0,nan,nan,0.07
9/7/2023 11:20:38,1.16.3,RevT_L,0,4.05,2,99,Pellet,Left,17,0,16,0,0.85,21,nan
9/7/2023 11:20:40,1.16.3,RevT_L,0,4.04,nan,99,Left,Left,18,0,16,0,nan,nan,0.35
9/7/2023 11:20:42,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,18,0,17,0,1.09,4,nan
9/7/2023 11:21:04,1.16.3,RevT_L,0,4.05,nan,99,Left,Left,19,0,17,0,nan,nan,0.30
9/7/2023 11:21:05,1.16.3,RevT_L,0,4.05,1,99,Pellet,Left,19,0,18,0,0.42,23,nan
9/7/2023 11:28:49,1.16.3,RevT_L,0,4.04,nan,99,Left,Left,20,0,18,0,nan,nan,0.08
