Cohort,Mouse ID,Treatment,Day,Weight
1,M1,fen,Day 1,24.5
1,M2,sal,Day 1,27
1,M3,fen,Day 1,27.2
1,M4,sal,Day 1,27
1,M5,fen,Day 1,25.3
1,M6,sal,Day 1,24.5
1,M7,fen,Day 1,23.8
1,M8,sal,Day 1,27
1,M9,fen,Day 1,23.5
1,M10,sal,Day 1,26.7
2,M11,fen,Day 1,27.8
2,M12,sal,Day 1,27.2
2,M13,fen,Day 1,25
2,M14,sal,Day 1,26.5
2,M15,fen,Day 1,27
2,M16,sal,Day 1,26.1
2,M17,fen,Day 1,25
2,M18,sal,Day 1,23.8
2,M19,fen,Day 1,28
2,M20,sal,Day 1,25.2
1,M1,fen,Day 2,24.1
1,M2,sal,Day 2,26.4
1,M3,fen,Day 2,27.6
1,M4,sal,Day 2,27.5
1,M5,fen,Day 2,25.2
1,M6,sal,Day 2,24.6
1,M7,fen,Day 2,23.7
1,M8,sal,Day 2,21.1
1,M9,fen,Day 2,23.7
1,M10,sal,Day 2,27
2,M11,fen,Day 2,27
2,M12,sal,Day 2,27.5
2,M13,fen,Day 2,24.4
2,M14,sal,Day 2,26.8
2,M15,fen,Day 2,27.7
2,M16,sal,Day 2,24
2,M17,fen,Day 2,26
2,M18,sal,Day 2,25
2,M19,fen,Day 2,27
2,M20,sal,Day 2,26
1,M1,fen,Day 3,24.5
1,M2,sal,Day 3,26.2
1,M3,fen,Day 3,27.7
1,M4,sal,Day 3,27.2
1,M5,fen,Day 3,25.5
1,M6,sal,Day 3,25
1,M7,fen,Day 3,23.3
1,M8,sal,Day 3,24.8
1,M9,fen,Day 3,23.1
1,M10,sal,Day 3,26.5
2,M11,fen,Day 3,27.5
2,M12,sal,Day 3,28.2
2,M13,fen,Day 3,25
2,M14,sal,Day 3,27.3
2,M15,fen,Day 3,28.5
2,M16,sal,Day 3,24
2,M17,fen,Day 3,26
2,M18,sal,Day 3,26.5
2,M19,fen,Day 3,27.5
2,M20,sal,Day 3,26.5
1,M1,fen,Day 4,23.2
1,M2,sal,Day 4,25.6
1,M3,fen,Day 4,27
1,M4,sal,Day 4,26.9
1,M5,fen,Day 4,24.9
1,M6,sal,Day 4,25.8
1,M7,fen,Day 4,23
1,M8,sal,Day 4,25.8
1,M9,fen,Day 4,25
1,M10,sal,Day 4,26.2
2,M11,fen,Day 4,26.5
2,M12,sal,Day 4,27.8
2,M13,fen,Day 4,24.2
2,M14,sal,Day 4,27.1
2,M15,fen,Day 4,28
2,M16,sal,Day 4,23.5
2,M17,fen,Day 4,25.8
2,M18,sal,Day 4,26
2,M19,fen,Day 4,28
2,M20,sal,Day 4,26
1,M1,fen,Day 5,22.5
1,M2,sal,Day 5,25.7
1,M3,fen,Day 5,26.7
1,M4,sal,Day 5,26.2
1,M5,fen,Day 5,23.5
1,M6,sal,Day 5,24.7
1,M7,fen,Day 5,21.6
1,M8,sal,Day 5,26.2
1,M9,fen,Day 5,23.4
1,M10,sal,Day 5,26
2,M11,fen,Day 5,26.4
2,M12,sal,Day 5,27.4
2,M13,fen,Day 5,23.4
2,M14,sal,Day 5,26.6
2,M15,fen,Day 5,27
2,M16,sal,Day 5,26.8
2,M17,fen,Day 5,24.9
2,M18,sal,Day 5,26.4
2,M19,fen,Day 5,27.5
