MM:DD:YYYY,hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/14/93,11:03:00 AM,1.16.3,FR1,0,4.16,nan,1,Left,Left,1,0,0,0,nan,nan,0.43
3/14/93,11:07:00 AM,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.68
3/14/93,11:10:00 AM,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,1,2,0,0,nan,nan,0.3
3/14/93,11:30:00 AM,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,1,3,0,0,nan,nan,0.01
3/14/93,11:33:00 AM,1.16.3,FR1,0,4.16,3,1,Pellet,Left,1,3,1,0,Timed_out,nan,nan
3/14/93,11:36:00 AM,1.16.3,FR1,0,4.16,nan,1,Right,Left,1,4,1,0,nan,nan,0.47
3/14/93,11:36:00 AM,1.16.3,FR1,0,4.16,nan,1,Right,Left,1,5,1,0,nan,nan,0.17
3/14/93,11:38:00 AM,1.16.3,FR1,0,4.16,nan,1,Left,Left,2,5,1,0,nan,nan,0.87
3/14/93,11:38:00 AM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,2,5,2,0,11.58,295,nan
3/14/93,11:55:00 AM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,6,2,0,nan,nan,0.01
3/14/93,12:03:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,7,2,0,nan,nan,0.04
3/14/93,12:06:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,8,2,0,nan,nan,0.17
3/14/93,12:06:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,9,2,0,nan,nan,0.57
3/14/93,12:07:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,10,2,0,nan,nan,0.04
3/14/93,12:07:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,11,2,0,nan,nan,0.09
3/14/93,12:07:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,12,2,0,nan,nan,0
3/14/93,12:46:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,13,2,0,nan,nan,0.06
3/14/93,12:46:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,2,14,2,0,nan,nan,0.71
3/14/93,12:46:00 PM,1.16.3,FR1,0,4.16,nan,1,Left,Left,3,14,2,0,nan,nan,0.15
3/14/93,12:47:00 PM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,3,14,3,0,25.23,4120,nan
3/14/93,12:56:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,3,15,3,0,nan,nan,0.02
3/14/93,1:00:00 PM,1.16.3,FR1,0,4.15,nan,1,Left,Left,4,15,3,0,nan,nan,0.02
3/14/93,1:00:00 PM,1.16.3,FR1,0,4.16,3,1,Pellet,Left,4,15,4,0,3.73,826,nan
3/14/93,1:06:00 PM,1.16.3,FR1,0,4.16,nan,1,Right,Left,4,16,4,0,nan,nan,0.11
3/14/93,1:11:00 PM,1.16.3,FR1,0,4.15,nan,1,Right,Left,4,17,4,0,nan,nan,0.23
3/14/93,1:12:00 PM,1.16.3,FR1,0,4.16,nan,1,Left,Left,5,17,4,0,nan,nan,0.5
3/14/93,1:12:00 PM,1.16.3,FR1,0,4.15,1,1,Pellet,Left,5,17,5,0,13.05,705,nan
3/14/93,1:13:00 PM,1.16.3,FR1,0,4.16,nan,1,Left,Left,6,17,5,0,nan,nan,0.18
3/14/93,1:13:00 PM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,6,17,6,0,3.6,52,nan
3/14/93,1:14:00 PM,1.16.3,FR1,0,4.16,nan,1,Left,Left,7,17,6,0,nan,nan,0.16
3/14/93,1:14:00 PM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,7,17,7,0,10.84,86,nan
3/14/93,1:20:00 PM,1.16.3,FR1,0,4.14,nan,1,Left,Left,8,17,7,0,nan,nan,0.38
3/14/93,1:21:00 PM,1.16.3,FR1,0,4.15,1,1,Pellet,Left,8,17,8,0,17.48,372,nan
3/14/93,1:27:00 PM,1.16.3,FR1,0,4.15,nan,1,Left,Left,9,17,8,0,nan,nan,0.09
3/14/93,1:27:00 PM,1.16.3,FR1,0,4.16,nan,1,LeftDuringDispense,Left,10,17,8,0,nan,nan,0.09
3/14/93,1:27:00 PM,1.16.3,FR1,0,4.16,2,1,Pellet,Left,10,17,9,0,9.86,376,nan
3/14/93,1:31:00 PM,1.16.3,FR1,0,4.15,nan,1,Left,Left,11,17,9,0,nan,nan,0.44
3/14/93,1:31:00 PM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,11,17,10,0,4.34,228,nan
3/14/93,1:45:00 PM,1.16.3,FR1,0,4.15,nan,1,Left,Left,12,17,10,0,nan,nan,0.28
3/14/93,1:46:00 PM,1.16.3,FR1,0,4.16,1,1,Pellet,Left,12,17,11,0,6,895,nan
3/14/93,1:46:00 PM,1.16.3,FR1,0,4.16,nan,1,Left,Left,13,17,11,0,nan,nan,0.03
