MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/4/25 12:48,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,0,1,0,0,nan,nan,0.57
4/4/25 12:49,1.16.3,FR1_R,0,4.04,nan,1,RightWithPellet,Right,0,2,0,0,nan,nan,0.04
4/4/25 12:52,1.16.3,FR1_R,0,4.04,nan,1,LeftWithPellet,Right,1,2,0,0,nan,nan,0.66
4/4/25 12:53,1.16.3,FR1_R,0,4.04,2,1,Pellet,Right,1,2,1,0,Timed_out,nan,nan
4/4/25 12:54,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,1,3,1,0,nan,nan,0.01
4/4/25 12:55,1.16.3,FR1_R,0,4.04,2,1,Pellet,Right,1,3,2,0,48.91,128,nan
4/4/25 12:56,1.16.3,FR1_R,0,4.04,nan,1,Left,Right,2,3,2,0,nan,nan,0.03
4/4/25 12:57,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,2,4,2,0,nan,nan,0.45
4/4/25 12:57,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,2,4,3,0,20.37,145,nan
4/4/25 13:05,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,2,5,3,0,nan,nan,0.11
4/4/25 13:05,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,2,5,4,0,34.42,488,nan
4/4/25 13:10,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,2,6,4,0,nan,nan,0.45
4/4/25 13:11,1.16.3,FR1_R,0,4.03,2,1,Pellet,Right,2,6,5,0,27.69,320,nan
4/4/25 13:21,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,2,7,5,0,nan,nan,0.5
4/4/25 13:21,1.16.3,FR1_R,0,4.03,1,1,Pellet,Right,2,7,6,0,22.34,621,nan
4/4/25 13:23,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,2,8,6,0,nan,nan,0.05
4/4/25 13:27,1.16.3,FR1_R,0,4.03,1,1,Pellet,Right,2,8,7,0,Timed_out,375,nan
4/4/25 13:37,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,2,9,7,0,nan,nan,0.22
4/4/25 13:37,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,2,9,8,0,0.79,592,nan
4/4/25 13:48,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,2,10,8,0,nan,nan,0.13
4/4/25 13:49,1.16.3,FR1_R,0,4.03,1,1,Pellet,Right,2,10,9,0,4.65,679,nan
4/4/25 13:49,1.16.3,FR1_R,0,4.04,nan,1,Right,Right,2,11,9,0,nan,nan,0.04
4/4/25 13:49,1.16.3,FR1_R,0,4.03,1,1,Pellet,Right,2,11,10,0,1.7,45,nan
4/4/25 13:54,1.16.3,FR1_R,0,4.03,nan,1,Left,Right,3,11,10,0,nan,nan,0.06
4/4/25 13:57,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,3,12,10,0,nan,nan,0.08
4/4/25 13:57,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,3,12,11,0,28.81,489,nan
4/4/25 14:18,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,3,13,11,0,nan,nan,0.69
4/4/25 14:18,1.16.3,FR1_R,0,4.04,nan,1,RightDuringDispense,Right,3,14,11,0,nan,nan,0.06
4/4/25 14:18,1.16.3,FR1_R,0,4.04,nan,1,RightDuringDispense,Right,3,15,11,0,nan,nan,0.79
4/4/25 14:18,1.16.3,FR1_R,0,4.03,nan,1,RightDuringDispense,Right,3,16,11,0,nan,nan,0.46
4/4/25 14:18,1.16.3,FR1_R,0,4.03,nan,1,RightDuringDispense,Right,3,17,11,0,nan,nan,0.68
4/4/25 14:18,1.16.3,FR1_R,0,4.03,nan,1,RightDuringDispense,Right,3,18,11,0,nan,nan,0.99
4/4/25 14:18,1.16.3,FR1_R,0,4.03,3,1,Pellet,Right,3,18,12,0,2.99,1256,nan
4/4/25 14:19,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,3,19,12,0,nan,nan,0.02
4/4/25 14:19,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,3,19,13,0,13.79,45,nan
4/4/25 14:20,1.16.3,FR1_R,0,4.03,nan,1,Right,Right,3,20,13,0,nan,nan,0.08
4/4/25 14:20,1.16.3,FR1_R,0,4.03,nan,1,RightWithPellet,Right,3,21,13,0,nan,nan,0.24
4/4/25 14:20,1.16.3,FR1_R,0,4.03,nan,1,RightWithPellet,Right,3,22,13,0,nan,nan,0.07
4/4/25 14:20,1.16.3,FR1_R,0,4.04,nan,1,RightWithPellet,Right,3,23,13,0,nan,nan,0.45
4/4/25 14:20,1.16.3,FR1_R,0,4.04,1,1,Pellet,Right,3,23,14,0,22.44,61,nan
