MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16
2/7/25 17:48,1.16.3,FR1,0,4.05,,1,Right,Left,0,1,0,0,,,0.01,
2/7/25 17:49,1.16.3,FR1,0,4.05,,1,Left,Left,1,1,0,0,,,0.02,
2/7/25 17:49,1.16.3,FR1,0,4.05,,1,LeftDuringDispense,Left,2,1,0,0,,,0.05,
2/7/25 17:50,1.16.3,FR1,0,4.05,,1,RightWithPellet,Left,2,2,0,0,,,0.52,
2/7/25 18:05,1.16.3,FR1,0,4.05,,1,LeftWithPellet,Left,3,2,0,0,,,0.2,
2/7/25 18:07,1.16.3,FR1,0,4.05,4.0,1,Pellet,Left,3,2,1,0,Timed_out,,,
2/7/25 18:08,1.16.3,FR1,0,4.05,,1,Right,Left,3,3,1,0,,,0.06,
2/7/25 18:12,1.16.3,FR1,0,4.05,,1,Right,Left,3,4,1,0,,,0.08,
2/7/25 18:29,1.16.3,FR1,0,4.05,,1,Left,Left,4,4,1,0,,,0.06,
2/7/25 18:29,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,4,4,2,0,7.46,1340.0,,
2/7/25 18:29,1.16.3,FR1,0,4.05,,1,Right,Left,4,5,2,0,,,0.42,
2/7/25 18:30,1.16.3,FR1,0,4.05,,1,Right,Left,4,6,2,0,,,0.39,
2/7/25 18:31,1.16.3,FR1,0,4.04,,1,Left,Left,5,6,2,0,,,0.21,
2/7/25 18:31,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,5,6,3,0,14.09,143.0,,
2/7/25 18:35,1.16.3,FR1,0,4.05,,1,Left,Left,6,6,3,0,,,0.44,
2/7/25 18:35,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,6,6,4,0,6.3,199.0,,
2/7/25 18:36,1.16.3,FR1,0,4.05,,1,Right,Left,6,7,4,0,,,0.36,
2/7/25 18:36,1.16.3,FR1,0,4.05,,1,Right,Left,6,8,4,0,,,0.03,
2/7/25 18:36,1.16.3,FR1,0,4.05,,1,Right,Left,6,9,4,0,,,0.39,
2/7/25 18:36,1.16.3,FR1,0,4.05,,1,Right,Left,6,10,4,0,,,0.31,
2/7/25 18:37,1.16.3,FR1,0,4.05,,1,Left,Left,7,10,4,0,,,0.11,
2/7/25 18:37,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,7,10,5,0,32.29,153.0,,
2/7/25 18:40,1.16.3,FR1,0,4.05,,1,Left,Left,8,10,5,0,,,0.24,
2/7/25 18:40,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,8,10,6,0,4.83,187.0,,
2/7/25 18:42,1.16.3,FR1,0,4.05,,1,Right,Left,8,11,6,0,,,0.07,
2/7/25 18:48,1.16.3,FR1,0,4.05,,1,Right,Left,8,12,6,0,,,0.23,
2/7/25 18:48,1.16.3,FR1,0,4.05,,1,Right,Left,8,13,6,0,,,0.16,
2/7/25 18:48,1.16.3,FR1,0,4.05,,1,Right,Left,8,14,6,0,,,0.01,
2/7/25 18:50,1.16.3,FR1,0,4.05,,1,Left,Left,9,14,6,0,,,0.38,
2/7/25 18:50,1.16.3,FR1,0,4.05,,1,LeftWithPellet,Left,10,14,6,0,,,0.17,
2/7/25 18:50,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,10,14,7,0,4.36,609.0,,
2/7/25 18:52,1.16.3,FR1,0,4.05,,1,Right,Left,10,15,7,0,,,0.02,
2/7/25 18:54,1.16.3,FR1,0,4.05,,1,Right,Left,10,16,7,0,,,0.05,
2/7/25 19:18,1.16.3,FR1,0,4.05,,1,Left,Left,11,16,7,0,,,0.13,
2/7/25 19:18,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,11,16,8,0,4.28,1641.0,,
2/7/25 19:18,1.16.3,FR1,0,4.05,,1,Right,Left,11,17,8,0,,,0.46,
2/7/25 19:18,1.16.3,FR1,0,4.05,,1,Left,Left,12,17,8,0,,,0.23,
2/7/25 19:19,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,12,17,9,0,9.86,43.0,,
2/7/25 19:19,1.16.3,FR1,0,4.05,,1,Right,Left,12,18,9,0,,,0.25,
2/7/25 19:19,1.16.3,FR1,0,4.05,,1,Right,Left,12,19,9,0,,,0.38,
2/7/25 19:19,1.16.3,FR1,0,4.05,,1,Right,Left,12,20,9,0,,,0.31,
2/7/25 19:20,1.16.3,FR1,0,4.05,,1,Right,Left,12,21,9,0,,,0.06,
2/7/25 19:20,1.16.3,FR1,0,4.05,,1,Right,Left,12,22,9,0,,,0.03,
2/7/25 19:22,1.16.3,FR1,0,4.05,,1,Left,Left,13,22,9,0,,,0.15,
2/7/25 19:22,1.16.3,FR1,0,4.05,2.0,1,Pellet,Left,13,22,10,0,13.19,197.0,,
2/7/25 19:23,1.16.3,FR1,0,4.05,,1,Right,Left,13,23,10,0,,,0.03,
2/7/25 19:33,1.16.3,FR1,0,4.05,,1,Right,Left,13,24,10,0,,,0.09,
2/7/25 19:34,1.16.3,FR1,0,4.05,,1,Right,Left,13,25,10,0,,,0.19,
2/7/25 19:39,1.16.3,FR1,0,4.05,,1,Right,Left,13,26,10,0,,,0.05,
2/7/25 19:39,1.16.3,FR1,0,4.05,,1,Right,Left,13,27,10,0,,,0.18,
2/7/25 19:39,1.16.3,FR1,0,4.05,,1,Right,Left,13,28,10,0,,,0.12,
2/7/25 19:43,1.16.3,FR1,0,4.05,,1,Right,Left,13,29,10,0,,,0.1,
2/7/25 19:43,1.16.3,FR1,0,4.05,,1,Left,Left,14,29,10,0,,,0.06,
2/7/25 19:43,1.16.3,FR1,0,4.05,,1,LeftDuringDispense,Left,15,29,10,0,,,0.01,
2/7/25 19:43,1.16.3,FR1,0,4.05,2.0,1,Pellet,Left,15,29,11,0,17.12,1299.0,,
2/7/25 19:44,1.16.3,FR1,0,4.05,,1,Right,Left,15,30,11,0,,,0.15,
2/7/25 19:44,1.16.3,FR1,0,4.05,,1,Right,Left,15,31,11,0,,,0.03,
2/7/25 19:50,1.16.3,FR1,0,4.05,,1,Left,Left,16,31,11,0,,,0.23,
2/7/25 19:50,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,16,31,12,0,6.12,386.0,,
2/7/25 19:53,1.16.3,FR1,0,4.05,,1,Right,Left,16,32,12,0,,,0.03,
2/7/25 19:55,1.16.3,FR1,0,4.05,,1,Right,Left,16,33,12,0,,,0.06,
2/7/25 19:56,1.16.3,FR1,0,4.05,,1,Left,Left,17,33,12,0,,,0.19,
2/7/25 19:56,1.16.3,FR1,0,4.05,,1,LeftWithPellet,Left,18,33,12,0,,,0.07,
2/7/25 19:56,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,18,33,13,0,19.76,371.0,,
2/7/25 19:58,1.16.3,FR1,0,4.05,,1,Right,Left,18,34,13,0,,,0.2,
2/7/25 20:03,1.16.3,FR1,0,4.05,,1,Right,Left,18,35,13,0,,,0.17,
2/7/25 20:04,1.16.3,FR1,0,4.05,,1,Right,Left,18,36,13,0,,,0.08,
2/7/25 20:04,1.16.3,FR1,0,4.05,,1,Right,Left,18,37,13,0,,,0.0,
2/7/25 20:05,1.16.3,FR1,0,4.05,,1,Right,Left,18,38,13,0,,,0.11,
2/7/25 20:05,1.16.3,FR1,0,4.05,,1,Right,Left,18,39,13,0,,,0.05,
2/7/25 20:05,1.16.3,FR1,0,4.05,,1,Right,Left,18,40,13,0,,,0.04,
2/7/25 20:05,1.16.3,FR1,0,4.05,,1,Right,Left,18,41,13,0,,,0.05,
2/7/25 20:06,1.16.3,FR1,0,4.05,,1,Right,Left,18,42,13,0,,,0.24,
2/7/25 20:06,1.16.3,FR1,0,4.04,,1,Right,Left,18,43,13,0,,,0.15,
2/7/25 20:06,1.16.3,FR1,0,4.05,,1,Right,Left,18,44,13,0,,,0.22,
2/7/25 20:06,1.16.3,FR1,0,4.05,,1,Right,Left,18,45,13,0,,,0.22,
2/7/25 20:06,1.16.3,FR1,0,4.04,,1,Right,Left,18,46,13,0,,,0.08,
2/7/25 20:06,1.16.3,FR1,0,4.05,,1,Left,Left,19,46,13,0,,,0.19,
2/7/25 20:07,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,19,46,14,0,4.04,627.0,,
2/7/25 20:13,1.16.3,FR1,0,4.05,,1,Right,Left,19,47,14,0,,,0.27,
2/7/25 20:17,1.16.3,FR1,0,4.05,,1,Right,Left,19,48,14,0,,,0.07,
2/7/25 20:19,1.16.3,FR1,0,4.05,,1,Left,Left,20,48,14,0,,,0.3,
2/7/25 20:19,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,20,48,15,0,3.85,730.0,,
2/7/25 20:20,1.16.3,FR1,0,4.05,,1,Left,Left,21,48,15,0,,,0.15,
2/7/25 20:20,1.16.3,FR1,0,4.04,1.0,1,Pellet,Left,21,48,16,0,2.2,58.0,,
2/7/25 20:21,1.16.3,FR1,0,4.05,,1,Left,Left,22,48,16,0,,,0.22,
2/7/25 20:21,1.16.3,FR1,0,4.05,2.0,1,Pellet,Left,22,48,17,0,10.73,79.0,,
2/7/25 20:22,1.16.3,FR1,0,4.04,,1,Left,Left,23,48,17,0,,,0.06,
2/7/25 20:22,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,23,48,18,0,3,36.0,,
2/7/25 20:22,1.16.3,FR1,0,4.05,,1,Left,Left,24,48,18,0,,,0.03,
2/7/25 20:22,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,24,48,19,0,4.16,34.0,,
2/7/25 20:23,1.16.3,FR1,0,4.05,,1,Right,Left,24,49,19,0,,,0.21,
2/7/25 20:24,1.16.3,FR1,0,4.04,,1,Right,Left,24,50,19,0,,,0.37,
2/7/25 20:24,1.16.3,FR1,0,4.05,,1,Left,Left,25,50,19,0,,,0.29,
2/7/25 20:24,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,25,50,20,0,2.63,120.0,,
2/7/25 20:27,1.16.3,FR1,0,4.04,,1,Right,Left,25,51,20,0,,,0.02,
2/7/25 20:33,1.16.3,FR1,0,4.04,,1,Left,Left,26,51,20,0,,,0.12,
2/7/25 20:33,1.16.3,FR1,0,4.04,1.0,1,Pellet,Left,26,51,21,0,2.14,531.0,,
2/7/25 20:45,1.16.3,FR1,0,4.05,,1,Left,Left,27,51,21,0,,,0.0,
2/7/25 20:45,1.16.3,FR1,0,4.05,1.0,1,Pellet,Left,27,51,22,0,15.77,742.0,,
2/7/25 21:04,1.16.3,FR1,0,4.04,,1,Right,Left,27,52,22,0,,,0.63,
