MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/7/2025 17:40:37,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,0,1,0,0,nan,nan,0.05
2/7/2025 17:40:37,1.16.3,FR1_R,0,4.09,nan,1,RightDuringDispense,Right,0,2,0,0,nan,nan,0.01
2/7/2025 18:27:22,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,0,3,0,0,nan,nan,0.03
2/7/2025 18:28:06,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,0,4,0,0,nan,nan,0.01
2/7/2025 18:33:09,1.16.3,FR1_R,0,4.09,nan,1,LeftWithPellet,Right,1,4,0,0,nan,nan,0.01
2/7/2025 18:43:05,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,1,5,0,0,nan,nan,1.17
2/7/2025 18:45:14,1.16.3,FR1_R,0,4.09,nan,1,LeftWithPellet,Right,2,5,0,0,nan,nan,0.32
2/7/2025 18:45:16,1.16.3,FR1_R,0,4.09,nan,1,LeftWithPellet,Right,3,5,0,0,nan,nan,0.59
2/7/2025 18:56:31,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,3,6,0,0,nan,nan,0.09
2/7/2025 19:02:21,1.16.3,FR1_R,0,4.09,nan,1,LeftWithPellet,Right,4,6,0,0,nan,nan,0.30
2/7/2025 19:08:41,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,4,7,0,0,nan,nan,0.29
2/7/2025 19:09:02,1.16.3,FR1_R,0,4.09,nan,1,RightWithPellet,Right,4,8,0,0,nan,nan,0.35
2/7/2025 19:26:32,1.16.3,FR1_R,0,4.09,4,1,Pellet,Right,4,8,1,0,Timed_out,nan,nan
2/7/2025 19:31:23,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,5,8,1,0,nan,nan,0.03
2/7/2025 19:58:42,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,5,9,1,0,nan,nan,0.27
2/7/2025 19:59:42,1.16.3,FR1_R,0,4.09,2,1,Pellet,Right,5,9,2,0,56.94,1990,nan
2/7/2025 20:19:16,1.16.3,FR1_R,0,4.07,nan,1,Left,Right,6,9,2,0,nan,nan,1.22
2/7/2025 20:23:52,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,6,10,2,0,nan,nan,0.20
2/7/2025 20:23:54,1.16.3,FR1_R,0,4.08,1,1,Pellet,Right,6,10,3,0,1.34,1452,nan
2/7/2025 20:26:53,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,6,11,3,0,nan,nan,0.06
2/7/2025 20:26:58,1.16.3,FR1_R,0,4.09,1,1,Pellet,Right,6,11,4,0,3.91,184,nan
2/7/2025 20:54:48,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,7,11,4,0,nan,nan,0.23
2/7/2025 21:10:13,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,7,12,4,0,nan,nan,1.09
2/7/2025 21:10:14,1.16.3,FR1_R,0,4.08,nan,1,RightDuringDispense,Right,7,13,4,0,nan,nan,0.13
2/7/2025 21:10:15,1.16.3,FR1_R,0,4.08,nan,1,RightDuringDispense,Right,7,14,4,0,nan,nan,0.62
2/7/2025 21:10:16,1.16.3,FR1_R,0,4.09,nan,1,RightDuringDispense,Right,7,15,4,0,nan,nan,0.29
2/7/2025 21:10:19,1.16.3,FR1_R,0,4.09,2,1,Pellet,Right,7,15,5,0,1.15,2601,nan
2/7/2025 21:25:25,1.16.3,FR1_R,0,4.08,nan,1,Right,Right,7,16,5,0,nan,nan,0.16
2/7/2025 21:25:34,1.16.3,FR1_R,0,4.08,1,1,Pellet,Right,7,16,6,0,8.15,915,nan
2/7/2025 21:26:48,1.16.3,FR1_R,0,4.08,nan,1,Right,Right,7,17,6,0,nan,nan,0.07
2/7/2025 21:26:59,1.16.3,FR1_R,0,4.08,1,1,Pellet,Right,7,17,7,0,10.11,85,nan
2/7/2025 21:31:20,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,7,18,7,0,nan,nan,0.04
2/7/2025 21:31:32,1.16.3,FR1_R,0,4.08,1,1,Pellet,Right,7,18,8,0,11.52,273,nan
2/7/2025 21:35:18,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,7,19,8,0,nan,nan,0.02
