MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/10/2023 7:52:02,1.16.3,FR1,0,4.12,nan,1,Right,Left,0,1,0,0,nan,nan,0.43
7/10/2023 8:37:05,1.16.3,FR1,0,4.12,nan,1,Left,Left,1,1,0,0,nan,nan,0.07
7/10/2023 8:38:11,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.05
7/10/2023 8:50:21,1.16.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.04
7/10/2023 9:13:59,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,3,2,0,0,nan,nan,0.13
7/10/2023 9:14:02,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,3,3,0,0,nan,nan,0.39
7/10/2023 9:14:10,1.16.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,4,3,0,0,nan,nan,0.07
7/10/2023 9:14:12,1.16.3,FR1,0,4.11,3,1,Pellet,Left,4,3,1,0,Timed_out,nan,nan
7/10/2023 9:15:49,1.16.3,FR1,0,4.12,nan,1,Right,Left,4,4,1,0,nan,nan,0.84
7/10/2023 9:16:53,1.16.3,FR1,0,4.11,nan,1,Right,Left,4,5,1,0,nan,nan,0.93
7/10/2023 9:16:58,1.16.3,FR1,0,4.11,nan,1,Left,Left,5,5,1,0,nan,nan,0.03
7/10/2023 9:17:18,1.16.3,FR1,0,4.12,1,1,Pellet,Left,5,5,2,0,19.61,186,nan
7/10/2023 9:18:28,1.16.3,FR1,0,4.11,nan,1,Right,Left,5,6,2,0,nan,nan,0.03
7/10/2023 9:18:39,1.16.3,FR1,0,4.12,nan,1,Left,Left,6,6,2,0,nan,nan,0.05
7/10/2023 9:18:42,1.16.3,FR1,0,4.11,1,1,Pellet,Left,6,6,3,0,1.58,84,nan
7/10/2023 9:25:09,1.16.3,FR1,0,4.12,nan,1,Right,Left,6,7,3,0,nan,nan,0.33
7/10/2023 9:25:25,1.16.3,FR1,0,4.12,nan,1,Left,Left,7,7,3,0,nan,nan,0.03
7/10/2023 9:25:27,1.16.3,FR1,0,4.11,2,1,Pellet,Left,7,7,4,0,0.94,405,nan
7/10/2023 9:26:37,1.16.3,FR1,0,4.11,nan,1,Right,Left,7,8,4,0,nan,nan,0.13
7/10/2023 9:26:58,1.16.3,FR1,0,4.12,nan,1,Right,Left,7,9,4,0,nan,nan,0.20
7/10/2023 9:26:59,1.16.3,FR1,0,4.11,nan,1,Right,Left,7,10,4,0,nan,nan,0.00
7/10/2023 9:28:15,1.16.3,FR1,0,4.11,nan,1,Right,Left,7,11,4,0,nan,nan,0.13
7/10/2023 9:28:18,1.16.3,FR1,0,4.12,nan,1,Right,Left,7,12,4,0,nan,nan,0.13
7/10/2023 9:28:24,1.16.3,FR1,0,4.11,nan,1,Left,Left,8,12,4,0,nan,nan,0.07
7/10/2023 9:28:26,1.16.3,FR1,0,4.11,1,1,Pellet,Left,8,12,5,0,0.94,179,nan
7/10/2023 9:29:05,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,13,5,0,nan,nan,0.08
7/10/2023 9:31:20,1.16.3,FR1,0,4.11,nan,1,Left,Left,9,13,5,0,nan,nan,0.02
7/10/2023 9:31:38,1.16.3,FR1,0,4.11,1,1,Pellet,Left,9,13,6,0,17.45,192,nan
7/10/2023 9:37:55,1.16.3,FR1,0,4.11,nan,1,Right,Left,9,14,6,0,nan,nan,0.10
7/10/2023 9:38:02,1.16.3,FR1,0,4.12,nan,1,Right,Left,9,15,6,0,nan,nan,0.25
7/10/2023 9:42:46,1.16.3,FR1,0,4.12,nan,1,Right,Left,9,16,6,0,nan,nan,0.17
7/10/2023 9:44:49,1.16.3,FR1,0,4.11,nan,1,Left,Left,10,16,6,0,nan,nan,0.00
7/10/2023 9:44:53,1.16.3,FR1,0,4.12,1,1,Pellet,Left,10,16,7,0,2.34,794,nan
7/10/2023 9:53:06,1.16.3,FR1,0,4.11,nan,1,Right,Left,10,17,7,0,nan,nan,0.04
7/10/2023 9:56:47,1.16.3,FR1,0,4.11,nan,1,Right,Left,10,18,7,0,nan,nan,0.10
7/10/2023 10:02:41,1.16.3,FR1,0,4.11,nan,1,Right,Left,10,19,7,0,nan,nan,0.16
7/10/2023 10:19:58,1.16.3,FR1,0,4.12,nan,1,Right,Left,10,20,7,0,nan,nan,0.12
7/10/2023 10:20:02,1.16.3,FR1,0,4.11,nan,1,Right,Left,10,21,7,0,nan,nan,0.15
7/10/2023 10:20:12,1.16.3,FR1,0,4.11,nan,1,Right,Left,10,22,7,0,nan,nan,0.08
