MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/02/24 06:51 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,0,1,0,0,nan,nan,0.04
10/02/24 06:51 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,0,2,0,0,nan,nan,0.13
10/02/24 06:54 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,0,3,0,0,nan,nan,0.34
10/02/24 06:54 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,0,4,0,0,nan,nan,0.13
10/02/24 06:55 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,0,5,0,0,nan,nan,0.2
10/02/24 07:02 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,0,6,0,0,nan,nan,0.24
10/02/24 07:06 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,0,7,0,0,nan,nan,0.02
10/02/24 07:07 AM,1.16.3,FR1,0,4.1,nan,1,Left,Left,1,7,0,0,nan,nan,0.32
10/02/24 07:08 AM,1.16.3,FR1,0,4.1,nan,1,RightWithPellet,Left,1,8,0,0,nan,nan,0.07
10/02/24 07:09 AM,1.16.3,FR1,0,4.09,nan,1,RightWithPellet,Left,1,9,0,0,nan,nan,0.12
10/02/24 07:09 AM,1.16.3,FR1,0,4.1,3,1,Pellet,Left,1,9,1,0,Timed_out,nan,nan
10/02/24 07:15 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,1,10,1,0,nan,nan,0.03
10/02/24 07:17 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,1,11,1,0,nan,nan,0.17
10/02/24 07:18 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,1,12,1,0,nan,nan,0.11
10/02/24 07:21 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,1,13,1,0,nan,nan,0.13
10/02/24 07:21 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,1,14,1,0,nan,nan,0
10/02/24 07:21 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,1,15,1,0,nan,nan,0.15
10/02/24 07:24 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,1,16,1,0,nan,nan,0.17
10/02/24 07:31 AM,1.16.3,FR1,0,4.11,nan,1,Right,Left,1,17,1,0,nan,nan,0.5
10/02/24 07:31 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,1,18,1,0,nan,nan,0.15
10/02/24 07:37 AM,1.16.3,FR1,0,4.11,nan,1,Left,Left,2,18,1,0,nan,nan,0.05
10/02/24 07:37 AM,1.16.3,FR1,0,4.09,nan,1,RightWithPellet,Left,2,19,1,0,nan,nan,0.02
10/02/24 07:37 AM,1.16.3,FR1,0,4.1,nan,1,RightWithPellet,Left,2,20,1,0,nan,nan,0.09
10/02/24 07:39 AM,1.16.3,FR1,0,4.1,2,1,Pellet,Left,2,20,2,0,Timed_out,1773,nan
10/02/24 07:47 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,2,21,2,0,nan,nan,0.02
10/02/24 07:53 AM,1.16.3,FR1,0,4.1,nan,1,Left,Left,3,21,2,0,nan,nan,0.09
10/02/24 07:53 AM,1.16.3,FR1,0,4.09,2,1,Pellet,Left,3,21,3,0,8.63,857,nan
10/02/24 08:03 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,4,21,3,0,nan,nan,0.01
10/02/24 08:03 AM,1.16.3,FR1,0,4.1,2,1,Pellet,Left,4,21,4,0,3.24,639,nan
10/02/24 08:04 AM,1.16.3,FR1,0,4.1,nan,1,Left,Left,5,21,4,0,nan,nan,0.23
10/02/24 08:04 AM,1.16.3,FR1,0,4.1,1,1,Pellet,Left,5,21,5,0,3.85,39,nan
10/02/24 08:05 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,5,22,5,0,nan,nan,0.07
10/02/24 08:08 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,5,23,5,0,nan,nan,0.07
10/02/24 08:19 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,5,24,5,0,nan,nan,0.09
10/02/24 08:21 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,6,24,5,0,nan,nan,0.31
10/02/24 08:21 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,6,24,6,0,9.55,1037,nan
10/02/24 08:32 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,6,25,6,0,nan,nan,0.06
10/02/24 08:32 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,6,26,6,0,nan,nan,0.72
10/02/24 08:42 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,7,26,6,0,nan,nan,0.05
10/02/24 08:42 AM,1.16.3,FR1,0,4.1,1,1,Pellet,Left,7,26,7,0,7.22,1265,nan
10/02/24 08:43 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,7,27,7,0,nan,nan,0.22
10/02/24 09:11 AM,1.16.3,FR1,0,4.1,nan,1,Left,Left,8,27,7,0,nan,nan,0.7
10/02/24 09:11 AM,1.16.3,FR1,0,4.1,1,1,Pellet,Left,8,27,8,0,4.95,1732,nan
10/02/24 09:16 AM,1.16.3,FR1,0,4.1,nan,1,Left,Left,9,27,8,0,nan,nan,0.29
10/02/24 09:16 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,9,27,9,0,6.12,262,nan
10/02/24 09:16 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,9,28,9,0,nan,nan,0.17
10/02/24 09:19 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,10,28,9,0,nan,nan,0.09
10/02/24 09:19 AM,1.16.3,FR1,0,4.1,1,1,Pellet,Left,10,28,10,0,3.36,224,nan
10/02/24 09:21 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,10,29,10,0,nan,nan,0.06
10/02/24 09:23 AM,1.16.3,FR1,0,4.1,nan,1,Right,Left,10,30,10,0,nan,nan,0.27
10/02/24 09:23 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,10,31,10,0,nan,nan,0
10/02/24 09:24 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,11,31,10,0,nan,nan,0.42
10/02/24 09:24 AM,1.16.3,FR1,0,4.1,1,1,Pellet,Left,11,31,11,0,3.66,283,nan
10/02/24 09:30 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,11,32,11,0,nan,nan,0.03
10/02/24 09:34 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,12,32,11,0,nan,nan,0.45
10/02/24 09:34 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,12,32,12,0,1.52,618,nan
10/02/24 09:38 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,13,32,12,0,nan,nan,0.37
10/02/24 09:38 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,13,32,13,0,5.57,210,nan
10/02/24 09:39 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,14,32,13,0,nan,nan,0.03
10/02/24 09:40 AM,1.16.3,FR1,0,4.1,2,1,Pellet,Left,14,32,14,0,7.35,97,nan
10/02/24 09:42 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,15,32,14,0,nan,nan,0.03
10/02/24 09:42 AM,1.16.3,FR1,0,4.09,nan,1,LeftDuringDispense,Left,16,32,14,0,nan,nan,0.04
10/02/24 09:42 AM,1.16.3,FR1,0,4.1,2,1,Pellet,Left,16,32,15,0,4.04,149,nan
10/02/24 09:43 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,16,33,15,0,nan,nan,0.15
10/02/24 09:44 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,16,34,15,0,nan,nan,0.07
10/02/24 09:45 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,16,35,15,0,nan,nan,0.45
10/02/24 09:45 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,17,35,15,0,nan,nan,0.45
10/02/24 09:45 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,17,35,16,0,2.01,192,nan
10/02/24 09:47 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,18,35,16,0,nan,nan,0.46
10/02/24 09:47 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,18,35,17,0,1.89,131,nan
10/02/24 09:48 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,19,35,17,0,nan,nan,0.06
10/02/24 09:48 AM,1.16.3,FR1,0,4.09,nan,1,LeftDuringDispense,Left,20,35,17,0,nan,nan,0.03
10/02/24 09:48 AM,1.16.3,FR1,0,4.09,3,1,Pellet,Left,20,35,18,0,2.63,38,nan
10/02/24 09:48 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,21,35,18,0,nan,nan,0.41
10/02/24 09:49 AM,1.16.3,FR1,0,4.09,2,1,Pellet,Left,21,35,19,0,8.76,34,nan
10/02/24 09:50 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,21,36,19,0,nan,nan,0.25
10/02/24 09:50 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,22,36,19,0,nan,nan,0.44
10/02/24 09:50 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,22,36,20,0,1.22,102,nan
10/02/24 09:51 AM,1.16.3,FR1,0,4.09,nan,1,Right,Left,22,37,20,0,nan,nan,0.24
10/02/24 09:51 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,23,37,20,0,nan,nan,0.26
10/02/24 09:51 AM,1.16.3,FR1,0,4.09,1,1,Pellet,Left,23,37,21,0,0.91,54,nan
10/02/24 09:52 AM,1.16.3,FR1,0,4.09,nan,1,Left,Left,24,37,21,0,nan,nan,0.26
