MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/10/2023 6:55:55,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,1,0,0,0,nan,nan,0.35
7/10/2023 7:33:20,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,1,1,0,0,nan,nan,0.07
7/10/2023 7:35:31,1.16.3,FR1_R,0,4.13,nan,1,LeftWithPellet,Right,2,1,0,0,nan,nan,0.18
7/10/2023 7:36:28,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,2,2,0,0,nan,nan,0.10
7/10/2023 7:37:26,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,2,3,0,0,nan,nan,0.14
7/10/2023 7:37:29,1.16.3,FR1_R,0,4.13,nan,1,LeftWithPellet,Right,3,3,0,0,nan,nan,0.03
7/10/2023 7:38:27,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,3,4,0,0,nan,nan,0.02
7/10/2023 7:38:29,1.16.3,FR1_R,0,4.14,3,1,Pellet,Right,3,4,1,0,Timed_out,nan,nan
7/10/2023 7:42:03,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,4,4,1,0,nan,nan,0.42
7/10/2023 7:42:04,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,5,4,1,0,nan,nan,0.00
7/10/2023 7:42:08,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,6,4,1,0,nan,nan,0.08
7/10/2023 7:42:44,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,6,5,1,0,nan,nan,0.00
7/10/2023 7:44:20,1.16.3,FR1_R,0,4.14,1,1,Pellet,Right,6,5,2,0,Timed_out,351,nan
7/10/2023 7:44:35,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,6,6,2,0,nan,nan,0.07
7/10/2023 7:45:40,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,6,7,2,0,nan,nan,0.16
7/10/2023 7:47:13,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,6,7,3,0,Timed_out,173,nan
7/10/2023 7:48:31,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,6,8,3,0,nan,nan,0.14
7/10/2023 7:49:46,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,6,9,3,0,nan,nan,0.04
7/10/2023 7:49:49,1.16.3,FR1_R,0,4.14,1,1,Pellet,Right,6,9,4,0,Timed_out,156,nan
7/10/2023 7:49:54,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,7,9,4,0,nan,nan,0.06
7/10/2023 8:02:40,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,7,10,4,0,nan,nan,0.05
7/10/2023 8:02:56,1.16.3,FR1_R,0,4.14,1,1,Pellet,Right,7,10,5,0,14.78,787,nan
7/10/2023 8:03:02,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,7,11,5,0,nan,nan,0.07
7/10/2023 8:03:05,1.16.3,FR1_R,0,4.13,2,1,Pellet,Right,7,11,6,0,1.89,9,nan
7/10/2023 8:06:26,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,7,12,6,0,nan,nan,0.32
7/10/2023 8:06:48,1.16.3,FR1_R,0,4.13,nan,1,RightWithPellet,Right,7,13,6,0,nan,nan,0.05
7/10/2023 8:06:52,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,7,14,6,0,nan,nan,0.18
7/10/2023 8:06:55,1.16.3,FR1_R,0,4.14,2,1,Pellet,Right,7,14,7,0,26.10,230,nan
7/10/2023 8:11:37,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,8,14,7,0,nan,nan,0.17
7/10/2023 8:14:08,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,8,15,7,0,nan,nan,0.21
7/10/2023 8:14:22,1.16.3,FR1_R,0,4.14,nan,1,RightWithPellet,Right,8,16,7,0,nan,nan,0.16
7/10/2023 8:17:44,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,8,16,8,0,Timed_out,649,nan
7/10/2023 8:21:26,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,8,17,8,0,nan,nan,0.01
7/10/2023 8:24:53,1.16.3,FR1_R,0,4.13,nan,1,LeftWithPellet,Right,9,17,8,0,nan,nan,0.03
7/10/2023 8:28:04,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,9,17,9,0,Timed_out,620,nan
7/10/2023 8:28:19,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,10,17,9,0,nan,nan,0.12
7/10/2023 8:31:56,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,10,18,9,0,nan,nan,0.00
7/10/2023 8:34:57,1.16.3,FR1_R,0,4.13,nan,1,RightWithPellet,Right,10,19,9,0,nan,nan,0.38
7/10/2023 8:35:03,1.16.3,FR1_R,0,4.13,2,1,Pellet,Right,10,19,10,0,Timed_out,419,nan
7/10/2023 8:35:07,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,10,20,10,0,nan,nan,0.13
7/10/2023 8:35:47,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,10,20,11,0,39.96,44,nan
7/10/2023 8:39:51,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,11,20,11,0,nan,nan,0.36
7/10/2023 8:40:48,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,11,21,11,0,nan,nan,0.17
7/10/2023 8:41:26,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,11,21,12,0,37.96,339,nan
7/10/2023 8:46:15,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,12,21,12,0,nan,nan,0.08
7/10/2023 8:48:44,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,12,22,12,0,nan,nan,0.40
7/10/2023 8:50:17,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,12,22,13,0,Timed_out,531,nan
7/10/2023 8:50:53,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,13,22,13,0,nan,nan,0.06
7/10/2023 8:50:58,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,14,22,13,0,nan,nan,0.00
7/10/2023 8:51:47,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,23,13,0,nan,nan,0.08
7/10/2023 8:51:50,1.16.3,FR1_R,0,4.13,nan,1,RightWithPellet,Right,14,24,13,0,nan,nan,0.25
7/10/2023 8:51:53,1.16.3,FR1_R,0,4.13,nan,1,RightWithPellet,Right,14,25,13,0,nan,nan,0.02
7/10/2023 8:51:55,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,14,25,14,0,6.56,98,nan
7/10/2023 9:04:54,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,14,26,14,0,nan,nan,0.09
7/10/2023 9:05:05,1.16.3,FR1_R,0,4.13,2,1,Pellet,Right,14,26,15,0,10.46,790,nan
7/10/2023 9:05:40,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,14,27,15,0,nan,nan,0.06
7/10/2023 9:05:52,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,14,27,16,0,11.36,47,nan
7/10/2023 9:06:45,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,28,16,0,nan,nan,0.09
7/10/2023 9:06:51,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,14,28,17,0,5.19,59,nan
7/10/2023 9:17:48,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,29,17,0,nan,nan,0.21
7/10/2023 9:17:53,1.16.3,FR1_R,0,4.13,2,1,Pellet,Right,14,29,18,0,3.73,662,nan
7/10/2023 9:20:03,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,30,18,0,nan,nan,0.14
7/10/2023 9:20:04,1.16.3,FR1_R,0,4.13,nan,1,RightDuringDispense,Right,14,31,18,0,nan,nan,0.12
7/10/2023 9:20:06,1.16.3,FR1_R,0,4.13,nan,1,RightDuringDispense,Right,14,32,18,0,nan,nan,0.25
7/10/2023 9:20:07,1.16.3,FR1_R,0,4.13,nan,1,RightDuringDispense,Right,14,33,18,0,nan,nan,0.22
7/10/2023 9:20:16,1.16.3,FR1_R,0,4.12,4,1,Pellet,Right,14,33,19,0,4.69,143,nan
7/10/2023 9:20:42,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,34,19,0,nan,nan,0.10
7/10/2023 9:20:56,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,14,34,20,0,12.63,40,nan
7/10/2023 9:21:15,1.16.3,FR1_R,0,4.14,nan,1,Right,Right,14,35,20,0,nan,nan,0.14
7/10/2023 9:21:18,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,14,35,21,0,2.40,22,nan
7/10/2023 9:21:53,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,36,21,0,nan,nan,0.03
7/10/2023 9:21:55,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,14,36,22,0,1.77,37,nan
7/10/2023 9:22:26,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,14,37,22,0,nan,nan,0.03
7/10/2023 9:22:29,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,14,37,23,0,2.09,34,nan
7/10/2023 9:24:04,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,15,37,23,0,nan,nan,1.03
7/10/2023 9:24:04,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,16,37,23,0,nan,nan,0.05
7/10/2023 9:34:46,1.16.3,FR1_R,0,4.14,nan,1,Left,Right,17,37,23,0,nan,nan,0.05
7/10/2023 9:34:47,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,18,37,23,0,nan,nan,0.00
7/10/2023 9:34:50,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,19,37,23,0,nan,nan,0.52
7/10/2023 9:34:50,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,20,37,23,0,nan,nan,0.00
7/10/2023 9:34:58,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,21,37,23,0,nan,nan,0.03
7/10/2023 9:35:06,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,22,37,23,0,nan,nan,0.04
7/10/2023 9:35:44,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,22,38,23,0,nan,nan,0.37
7/10/2023 9:35:48,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,38,24,0,3.42,799,nan
7/10/2023 9:37:28,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,39,24,0,nan,nan,0.02
7/10/2023 9:37:37,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,39,25,0,8.31,109,nan
7/10/2023 9:39:19,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,40,25,0,nan,nan,0.46
7/10/2023 9:39:20,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,40,26,0,0.44,103,nan
7/10/2023 9:40:21,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,41,26,0,nan,nan,0.02
7/10/2023 9:40:31,1.16.3,FR1_R,0,4.13,2,1,Pellet,Right,22,41,27,0,7.23,71,nan
7/10/2023 9:42:01,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,42,27,0,nan,nan,0.32
7/10/2023 9:42:03,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,42,28,0,0.88,92,nan
7/10/2023 9:53:17,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,43,28,0,nan,nan,0.22
7/10/2023 9:53:26,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,43,29,0,8.25,683,nan
7/10/2023 9:57:44,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,22,44,29,0,nan,nan,0.07
7/10/2023 9:57:55,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,22,44,30,0,9.71,269,nan
7/10/2023 9:58:51,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,23,44,30,0,nan,nan,0.36
7/10/2023 9:59:06,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,23,45,30,0,nan,nan,0.03
7/10/2023 9:59:07,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,23,45,31,0,0.50,72,nan
7/10/2023 10:00:40,1.16.3,FR1_R,0,4.13,nan,1,Right,Right,23,46,31,0,nan,nan,0.23
7/10/2023 10:00:41,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,23,46,32,0,0.50,94,nan
7/10/2023 10:01:07,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,23,47,32,0,nan,nan,0.12
7/10/2023 10:01:26,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,23,47,33,0,17.97,45,nan
7/10/2023 10:02:25,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,23,48,33,0,nan,nan,0.10
7/10/2023 10:02:27,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,23,48,34,0,1.45,61,nan
7/10/2023 10:02:53,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,23,49,34,0,nan,nan,0.13
7/10/2023 10:02:55,1.16.3,FR1_R,0,4.13,1,1,Pellet,Right,23,49,35,0,0.69,28,nan
7/10/2023 10:04:45,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,24,49,35,0,nan,nan,0.10
7/10/2023 10:04:50,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,25,49,35,0,nan,nan,0.03
7/10/2023 10:04:53,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,26,49,35,0,nan,nan,1.04
7/10/2023 10:04:55,1.16.3,FR1_R,0,4.13,nan,1,Left,Right,27,49,35,0,nan,nan,0.08
7/10/2023 10:04:58,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,27,50,35,0,nan,nan,0.13
7/10/2023 10:05:01,1.16.3,FR1_R,0,4.12,nan,1,LeftWithPellet,Right,28,50,35,0,nan,nan,0.02
7/10/2023 10:05:04,1.16.3,FR1_R,0,4.12,nan,1,LeftWithPellet,Right,29,50,35,0,nan,nan,0.04
7/10/2023 10:05:04,1.16.3,FR1_R,0,4.12,nan,1,LeftWithPellet,Right,30,50,35,0,nan,nan,0.45
7/10/2023 10:05:06,1.16.3,FR1_R,0,4.12,2,1,Pellet,Right,30,50,36,0,5.31,131,nan
