MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/2/2024 6:16:36,1.16.3,FR1,0,4.14,nan,1,Left,Left,1,0,0,0,nan,nan,0.64
10/2/2024 6:16:37,1.16.3,FR1,0,4.14,nan,1,LeftDuringDispense,Left,2,0,0,0,nan,nan,0.03
10/2/2024 6:16:37,1.16.3,FR1,0,4.14,nan,1,LeftDuringDispense,Left,3,0,0,0,nan,nan,0.04
10/2/2024 6:16:50,1.16.3,FR1,0,4.14,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,1.33
10/2/2024 6:17:28,1.16.3,FR1,0,4.14,5,1,Pellet,Left,4,0,1,0,43.30,nan,nan
10/2/2024 6:47:39,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,1,1,0,nan,nan,0.79
10/2/2024 6:47:40,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,2,1,0,nan,nan,0.00
10/2/2024 6:47:41,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,3,1,0,nan,nan,0.10
10/2/2024 6:47:42,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,4,1,0,nan,nan,0.30
10/2/2024 6:47:46,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,5,1,0,nan,nan,1.19
10/2/2024 6:47:50,1.16.3,FR1,0,4.14,nan,1,Right,Left,4,6,1,0,nan,nan,0.75
10/2/2024 6:47:57,1.16.3,FR1,0,4.14,nan,1,Left,Left,5,6,1,0,nan,nan,0.62
10/2/2024 6:48:43,1.16.3,FR1,0,4.14,1,1,Pellet,Left,5,6,2,0,45.02,1875,nan
10/2/2024 6:55:08,1.16.3,FR1,0,4.14,nan,1,Right,Left,5,7,2,0,nan,nan,0.03
10/2/2024 6:56:26,1.16.3,FR1,0,4.14,nan,1,Right,Left,5,8,2,0,nan,nan,0.20
10/2/2024 7:07:20,1.16.3,FR1,0,4.14,nan,1,Right,Left,5,9,2,0,nan,nan,0.29
10/2/2024 7:17:36,1.16.3,FR1,0,4.14,nan,1,Left,Left,6,9,2,0,nan,nan,0.64
10/2/2024 7:18:01,1.16.3,FR1,0,4.14,1,1,Pellet,Left,6,9,3,0,23.98,1758,nan
10/2/2024 7:20:47,1.16.3,FR1,0,4.14,nan,1,Left,Left,7,9,3,0,nan,nan,0.11
10/2/2024 7:21:23,1.16.3,FR1,0,4.14,1,1,Pellet,Left,7,9,4,0,35.18,202,nan
10/2/2024 7:25:52,1.16.3,FR1,0,4.14,nan,1,Right,Left,7,10,4,0,nan,nan,0.11
10/2/2024 7:26:38,1.16.3,FR1,0,4.14,nan,1,Left,Left,8,10,4,0,nan,nan,0.09
10/2/2024 7:30:46,1.16.3,FR1,0,4.14,1,1,Pellet,Left,8,10,5,0,Timed_out,563,nan
10/2/2024 7:30:56,1.16.3,FR1,0,4.14,nan,1,Right,Left,8,11,5,0,nan,nan,0.47
10/2/2024 7:31:13,1.16.3,FR1,0,4.14,nan,1,Right,Left,8,12,5,0,nan,nan,0.21
10/2/2024 7:33:44,1.16.3,FR1,0,4.14,nan,1,Right,Left,8,13,5,0,nan,nan,0.05
10/2/2024 7:45:56,1.16.3,FR1,0,4.13,nan,1,Right,Left,8,14,5,0,nan,nan,0.15
10/2/2024 7:46:26,1.16.3,FR1,0,4.14,nan,1,Left,Left,9,14,5,0,nan,nan,0.11
10/2/2024 7:53:11,1.16.3,FR1,0,4.14,nan,1,RightWithPellet,Left,9,15,5,0,nan,nan,0.07
10/2/2024 7:53:17,1.16.3,FR1,0,4.13,1,1,Pellet,Left,9,15,6,0,Timed_out,1351,nan
10/2/2024 7:54:35,1.16.3,FR1,0,4.14,nan,1,Right,Left,9,16,6,0,nan,nan,0.34
10/2/2024 8:02:07,1.16.3,FR1,0,4.14,nan,1,Right,Left,9,17,6,0,nan,nan,0.06
10/2/2024 8:04:09,1.16.3,FR1,0,4.14,nan,1,Right,Left,9,18,6,0,nan,nan,0.01
10/2/2024 8:07:13,1.16.3,FR1,0,4.13,nan,1,Right,Left,9,19,6,0,nan,nan,0.00
10/2/2024 8:10:58,1.16.3,FR1,0,4.14,nan,1,Left,Left,10,19,6,0,nan,nan,0.75
10/2/2024 8:11:31,1.16.3,FR1,0,4.13,1,1,Pellet,Left,10,19,7,0,33.15,1094,nan
10/2/2024 8:11:41,1.16.3,FR1,0,4.13,nan,1,Left,Left,11,19,7,0,nan,nan,0.05
10/2/2024 8:15:43,1.16.3,FR1,0,4.13,1,1,Pellet,Left,11,19,8,0,Timed_out,252,nan
10/2/2024 8:16:10,1.16.3,FR1,0,4.14,nan,1,Right,Left,11,20,8,0,nan,nan,0.84
10/2/2024 8:21:03,1.16.3,FR1,0,4.14,nan,1,Right,Left,11,21,8,0,nan,nan,0.63
10/2/2024 8:24:27,1.16.3,FR1,0,4.14,nan,1,Right,Left,11,22,8,0,nan,nan,0.35
10/2/2024 8:28:45,1.16.3,FR1,0,4.13,nan,1,Right,Left,11,23,8,0,nan,nan,0.00
10/2/2024 8:30:46,1.16.3,FR1,0,4.13,nan,1,Left,Left,12,23,8,0,nan,nan,0.00
10/2/2024 8:31:12,1.16.3,FR1,0,4.14,1,1,Pellet,Left,12,23,9,0,25.55,929,nan
10/2/2024 8:32:27,1.16.3,FR1,0,4.13,nan,1,Left,Left,13,23,9,0,nan,nan,0.00
10/2/2024 8:32:41,1.16.3,FR1,0,4.14,1,1,Pellet,Left,13,23,10,0,13.30,89,nan
10/2/2024 8:33:23,1.16.3,FR1,0,4.14,nan,1,Left,Left,14,23,10,0,nan,nan,0.02
10/2/2024 8:33:30,1.16.3,FR1,0,4.13,nan,1,RightWithPellet,Left,14,24,10,0,nan,nan,0.09
10/2/2024 8:33:32,1.16.3,FR1,0,4.14,1,1,Pellet,Left,14,24,11,0,7.73,50,nan
10/2/2024 8:47:32,1.16.3,FR1,0,4.13,nan,1,Right,Left,14,25,11,0,nan,nan,0.00
10/2/2024 9:02:18,1.16.3,FR1,0,4.14,nan,1,Right,Left,14,26,11,0,nan,nan,0.27
10/2/2024 9:04:32,1.16.3,FR1,0,4.13,nan,1,Left,Left,15,26,11,0,nan,nan,0.05
10/2/2024 9:04:38,1.16.3,FR1,0,4.13,1,1,Pellet,Left,15,26,12,0,5.87,1867,nan
10/2/2024 9:20:32,1.16.3,FR1,0,4.12,nan,1,Left,Left,16,26,12,0,nan,nan,0.07
10/2/2024 9:20:32,1.16.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,17,26,12,0,nan,nan,0.02
10/2/2024 9:20:37,1.16.3,FR1,0,4.13,2,1,Pellet,Left,17,26,13,0,2.13,959,nan
10/2/2024 9:21:16,1.16.3,FR1,0,4.13,nan,1,Left,Left,18,26,13,0,nan,nan,0.51
10/2/2024 9:21:25,1.16.3,FR1,0,4.13,1,1,Pellet,Left,18,26,14,0,8.08,48,nan
10/2/2024 9:22:44,1.16.3,FR1,0,4.13,nan,1,Right,Left,18,27,14,0,nan,nan,0.28
10/2/2024 9:30:50,1.16.3,FR1,0,4.13,nan,1,Right,Left,18,28,14,0,nan,nan,0.06
10/2/2024 9:32:50,1.16.3,FR1,0,4.13,nan,1,Right,Left,18,29,14,0,nan,nan,0.05
10/2/2024 9:40:17,1.16.3,FR1,0,4.12,nan,1,Right,Left,18,30,14,0,nan,nan,0.04
10/2/2024 10:10:04,1.16.3,FR1,0,4.12,nan,1,Left,Left,19,30,14,0,nan,nan,0.22
