MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/17/2023 8:46:37,1.16.3,FR1,0,4.12,nan,1,Right,Left,0,1,0,0,nan,nan,0.06
7/17/2023 8:46:59,1.16.3,FR1,0,4.12,nan,1,Right,Left,0,2,0,0,nan,nan,0.20
7/17/2023 8:47:22,1.16.3,FR1,0,4.12,nan,1,Right,Left,0,3,0,0,nan,nan,0.01
7/17/2023 8:47:59,1.16.3,FR1,0,4.12,nan,1,Left,Left,1,3,0,0,nan,nan,0.14
7/17/2023 8:49:18,1.16.3,FR1,0,4.12,3,1,Pellet,Left,1,3,1,0,Timed_out,nan,nan
7/17/2023 8:50:19,1.16.3,FR1,0,4.12,nan,1,Right,Left,1,4,1,0,nan,nan,0.01
7/17/2023 8:51:15,1.16.3,FR1,0,4.12,nan,1,Right,Left,1,5,1,0,nan,nan,0.02
7/17/2023 8:51:59,1.16.3,FR1,0,4.12,nan,1,Right,Left,1,6,1,0,nan,nan,0.03
7/17/2023 8:55:59,1.16.3,FR1,0,4.12,nan,1,Right,Left,1,7,1,0,nan,nan,0.00
7/17/2023 8:56:01,1.16.3,FR1,0,4.12,nan,1,Left,Left,2,7,1,0,nan,nan,0.56
7/17/2023 8:56:06,1.16.3,FR1,0,4.12,2,1,Pellet,Left,2,7,2,0,4.18,408,nan
7/17/2023 8:58:02,1.16.3,FR1,0,4.12,nan,1,Left,Left,3,7,2,0,nan,nan,0.25
7/17/2023 8:58:18,1.16.3,FR1,0,4.12,1,1,Pellet,Left,3,7,3,0,14.78,132,nan
7/17/2023 9:02:49,1.16.3,FR1,0,4.12,nan,1,Left,Left,4,7,3,0,nan,nan,0.02
7/17/2023 9:02:49,1.16.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,5,7,3,0,nan,nan,0.03
7/17/2023 9:03:07,1.16.3,FR1,0,4.12,2,1,Pellet,Left,5,7,4,0,15.10,289,nan
7/17/2023 9:03:15,1.16.3,FR1,0,4.12,nan,1,Right,Left,5,8,4,0,nan,nan,0.12
7/17/2023 9:03:52,1.16.3,FR1,0,4.12,nan,1,Right,Left,5,9,4,0,nan,nan,0.04
7/17/2023 9:07:16,1.16.3,FR1,0,4.12,nan,1,Right,Left,5,10,4,0,nan,nan,0.19
7/17/2023 9:08:45,1.16.3,FR1,0,4.12,nan,1,Left,Left,6,10,4,0,nan,nan,0.87
7/17/2023 9:09:04,1.16.3,FR1,0,4.12,1,1,Pellet,Left,6,10,5,0,18.40,357,nan
7/17/2023 9:10:51,1.16.3,FR1,0,4.12,nan,1,Left,Left,7,10,5,0,nan,nan,0.18
7/17/2023 9:11:20,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,7,11,5,0,nan,nan,0.05
7/17/2023 9:11:21,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,7,12,5,0,nan,nan,0.10
7/17/2023 9:12:27,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,7,13,5,0,nan,nan,0.24
7/17/2023 9:12:39,1.16.3,FR1,0,4.12,1,1,Pellet,Left,7,13,6,0,Timed_out,215,nan
7/17/2023 9:12:52,1.16.3,FR1,0,4.12,nan,1,Left,Left,8,13,6,0,nan,nan,0.77
7/17/2023 9:12:55,1.16.3,FR1,0,4.12,1,1,Pellet,Left,8,13,7,0,2.08,15,nan
7/17/2023 9:16:33,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,14,7,0,nan,nan,0.29
7/17/2023 9:18:08,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,15,7,0,nan,nan,0.11
7/17/2023 9:20:39,1.16.3,FR1,0,4.12,nan,1,Left,Left,9,15,7,0,nan,nan,0.04
7/17/2023 9:20:40,1.16.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,10,15,7,0,nan,nan,0.02
7/17/2023 9:20:54,1.16.3,FR1,0,4.12,2,1,Pellet,Left,10,15,8,0,11.41,480,nan
7/17/2023 9:21:13,1.16.3,FR1,0,4.12,nan,1,Left,Left,11,15,8,0,nan,nan,0.44
7/17/2023 9:21:13,1.16.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,12,15,8,0,nan,nan,0.01
7/17/2023 9:21:16,1.16.3,FR1,0,4.12,nan,1,LeftDuringDispense,Left,13,15,8,0,nan,nan,0.15
7/17/2023 9:21:23,1.16.3,FR1,0,4.12,3,1,Pellet,Left,13,15,9,0,4.24,29,nan
7/17/2023 9:21:27,1.16.3,FR1,0,4.12,nan,1,Left,Left,14,15,9,0,nan,nan,0.27
7/17/2023 9:21:38,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,15,15,9,0,nan,nan,0.26
7/17/2023 9:22:23,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,15,16,9,0,nan,nan,0.62
7/17/2023 9:22:43,1.16.3,FR1,0,4.12,1,1,Pellet,Left,15,16,10,0,Timed_out,80,nan
7/17/2023 9:23:19,1.16.3,FR1,0,4.12,nan,1,Left,Left,16,16,10,0,nan,nan,0.38
7/17/2023 9:24:41,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,17,16,10,0,nan,nan,0.29
7/17/2023 9:25:09,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,18,16,10,0,nan,nan,0.28
7/17/2023 9:27:01,1.16.3,FR1,0,4.12,1,1,Pellet,Left,18,16,11,0,Timed_out,258,nan
7/17/2023 9:27:06,1.16.3,FR1,0,4.12,nan,1,Left,Left,19,16,11,0,nan,nan,0.20
7/17/2023 9:28:00,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,20,16,11,0,nan,nan,0.05
7/17/2023 9:28:01,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,21,16,11,0,nan,nan,0.03
7/17/2023 9:28:27,1.16.3,FR1,0,4.12,1,1,Pellet,Left,21,16,12,0,Timed_out,86,nan
7/17/2023 9:29:33,1.16.3,FR1,0,4.12,nan,1,Left,Left,22,16,12,0,nan,nan,0.35
7/17/2023 9:30:22,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,23,16,12,0,nan,nan,0.28
7/17/2023 9:30:26,1.16.3,FR1,0,4.12,1,1,Pellet,Left,23,16,13,0,51.81,119,nan
7/17/2023 9:30:34,1.16.3,FR1,0,4.12,nan,1,Left,Left,24,16,13,0,nan,nan,0.32
7/17/2023 9:30:38,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,25,16,13,0,nan,nan,0.26
7/17/2023 9:30:47,1.16.3,FR1,0,4.12,1,1,Pellet,Left,25,16,14,0,12.10,21,nan
7/17/2023 9:33:11,1.16.3,FR1,0,4.12,nan,1,Right,Left,25,17,14,0,nan,nan,0.06
7/17/2023 9:34:50,1.16.3,FR1,0,4.12,nan,1,Left,Left,26,17,14,0,nan,nan,0.24
7/17/2023 9:37:17,1.16.3,FR1,0,4.12,1,1,Pellet,Left,26,17,15,0,Timed_out,390,nan
7/17/2023 9:38:24,1.16.3,FR1,0,4.12,nan,1,Left,Left,27,17,15,0,nan,nan,0.02
7/17/2023 9:38:51,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,27,18,15,0,nan,nan,0.10
7/17/2023 9:38:51,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,27,19,15,0,nan,nan,0.11
7/17/2023 9:38:52,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,27,20,15,0,nan,nan,0.25
7/17/2023 9:38:53,1.16.3,FR1,0,4.12,nan,1,RightWithPellet,Left,27,21,15,0,nan,nan,0.21
7/17/2023 9:38:56,1.16.3,FR1,0,4.12,nan,1,LeftWithPellet,Left,28,21,15,0,nan,nan,0.25
7/17/2023 9:43:08,1.16.3,FR1,0,4.12,1,1,Pellet,Left,28,21,16,0,Timed_out,351,nan
7/17/2023 9:43:34,1.16.3,FR1,0,4.12,nan,1,Left,Left,29,21,16,0,nan,nan,0.03
