MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/2/2023 10:22:45,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,1,0,0,nan,nan,0.07
9/2/2023 10:22:51,1.16.3,RevT_R,0,4.05,nan,1,RightWithPellet,Right,0,2,0,0,nan,nan,0.23
9/2/2023 10:22:52,1.16.3,RevT_R,0,4.05,3,1,Pellet,Right,0,2,1,0,1.58,nan,nan
9/2/2023 10:23:16,1.16.3,RevT_R,0,4.04,nan,1,Right,Right,0,3,1,0,nan,nan,0.04
9/2/2023 10:23:23,1.16.3,RevT_R,0,4.05,4,1,Pellet,Right,0,3,2,0,1.22,31,nan
9/2/2023 10:24:16,1.16.3,RevT_R,0,4.04,nan,1,Right,Right,0,4,2,0,nan,nan,0.14
9/2/2023 10:24:18,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,0,4,3,0,0.97,55,nan
9/2/2023 10:24:45,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,5,3,0,nan,nan,0.45
9/2/2023 10:24:47,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,0,5,4,0,0.79,29,nan
9/2/2023 10:25:11,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,6,4,0,nan,nan,0.14
9/2/2023 10:25:13,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,0,6,5,0,1.28,26,nan
9/2/2023 10:25:28,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,7,5,0,nan,nan,0.31
9/2/2023 10:25:30,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,7,6,0,0.97,17,nan
9/2/2023 10:25:47,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,8,6,0,nan,nan,0.17
9/2/2023 10:25:48,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,8,7,0,0.85,18,nan
9/2/2023 10:26:06,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,9,7,0,nan,nan,0.09
9/2/2023 10:26:07,1.16.3,RevT_R,0,4.04,1,1,Pellet,Right,0,9,8,0,0.91,19,nan
9/2/2023 10:26:12,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,10,8,0,nan,nan,0.30
9/2/2023 10:26:14,1.16.3,RevT_R,0,4.04,1,1,Pellet,Right,0,10,9,0,0.91,7,nan
9/2/2023 10:26:25,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,11,9,0,nan,nan,0.03
9/2/2023 10:26:27,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,11,10,0,1.28,13,nan
9/2/2023 10:33:18,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,12,10,0,nan,nan,0.17
9/2/2023 10:33:20,1.16.3,RevT_R,0,4.04,1,1,Pellet,Right,0,12,11,0,0.85,413,nan
9/2/2023 10:33:58,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,13,11,0,nan,nan,0.08
9/2/2023 10:34:00,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,13,12,0,1.52,40,nan
9/2/2023 10:34:22,1.16.3,RevT_R,0,4.04,nan,1,Right,Right,0,14,12,0,nan,nan,0.19
9/2/2023 10:34:24,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,14,13,0,0.97,23,nan
9/2/2023 10:34:43,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,15,13,0,nan,nan,0.19
9/2/2023 10:34:45,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,0,15,14,0,0.67,22,nan
9/2/2023 10:35:06,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,16,14,0,nan,nan,0.16
9/2/2023 10:35:07,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,0,16,15,0,0.91,22,nan
9/2/2023 10:35:26,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,0,17,15,0,nan,nan,0.24
9/2/2023 10:35:28,1.16.3,RevT_R,0,4.04,nan,1,RightWithPellet,Right,0,18,15,0,nan,nan,0.09
