MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/17/2023 8:52:50,1.16.3,FR1,0,4.12,nan,1,Left,Left,1,0,0,0,nan,nan,0.24
7/17/2023 9:01:57,1.16.3,FR1,0,4.12,3,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
7/17/2023 9:09:04,1.16.3,FR1,0,4.12,nan,1,Left,Left,2,0,1,0,nan,nan,0.66
7/17/2023 9:09:13,1.16.3,FR1,0,4.12,1,1,Pellet,Left,2,0,2,0,7.41,436,nan
7/17/2023 9:10:08,1.16.3,FR1,0,4.12,nan,1,Left,Left,3,0,2,0,nan,nan,0.10
7/17/2023 9:10:13,1.16.3,FR1,0,4.12,1,1,Pellet,Left,3,0,3,0,3.86,60,nan
7/17/2023 9:12:18,1.16.3,FR1,0,4.12,nan,1,Left,Left,4,0,3,0,nan,nan,0.16
7/17/2023 9:12:23,1.16.3,FR1,0,4.12,1,1,Pellet,Left,4,0,4,0,4.36,130,nan
7/17/2023 9:13:40,1.16.3,FR1,0,4.12,nan,1,Left,Left,5,0,4,0,nan,nan,0.02
7/17/2023 9:14:06,1.16.3,FR1,0,4.12,1,1,Pellet,Left,5,0,5,0,25.40,103,nan
7/17/2023 9:17:05,1.16.3,FR1,0,4.12,nan,1,Left,Left,6,0,5,0,nan,nan,0.05
7/17/2023 9:17:07,1.16.3,FR1,0,4.12,1,1,Pellet,Left,6,0,6,0,1.07,181,nan
7/17/2023 9:41:01,1.16.3,FR1,0,4.12,nan,1,Left,Left,7,0,6,0,nan,nan,0.02
7/17/2023 9:41:08,1.16.3,FR1,0,4.12,1,1,Pellet,Left,7,0,7,0,6.33,1441,nan
7/17/2023 10:03:02,1.16.3,FR1,0,4.12,nan,1,Right,Left,7,1,7,0,nan,nan,0.04
7/17/2023 10:03:10,1.16.3,FR1,0,4.12,nan,1,Right,Left,7,2,7,0,nan,nan,0.57
7/17/2023 10:03:20,1.16.3,FR1,0,4.12,nan,1,Right,Left,7,3,7,0,nan,nan,0.01
7/17/2023 10:05:44,1.16.3,FR1,0,4.12,nan,1,Left,Left,8,3,7,0,nan,nan,0.12
7/17/2023 10:05:52,1.16.3,FR1,0,4.12,1,1,Pellet,Left,8,3,8,0,7.35,1484,nan
7/17/2023 10:28:39,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,4,8,0,nan,nan,0.79
7/17/2023 10:28:39,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,5,8,0,nan,nan,0.05
7/17/2023 10:28:58,1.16.3,FR1,0,4.12,nan,1,Right,Left,8,6,8,0,nan,nan,0.43
7/17/2023 10:36:10,1.16.3,FR1,0,4.12,nan,1,Left,Left,9,6,8,0,nan,nan,0.04
7/17/2023 10:36:10,1.16.3,FR1,0,4.11,nan,1,LeftDuringDispense,Left,10,6,8,0,nan,nan,0.05
7/17/2023 10:36:17,1.16.3,FR1,0,4.11,2,1,Pellet,Left,10,6,9,0,3.73,1825,nan
7/17/2023 10:37:19,1.16.3,FR1,0,4.12,nan,1,Right,Left,10,7,9,0,nan,nan,0.05
7/17/2023 10:37:35,1.16.3,FR1,0,4.12,nan,1,Left,Left,11,7,9,0,nan,nan,0.02
7/17/2023 10:37:38,1.16.3,FR1,0,4.12,1,1,Pellet,Left,11,7,10,0,1.39,81,nan
7/17/2023 10:38:51,1.16.3,FR1,0,4.11,nan,1,Right,Left,11,8,10,0,nan,nan,0.07
7/17/2023 10:40:26,1.16.3,FR1,0,4.12,nan,1,Left,Left,12,8,10,0,nan,nan,0.42
7/17/2023 10:40:28,1.16.3,FR1,0,4.12,1,1,Pellet,Left,12,8,11,0,1.51,170,nan
7/17/2023 10:41:53,1.16.3,FR1,0,4.12,nan,1,Left,Left,13,8,11,0,nan,nan,0.00
7/17/2023 10:42:13,1.16.3,FR1,0,4.12,1,1,Pellet,Left,13,8,12,0,19.79,105,nan
7/17/2023 10:44:36,1.16.3,FR1,0,4.11,nan,1,Left,Left,14,8,12,0,nan,nan,0.17
7/17/2023 10:44:41,1.16.3,FR1,0,4.12,2,1,Pellet,Left,14,8,13,0,2.40,148,nan
7/17/2023 10:45:31,1.16.3,FR1,0,4.11,nan,1,Left,Left,15,8,13,0,nan,nan,0.21
7/17/2023 10:45:32,1.16.3,FR1,0,4.12,1,1,Pellet,Left,15,8,14,0,0.69,51,nan
7/17/2023 10:45:54,1.16.3,FR1,0,4.12,nan,1,Left,Left,16,8,14,0,nan,nan,0.35
7/17/2023 10:45:55,1.16.3,FR1,0,4.12,1,1,Pellet,Left,16,8,15,0,0.63,23,nan
7/17/2023 10:46:35,1.16.3,FR1,0,4.11,nan,1,Left,Left,17,8,15,0,nan,nan,0.02
7/17/2023 10:46:57,1.16.3,FR1,0,4.12,1,1,Pellet,Left,17,8,16,0,21.58,62,nan
7/17/2023 10:47:19,1.16.3,FR1,0,4.12,nan,1,Left,Left,18,8,16,0,nan,nan,0.00
7/17/2023 10:47:20,1.16.3,FR1,0,4.12,1,1,Pellet,Left,18,8,17,0,0.63,23,nan
7/17/2023 10:50:02,1.16.3,FR1,0,4.12,nan,1,Left,Left,19,8,17,0,nan,nan,0.20
7/17/2023 10:50:16,1.16.3,FR1,0,4.12,1,1,Pellet,Left,19,8,18,0,12.68,175,nan
7/17/2023 10:50:57,1.16.3,FR1,0,4.12,nan,1,Left,Left,20,8,18,0,nan,nan,0.00
7/17/2023 10:51:00,1.16.3,FR1,0,4.11,1,1,Pellet,Left,20,8,19,0,2.15,45,nan
7/17/2023 10:53:30,1.16.3,FR1,0,4.12,nan,1,Left,Left,21,8,19,0,nan,nan,0.22
7/17/2023 10:53:33,1.16.3,FR1,0,4.11,nan,1,LeftWithPellet,Left,22,8,19,0,nan,nan,0.06
7/17/2023 10:53:34,1.16.3,FR1,0,4.12,2,1,Pellet,Left,22,8,20,0,1.60,154,nan
