MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/11/2023 9:25:57,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,1,0,0,0,nan,nan,0.07
7/11/2023 9:30:40,1.16.3,RevTask_L,0,4.05,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.06
7/11/2023 9:38:53,1.16.3,RevTask_L,0,4.05,4,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
7/11/2023 9:39:27,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,2,1,1,0,nan,nan,0.02
7/11/2023 9:39:30,1.16.3,RevTask_L,0,4.05,2,1,Pellet,Left,2,1,2,0,1.40,37,nan
7/11/2023 9:44:11,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,3,1,2,0,nan,nan,0.02
7/11/2023 9:44:12,1.16.3,RevTask_L,0,4.05,2,1,Pellet,Left,3,1,3,0,0.67,282,nan
7/11/2023 9:44:50,1.16.3,RevTask_L,0,4.04,nan,1,Left,Left,4,1,3,0,nan,nan,0.02
7/11/2023 9:44:52,1.16.3,RevTask_L,0,4.05,2,1,Pellet,Left,4,1,4,0,1.22,40,nan
7/11/2023 9:45:27,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,5,1,4,0,nan,nan,0.04
7/11/2023 9:45:33,1.16.3,RevTask_L,0,4.05,2,1,Pellet,Left,5,1,5,0,2.14,40,nan
7/11/2023 9:46:07,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,2,5,0,nan,nan,0.27
7/11/2023 9:46:09,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,3,5,0,nan,nan,0.03
7/11/2023 9:46:11,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,4,5,0,nan,nan,0.08
7/11/2023 9:46:13,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,5,5,0,nan,nan,0.29
7/11/2023 10:00:10,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,6,5,0,nan,nan,0.06
7/11/2023 10:00:12,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,7,5,0,nan,nan,0.03
7/11/2023 10:00:13,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,8,5,0,nan,nan,0.15
7/11/2023 10:00:17,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,9,5,0,nan,nan,0.32
7/11/2023 10:00:19,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,10,5,0,nan,nan,0.08
7/11/2023 10:00:21,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,11,5,0,nan,nan,0.11
7/11/2023 10:01:40,1.16.3,RevTask_L,0,4.05,nan,1,Right,Left,5,12,5,0,nan,nan,0.07
7/11/2023 10:01:51,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,6,12,5,0,nan,nan,0.03
7/11/2023 10:01:53,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,6,12,6,0,1.22,981,nan
7/11/2023 10:02:32,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,7,12,6,0,nan,nan,0.04
7/11/2023 10:02:35,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,7,12,7,0,1.71,42,nan
7/11/2023 10:03:07,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,8,12,7,0,nan,nan,0.07
7/11/2023 10:03:08,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,8,12,8,0,0.91,33,nan
7/11/2023 10:05:52,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,9,12,8,0,nan,nan,0.03
7/11/2023 10:05:53,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,9,12,9,0,0.55,165,nan
7/11/2023 10:06:19,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,10,12,9,0,nan,nan,0.05
7/11/2023 10:06:20,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,10,12,10,0,0.42,27,nan
7/11/2023 10:06:50,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,11,12,10,0,nan,nan,0.05
7/11/2023 10:06:51,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,11,12,11,0,0.73,31,nan
7/11/2023 10:07:21,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,12,12,11,0,nan,nan,0.04
7/11/2023 10:07:23,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,12,12,12,0,0.48,32,nan
7/11/2023 10:07:49,1.16.3,RevTask_L,0,4.04,nan,1,Left,Left,13,12,12,0,nan,nan,0.01
7/11/2023 10:07:50,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,13,12,13,0,0.42,27,nan
7/11/2023 10:08:18,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,14,12,13,0,nan,nan,0.05
7/11/2023 10:08:19,1.16.3,RevTask_L,0,4.05,1,1,Pellet,Left,14,12,14,0,0.48,29,nan
7/11/2023 10:53:06,1.16.3,RevTask_L,0,4.05,nan,1,Left,Left,15,12,14,0,nan,nan,0.04
