MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/3/2024 9:48:54,1.16.3,RevT_R,0,4.03,nan,1,Right,Right,0,1,0,0,nan,nan,0.16
10/3/2024 9:49:35,1.16.3,RevT_R,0,4.02,3,1,Pellet,Right,0,1,1,0,36.20,nan,nan
10/3/2024 10:07:31,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,1,1,1,0,nan,nan,0.89
10/3/2024 10:20:43,1.16.3,RevT_R,0,4.03,nan,1,Right,Right,1,2,1,0,nan,nan,0.03
10/3/2024 10:20:49,1.16.3,RevT_R,0,4.03,2,1,Pellet,Right,1,2,2,0,3.79,1874,nan
10/3/2024 10:21:20,1.16.3,RevT_R,0,4.04,nan,1,Left,Right,2,2,2,0,nan,nan,0.14
10/3/2024 10:21:23,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,3,2,2,0,nan,nan,0.11
10/3/2024 10:21:28,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,4,2,2,0,nan,nan,0.15
10/3/2024 10:21:30,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,5,2,2,0,nan,nan,0.14
10/3/2024 10:21:33,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,6,2,2,0,nan,nan,0.15
10/3/2024 10:21:36,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,7,2,2,0,nan,nan,0.12
10/3/2024 10:21:39,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,8,2,2,0,nan,nan,0.28
10/3/2024 10:21:44,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,9,2,2,0,nan,nan,0.12
10/3/2024 10:21:46,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,10,2,2,0,nan,nan,0.22
10/3/2024 10:21:49,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,11,2,2,0,nan,nan,0.24
10/3/2024 10:21:50,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,12,2,2,0,nan,nan,0.40
10/3/2024 10:21:52,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,13,2,2,0,nan,nan,0.31
10/3/2024 10:21:54,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,14,2,2,0,nan,nan,0.17
10/3/2024 10:30:20,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,15,2,2,0,nan,nan,0.06
10/3/2024 10:30:23,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,16,2,2,0,nan,nan,0.13
10/3/2024 10:30:25,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,17,2,2,0,nan,nan,0.12
10/3/2024 10:30:27,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,18,2,2,0,nan,nan,0.18
10/3/2024 10:30:37,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,19,2,2,0,nan,nan,0.29
10/3/2024 10:30:39,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,20,2,2,0,nan,nan,0.19
10/3/2024 10:30:40,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,21,2,2,0,nan,nan,0.46
10/3/2024 10:30:42,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,22,2,2,0,nan,nan,0.39
10/3/2024 10:30:44,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,23,2,2,0,nan,nan,0.32
10/3/2024 10:30:46,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,24,2,2,0,nan,nan,0.45
10/3/2024 10:30:48,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,25,2,2,0,nan,nan,0.09
10/3/2024 10:30:51,1.16.3,RevT_R,0,4.03,nan,1,Left,Right,26,2,2,0,nan,nan,0.09
