MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/18/2023 9:47:10,1.16.3,RevTask_R,0,4.06,nan,1,Left,Right,1,0,0,0,nan,nan,0.19
7/18/2023 9:50:20,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,1,1,0,0,nan,nan,0.42
7/18/2023 10:04:25,1.16.3,RevTask_R,0,4.06,nan,1,LeftWithPellet,Right,2,1,0,0,nan,nan,0.33
7/18/2023 10:06:39,1.16.3,RevTask_R,0,4.05,3,1,Pellet,Right,2,1,1,0,Timed_out,nan,nan
7/18/2023 10:19:37,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,2,1,0,nan,nan,0.20
7/18/2023 10:19:39,1.16.3,RevTask_R,0,4.06,nan,1,RightWithPellet,Right,2,3,1,0,nan,nan,0.51
7/18/2023 10:19:40,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,3,2,0,2.55,781,nan
7/18/2023 10:20:07,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,4,2,0,nan,nan,0.17
7/18/2023 10:20:08,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,4,3,0,0.73,28,nan
7/18/2023 10:20:27,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,5,3,0,nan,nan,0.13
7/18/2023 10:20:28,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,5,4,0,0.61,20,nan
7/18/2023 10:20:59,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,6,4,0,nan,nan,0.20
7/18/2023 10:21:00,1.16.3,RevTask_R,0,4.05,1,1,Pellet,Right,2,6,5,0,0.91,32,nan
7/18/2023 10:21:17,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,7,5,0,nan,nan,0.16
7/18/2023 10:21:18,1.16.3,RevTask_R,0,4.05,1,1,Pellet,Right,2,7,6,0,0.67,18,nan
7/18/2023 10:21:39,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,8,6,0,nan,nan,0.19
7/18/2023 10:21:40,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,8,7,0,0.67,22,nan
7/18/2023 10:22:01,1.16.3,RevTask_R,0,4.06,nan,1,Right,Right,2,9,7,0,nan,nan,0.21
7/18/2023 10:22:02,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,9,8,0,0.42,22,nan
7/18/2023 10:25:09,1.16.3,RevTask_R,0,4.05,nan,1,Right,Right,2,10,8,0,nan,nan,0.21
7/18/2023 10:25:10,1.16.3,RevTask_R,0,4.06,1,1,Pellet,Right,2,10,9,0,0.42,188,nan
