MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/21/2024 17:42:19,1.16.3,Light Trk,0,3.67,nan,1,Right,Left,0,1,0,0,nan,nan,0.15
3/21/2024 17:50:03,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,1,1,0,0,nan,nan,0.30
3/21/2024 17:50:08,1.16.3,Light Trk,0,3.67,2,1,Pellet,Left,1,1,1,0,2.19,nan,nan
3/21/2024 17:50:35,1.16.3,Light Trk,0,3.66,nan,1,Right,Left,1,2,1,0,nan,nan,0.56
3/21/2024 17:51:30,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,2,2,1,0,nan,nan,0.00
3/21/2024 17:51:33,1.16.3,Light Trk,0,3.67,1,1,Pellet,Left,2,2,2,0,1.77,85,nan
3/21/2024 17:51:57,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,3,2,2,0,nan,nan,0.41
3/21/2024 17:51:58,1.16.3,Light Trk,0,3.67,nan,1,LeftDuringDispense,Left,4,2,2,0,nan,nan,0.47
3/21/2024 17:51:59,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,5,2,2,0,nan,nan,0.59
3/21/2024 17:52:00,1.16.3,Light Trk,0,3.64,nan,1,LeftDuringDispense,Left,6,2,2,0,nan,nan,0.49
3/21/2024 17:52:04,1.16.3,Light Trk,0,3.67,2,1,Pellet,Left,6,2,3,0,0.06,31,nan
3/21/2024 17:52:50,1.16.3,Light Trk,0,3.66,nan,1,Right,Right,6,3,3,0,nan,nan,0.02
3/21/2024 17:52:55,1.16.3,Light Trk,0,3.67,nan,1,RightWithPellet,Right,6,4,3,0,nan,nan,0.65
3/21/2024 17:53:20,1.16.3,Light Trk,0,3.67,1,1,Pellet,Right,6,4,4,0,29.38,76,nan
3/21/2024 17:53:50,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,7,4,4,0,nan,nan,0.00
3/21/2024 17:53:51,1.16.3,Light Trk,0,3.67,nan,1,LeftDuringDispense,Left,8,4,4,0,nan,nan,0.50
3/21/2024 17:53:56,1.16.3,Light Trk,0,3.67,1,1,Pellet,Left,8,4,5,0,4.10,36,nan
3/21/2024 17:55:13,1.16.3,Light Trk,0,3.67,nan,1,Right,Right,8,5,5,0,nan,nan,0.73
3/21/2024 17:55:37,1.16.3,Light Trk,0,3.66,1,1,Pellet,Right,8,5,6,0,23.21,101,nan
3/21/2024 17:56:01,1.16.3,Light Trk,0,3.67,nan,1,Right,Right,8,6,6,0,nan,nan,0.00
3/21/2024 17:56:21,1.16.3,Light Trk,0,3.66,1,1,Pellet,Right,8,6,7,0,18.78,44,nan
3/21/2024 17:56:38,1.16.3,Light Trk,0,3.67,nan,1,Left,Right,9,6,7,0,nan,nan,0.16
3/21/2024 17:57:26,1.16.3,Light Trk,0,3.67,nan,1,Left,Right,10,6,7,0,nan,nan,0.22
3/21/2024 18:01:49,1.16.3,Light Trk,0,3.67,nan,1,Right,Right,10,7,7,0,nan,nan,0.44
3/21/2024 18:02:13,1.16.3,Light Trk,0,3.66,1,1,Pellet,Right,10,7,8,0,23.81,352,nan
3/21/2024 18:02:46,1.16.3,Light Trk,0,3.66,nan,1,Right,Left,10,8,8,0,nan,nan,0.48
3/21/2024 18:03:12,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,11,8,8,0,nan,nan,1.46
3/21/2024 18:03:12,1.16.3,Light Trk,0,3.66,nan,1,LeftDuringDispense,Left,12,8,8,0,nan,nan,0.10
3/21/2024 18:03:13,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,13,8,8,0,nan,nan,0.04
3/21/2024 18:03:14,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,14,8,8,0,nan,nan,0.09
3/21/2024 18:03:14,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,15,8,8,0,nan,nan,0.01
3/21/2024 18:03:18,1.16.3,Light Trk,0,3.66,1,1,Pellet,Left,15,8,9,0,3.06,65,nan
3/21/2024 18:04:07,1.16.3,Light Trk,0,3.67,nan,1,Right,Right,15,9,9,0,nan,nan,0.48
3/21/2024 18:04:14,1.16.3,Light Trk,0,3.67,1,1,Pellet,Right,15,9,10,0,5.81,56,nan
3/21/2024 18:04:27,1.16.3,Light Trk,0,3.66,nan,1,Right,Left,15,10,10,0,nan,nan,0.00
3/21/2024 18:05:06,1.16.3,Light Trk,0,3.66,nan,1,Left,Left,16,10,10,0,nan,nan,0.00
3/21/2024 18:05:08,1.16.3,Light Trk,0,3.67,nan,1,LeftDuringDispense,Left,17,10,10,0,nan,nan,1.00
3/21/2024 18:05:09,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,18,10,10,0,nan,nan,1.22
3/21/2024 18:05:10,1.16.3,Light Trk,0,3.63,nan,1,LeftDuringDispense,Left,19,10,10,0,nan,nan,0.31
3/21/2024 18:05:11,1.16.3,Light Trk,0,3.64,nan,1,LeftDuringDispense,Left,20,10,10,0,nan,nan,0.03
3/21/2024 18:05:14,1.16.3,Light Trk,0,3.66,nan,1,LeftDuringDispense,Left,21,10,10,0,nan,nan,0.02
3/21/2024 18:05:14,1.16.3,Light Trk,0,3.64,nan,1,LeftDuringDispense,Left,22,10,10,0,nan,nan,0.14
3/21/2024 18:05:19,1.16.3,Light Trk,0,3.67,nan,1,LeftWithPellet,Left,23,10,10,0,nan,nan,0.74
3/21/2024 18:05:20,1.16.3,Light Trk,0,3.67,2,1,Pellet,Left,23,10,11,0,5.30,66,nan
3/21/2024 18:06:23,1.16.3,Light Trk,0,3.66,nan,1,Right,Left,23,11,11,0,nan,nan,0.32
3/21/2024 18:06:26,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,24,11,11,0,nan,nan,0.16
3/21/2024 18:06:47,1.16.3,Light Trk,0,3.66,1,1,Pellet,Left,24,11,12,0,20.00,87,nan
3/21/2024 18:07:06,1.16.3,Light Trk,0,3.66,nan,1,Left,Left,25,11,12,0,nan,nan,0.00
3/21/2024 18:07:08,1.16.3,Light Trk,0,3.67,1,1,Pellet,Left,25,11,13,0,1.28,21,nan
3/21/2024 18:07:36,1.16.3,Light Trk,0,3.66,nan,1,Left,Right,26,11,13,0,nan,nan,0.00
3/21/2024 18:09:22,1.16.3,Light Trk,0,3.67,nan,1,Right,Right,26,12,13,0,nan,nan,0.70
3/21/2024 18:09:24,1.16.3,Light Trk,0,3.66,nan,1,RightWithPellet,Right,26,13,13,0,nan,nan,0.39
3/21/2024 18:09:25,1.16.3,Light Trk,0,3.66,nan,1,RightWithPellet,Right,26,14,13,0,nan,nan,0.32
3/21/2024 18:09:27,1.16.3,Light Trk,0,3.66,1,1,Pellet,Right,26,14,14,0,4.58,139,nan
3/21/2024 18:10:27,1.16.3,Light Trk,0,3.67,nan,1,Left,Left,27,14,14,0,nan,nan,0.00
3/21/2024 18:10:42,1.16.3,Light Trk,0,3.66,6,1,Pellet,Left,27,14,15,0,2.56,75,nan
3/21/2024 18:11:03,1.16.3,Light Trk,0,3.67,nan,1,Left,Right,28,14,15,0,nan,nan,0.03
3/21/2024 18:11:06,1.16.3,Light Trk,0,3.66,nan,1,Left,Right,29,14,15,0,nan,nan,0.45
3/21/2024 18:11:13,1.16.3,Light Trk,0,3.66,nan,1,Right,Right,29,15,15,0,nan,nan,0.89
3/21/2024 18:11:13,1.16.3,Light Trk,0,3.67,nan,1,RightDuringDispense,Right,29,16,15,0,nan,nan,0.07
3/21/2024 18:11:14,1.16.3,Light Trk,0,3.63,nan,1,RightDuringDispense,Right,29,17,15,0,nan,nan,0.00
3/21/2024 18:11:15,1.16.3,Light Trk,0,3.63,nan,1,RightDuringDispense,Right,29,18,15,0,nan,nan,0.09
3/21/2024 18:11:20,1.16.3,Light Trk,0,3.67,2,1,Pellet,Right,29,18,16,0,3.91,38,nan
3/21/2024 18:11:31,1.16.3,Light Trk,0,3.67,nan,1,Right,Left,29,19,16,0,nan,nan,0.06
