MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/21/2024 18:10:05,1.16.3,RevT_L,0,4.07,nan,99,Left,Left,1,0,0,0,nan,nan,0.13
3/21/2024 18:10:07,1.16.3,RevT_L,0,4.07,nan,99,LeftWithPellet,Left,2,0,0,0,nan,nan,0.36
3/21/2024 18:10:58,1.16.3,RevT_L,0,4.07,1,99,Pellet,Left,2,0,1,0,52.10,nan,nan
3/21/2024 18:11:14,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,2,1,1,0,nan,nan,0.35
3/21/2024 18:11:49,1.16.3,RevT_L,0,4.08,nan,99,Right,Left,2,2,1,0,nan,nan,0.16
3/21/2024 18:11:59,1.16.3,RevT_L,0,4.07,nan,99,Left,Left,3,2,1,0,nan,nan,0.04
3/21/2024 18:12:03,1.16.3,RevT_L,0,4.07,1,99,Pellet,Left,3,2,2,0,3.18,65,nan
3/21/2024 18:13:47,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,3,2,0,nan,nan,1.21
3/21/2024 18:13:49,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,4,2,0,nan,nan,0.13
3/21/2024 18:13:58,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,5,2,0,nan,nan,0.04
3/21/2024 18:14:02,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,6,2,0,nan,nan,0.41
3/21/2024 18:14:10,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,7,2,0,nan,nan,0.46
3/21/2024 18:14:14,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,8,2,0,nan,nan,0.02
3/21/2024 18:14:14,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,9,2,0,nan,nan,0.00
3/21/2024 18:14:20,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,10,2,0,nan,nan,0.29
3/21/2024 18:14:30,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,11,2,0,nan,nan,0.02
3/21/2024 18:14:31,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,3,12,2,0,nan,nan,0.36
3/21/2024 18:16:29,1.16.3,RevT_L,0,4.07,nan,99,Left,Left,4,12,2,0,nan,nan,0.03
3/21/2024 18:16:41,1.16.3,RevT_L,0,4.07,1,99,Pellet,Left,4,12,3,0,10.97,278,nan
3/21/2024 18:16:50,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,4,13,3,0,nan,nan,0.12
3/21/2024 19:35:32,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,4,14,3,0,nan,nan,0.57
3/21/2024 19:35:37,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,4,15,3,0,nan,nan,0.05
3/21/2024 19:35:43,1.16.3,RevT_L,0,4.07,nan,99,Left,Left,5,15,3,0,nan,nan,0.03
3/21/2024 19:35:43,1.16.3,RevT_L,0,4.07,nan,99,LeftDuringDispense,Left,6,15,3,0,nan,nan,0.43
3/21/2024 19:35:47,1.16.3,RevT_L,0,4.07,2,99,Pellet,Left,6,15,4,0,0.42,4746,nan
3/21/2024 19:35:55,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,6,16,4,0,nan,nan,0.51
3/21/2024 19:36:18,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,6,17,4,0,nan,nan,0.02
3/21/2024 19:36:23,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,6,18,4,0,nan,nan,0.10
3/21/2024 19:36:27,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,6,19,4,0,nan,nan,0.42
3/21/2024 19:36:33,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,6,20,4,0,nan,nan,0.07
3/21/2024 19:36:36,1.16.3,RevT_L,0,4.07,nan,99,Left,Left,7,20,4,0,nan,nan,0.61
3/21/2024 19:36:39,1.16.3,RevT_L,0,4.07,1,99,Pellet,Left,7,20,5,0,2.38,52,nan
3/21/2024 19:36:45,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,7,21,5,0,nan,nan,0.14
3/21/2024 19:36:49,1.16.3,RevT_L,0,4.07,nan,99,Right,Left,7,22,5,0,nan,nan,0.04
