MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/20/2024 18:12:05,1.16.3,FR1,0,4.15,nan,1,Right,Left,0,1,0,0,nan,nan,0.38
3/20/2024 18:12:08,1.16.3,FR1,0,4.15,nan,1,Right,Left,0,2,0,0,nan,nan,0.31
3/20/2024 18:14:14,1.16.3,FR1,0,4.15,nan,1,Right,Left,0,3,0,0,nan,nan,0.03
3/20/2024 18:20:33,1.16.3,FR1,0,4.15,nan,1,Left,Left,1,3,0,0,nan,nan,0.88
3/20/2024 18:20:35,1.16.3,FR1,0,4.16,nan,1,LeftDuringDispense,Left,2,3,0,0,nan,nan,1.50
3/20/2024 18:20:35,1.16.3,FR1,0,4.16,nan,1,LeftDuringDispense,Left,3,3,0,0,nan,nan,0.06
3/20/2024 18:20:36,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,4,3,0,0,nan,nan,0.14
3/20/2024 18:21:47,1.16.3,FR1,0,4.15,3,1,Pellet,Left,4,3,1,0,Timed_out,nan,nan
3/20/2024 18:22:12,1.16.3,FR1,0,4.15,nan,1,Right,Left,4,4,1,0,nan,nan,0.35
3/20/2024 18:36:52,1.16.3,FR1,0,4.16,nan,1,Left,Left,5,4,1,0,nan,nan,0.10
3/20/2024 18:36:52,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,6,4,1,0,nan,nan,0.05
3/20/2024 18:36:53,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,7,4,1,0,nan,nan,0.15
3/20/2024 18:36:53,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,8,4,1,0,nan,nan,0.37
3/20/2024 18:37:02,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,8,5,1,0,nan,nan,0.17
3/20/2024 18:37:02,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,8,6,1,0,nan,nan,0.04
3/20/2024 18:37:19,1.16.3,FR1,0,4.15,2,1,Pellet,Left,8,6,2,0,22.30,932,nan
3/20/2024 18:37:40,1.16.3,FR1,0,4.15,nan,1,Left,Left,9,6,2,0,nan,nan,0.31
3/20/2024 18:38:38,1.16.3,FR1,0,4.15,1,1,Pellet,Left,9,6,3,0,57.38,79,nan
3/20/2024 18:38:59,1.16.3,FR1,0,4.15,nan,1,Left,Left,10,6,3,0,nan,nan,0.32
3/20/2024 18:38:59,1.16.3,FR1,0,4.14,nan,1,LeftDuringDispense,Left,11,6,3,0,nan,nan,0.10
3/20/2024 18:39:21,1.16.3,FR1,0,4.15,2,1,Pellet,Left,11,6,4,0,19.14,43,nan
3/20/2024 18:42:11,1.16.3,FR1,0,4.15,nan,1,Left,Left,12,6,4,0,nan,nan,0.26
3/20/2024 18:42:13,1.16.3,FR1,0,4.15,nan,1,LeftWithPellet,Left,13,6,4,0,nan,nan,0.03
3/20/2024 18:42:44,1.16.3,FR1,0,4.15,1,1,Pellet,Left,13,6,5,0,32.72,203,nan
3/20/2024 18:50:44,1.16.3,FR1,0,4.15,nan,1,Left,Left,14,6,5,0,nan,nan,0.23
3/20/2024 18:50:50,1.16.3,FR1,0,4.15,1,1,Pellet,Left,14,6,6,0,5.02,486,nan
3/20/2024 18:51:14,1.16.3,FR1,0,4.15,nan,1,Right,Left,14,7,6,0,nan,nan,0.03
3/20/2024 18:53:47,1.16.3,FR1,0,4.15,nan,1,Left,Left,15,7,6,0,nan,nan,0.29
3/20/2024 18:53:57,1.16.3,FR1,0,4.15,2,1,Pellet,Left,15,7,7,0,7.35,187,nan
3/20/2024 18:58:55,1.16.3,FR1,0,4.15,nan,1,Left,Left,16,7,7,0,nan,nan,0.06
3/20/2024 18:58:57,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,17,7,7,0,nan,nan,0.99
3/20/2024 18:59:02,1.16.3,FR1,0,4.15,2,1,Pellet,Left,17,7,8,0,2.69,305,nan
3/20/2024 19:18:33,1.16.3,FR1,0,4.14,nan,1,Right,Left,17,8,8,0,nan,nan,0.24
3/20/2024 19:19:48,1.16.3,FR1,0,4.15,nan,1,Right,Left,17,9,8,0,nan,nan,0.10
3/20/2024 19:19:57,1.16.3,FR1,0,4.15,nan,1,Right,Left,17,10,8,0,nan,nan,0.01
3/20/2024 19:23:30,1.16.3,FR1,0,4.15,nan,1,Right,Left,17,11,8,0,nan,nan,0.44
3/20/2024 19:23:31,1.16.3,FR1,0,4.15,nan,1,Right,Left,17,12,8,0,nan,nan,0.04
3/20/2024 19:42:07,1.16.3,FR1,0,4.15,nan,1,Left,Left,18,12,8,0,nan,nan,0.27
3/20/2024 19:42:09,1.16.3,FR1,0,4.15,nan,1,LeftDuringDispense,Left,19,12,8,0,nan,nan,0.62
3/20/2024 19:42:14,1.16.3,FR1,0,4.14,2,1,Pellet,Left,19,12,9,0,2.50,2592,nan
3/20/2024 19:42:48,1.16.3,FR1,0,4.15,nan,1,Right,Left,19,13,9,0,nan,nan,0.07
3/20/2024 19:54:01,1.16.3,FR1,0,4.14,nan,1,Right,Left,19,14,9,0,nan,nan,0.00
3/20/2024 19:56:08,1.16.3,FR1,0,4.15,nan,1,Left,Left,20,14,9,0,nan,nan,0.30
3/20/2024 19:56:14,1.16.3,FR1,0,4.15,1,1,Pellet,Left,20,14,10,0,5.88,840,nan
3/20/2024 19:59:36,1.16.3,FR1,0,4.15,nan,1,Right,Left,20,15,10,0,nan,nan,0.98
3/20/2024 19:59:36,1.16.3,FR1,0,4.15,nan,1,Right,Left,20,16,10,0,nan,nan,0.00
3/20/2024 19:59:52,1.16.3,FR1,0,4.15,nan,1,Right,Left,20,17,10,0,nan,nan,0.43
3/20/2024 20:00:06,1.16.3,FR1,0,4.15,nan,1,Left,Left,21,17,10,0,nan,nan,0.50
3/20/2024 20:00:09,1.16.3,FR1,0,4.14,1,1,Pellet,Left,21,17,11,0,2.01,235,nan
3/20/2024 20:02:01,1.16.3,FR1,0,4.15,nan,1,Right,Left,21,18,11,0,nan,nan,0.04
3/20/2024 20:02:03,1.16.3,FR1,0,4.14,nan,1,Right,Left,21,19,11,0,nan,nan,0.78
