MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/20/2024 18:04:28,1.16.3,FR1,0,4.23,nan,1,Left,Left,1,0,0,0,nan,nan,0.05
3/20/2024 18:04:29,1.16.3,FR1,0,4.24,nan,1,LeftDuringDispense,Left,2,0,0,0,nan,nan,0.17
3/20/2024 18:06:13,1.16.3,FR1,0,4.24,nan,1,RightWithPellet,Left,2,1,0,0,nan,nan,0.03
3/20/2024 18:06:14,1.16.3,FR1,0,4.23,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,0.17
3/20/2024 18:06:14,1.16.3,FR1,0,4.23,nan,1,RightWithPellet,Left,2,3,0,0,nan,nan,0.20
3/20/2024 18:07:12,1.16.3,FR1,0,4.24,nan,1,LeftWithPellet,Left,3,3,0,0,nan,nan,0.54
3/20/2024 18:07:18,1.16.3,FR1,0,4.24,3,1,Pellet,Left,3,3,1,0,Timed_out,nan,nan
3/20/2024 18:08:30,1.16.3,FR1,0,4.23,nan,1,Left,Left,4,3,1,0,nan,nan,0.02
3/20/2024 18:08:30,1.16.3,FR1,0,4.24,nan,1,LeftDuringDispense,Left,5,3,1,0,nan,nan,0.21
3/20/2024 18:08:31,1.16.3,FR1,0,4.24,nan,1,LeftDuringDispense,Left,6,3,1,0,nan,nan,0.07
3/20/2024 18:10:21,1.16.3,FR1,0,4.24,nan,1,RightWithPellet,Left,6,4,1,0,nan,nan,0.06
3/20/2024 18:10:21,1.16.3,FR1,0,4.23,nan,1,RightWithPellet,Left,6,5,1,0,nan,nan,0.16
3/20/2024 18:10:55,1.16.3,FR1,0,4.23,3,1,Pellet,Left,6,5,2,0,Timed_out,217,nan
3/20/2024 18:12:17,1.16.3,FR1,0,4.24,nan,1,Right,Left,6,6,2,0,nan,nan,0.21
3/20/2024 18:12:47,1.16.3,FR1,0,4.23,nan,1,Right,Left,6,7,2,0,nan,nan,0.41
3/20/2024 18:12:49,1.16.3,FR1,0,4.24,nan,1,Right,Left,6,8,2,0,nan,nan,0.04
3/20/2024 18:13:15,1.16.3,FR1,0,4.24,nan,1,Left,Left,7,8,2,0,nan,nan,0.33
3/20/2024 18:16:56,1.16.3,FR1,0,4.23,1,1,Pellet,Left,7,8,3,0,Timed_out,361,nan
3/20/2024 18:17:42,1.16.3,FR1,0,4.23,nan,1,Right,Left,7,9,3,0,nan,nan,0.41
3/20/2024 18:17:44,1.16.3,FR1,0,4.23,nan,1,Right,Left,7,10,3,0,nan,nan,0.07
3/20/2024 18:17:46,1.16.3,FR1,0,4.24,nan,1,Right,Left,7,11,3,0,nan,nan,0.37
3/20/2024 18:17:47,1.16.3,FR1,0,4.24,nan,1,Right,Left,7,12,3,0,nan,nan,0.07
3/20/2024 18:17:49,1.16.3,FR1,0,4.24,nan,1,Left,Left,8,12,3,0,nan,nan,0.06
3/20/2024 18:17:50,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,9,12,3,0,nan,nan,0.40
3/20/2024 18:17:50,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,10,12,3,0,nan,nan,0.01
3/20/2024 18:17:51,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,11,12,3,0,nan,nan,0.11
3/20/2024 18:17:52,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,12,12,3,0,nan,nan,0.63
3/20/2024 18:17:54,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,13,12,3,0,nan,nan,0.58
3/20/2024 18:17:55,1.16.3,FR1,0,4.24,nan,1,LeftDuringDispense,Left,14,12,3,0,nan,nan,0.04
3/20/2024 18:17:55,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,15,12,3,0,nan,nan,0.02
3/20/2024 18:17:55,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,16,12,3,0,nan,nan,0.03
3/20/2024 18:17:56,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,17,12,3,0,nan,nan,0.05
3/20/2024 18:18:01,1.16.3,FR1,0,4.23,3,1,Pellet,Left,17,12,4,0,2.99,65,nan
3/20/2024 18:22:33,1.16.3,FR1,0,4.23,nan,1,Right,Left,17,13,4,0,nan,nan,0.16
3/20/2024 18:24:28,1.16.3,FR1,0,4.23,nan,1,Right,Left,17,14,4,0,nan,nan,0.22
3/20/2024 18:30:51,1.16.3,FR1,0,4.23,nan,1,Left,Left,18,14,4,0,nan,nan,0.16
3/20/2024 18:31:02,1.16.3,FR1,0,4.23,1,1,Pellet,Left,18,14,5,0,10.05,781,nan
3/20/2024 18:31:54,1.16.3,FR1,0,4.23,nan,1,Left,Left,19,14,5,0,nan,nan,0.01
3/20/2024 18:31:55,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,20,14,5,0,nan,nan,0.46
3/20/2024 18:32:01,1.16.3,FR1,0,4.23,2,1,Pellet,Left,20,14,6,0,3.30,59,nan
3/20/2024 18:32:30,1.16.3,FR1,0,4.23,nan,1,Left,Left,21,14,6,0,nan,nan,0.03
3/20/2024 18:32:33,1.16.3,FR1,0,4.24,2,1,Pellet,Left,21,14,7,0,2.08,32,nan
3/20/2024 18:33:19,1.16.3,FR1,0,4.23,nan,1,Right,Left,21,15,7,0,nan,nan,0.03
3/20/2024 18:42:00,1.16.3,FR1,0,4.23,nan,1,Right,Left,21,16,7,0,nan,nan,0.06
3/20/2024 18:42:00,1.16.3,FR1,0,4.23,nan,1,Right,Left,21,17,7,0,nan,nan,0.00
3/20/2024 18:42:01,1.16.3,FR1,0,4.23,nan,1,Right,Left,21,18,7,0,nan,nan,0.00
3/20/2024 18:43:16,1.16.3,FR1,0,4.23,nan,1,Left,Left,22,18,7,0,nan,nan,0.93
3/20/2024 18:43:16,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,23,18,7,0,nan,nan,0.01
3/20/2024 18:44:04,1.16.3,FR1,0,4.23,2,1,Pellet,Left,23,18,8,0,44.89,691,nan
3/20/2024 18:48:28,1.16.3,FR1,0,4.23,nan,1,Left,Left,24,18,8,0,nan,nan,0.23
3/20/2024 18:48:29,1.16.3,FR1,0,4.24,nan,1,LeftDuringDispense,Left,25,18,8,0,nan,nan,0.14
3/20/2024 18:48:34,1.16.3,FR1,0,4.23,2,1,Pellet,Left,25,18,9,0,2.93,270,nan
3/20/2024 18:49:03,1.16.3,FR1,0,4.23,nan,1,Right,Left,25,19,9,0,nan,nan,0.07
3/20/2024 18:49:05,1.16.3,FR1,0,4.23,nan,1,Right,Left,25,20,9,0,nan,nan,0.00
3/20/2024 18:49:07,1.16.3,FR1,0,4.23,nan,1,Right,Left,25,21,9,0,nan,nan,0.00
3/20/2024 18:49:08,1.16.3,FR1,0,4.23,nan,1,Right,Left,25,22,9,0,nan,nan,0.85
3/20/2024 18:49:35,1.16.3,FR1,0,4.23,nan,1,Left,Left,26,22,9,0,nan,nan,0.06
3/20/2024 18:49:44,1.16.3,FR1,0,4.23,1,1,Pellet,Left,26,22,10,0,9.07,70,nan
3/20/2024 18:52:36,1.16.3,FR1,0,4.23,nan,1,Right,Left,26,23,10,0,nan,nan,0.05
3/20/2024 18:53:33,1.16.3,FR1,0,4.23,nan,1,Left,Left,27,23,10,0,nan,nan,0.12
3/20/2024 18:53:34,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,28,23,10,0,nan,nan,0.53
3/20/2024 18:53:41,1.16.3,FR1,0,4.23,2,1,Pellet,Left,28,23,11,0,4.22,237,nan
3/20/2024 18:54:45,1.16.3,FR1,0,4.23,nan,1,Left,Left,29,23,11,0,nan,nan,0.09
3/20/2024 18:55:08,1.16.3,FR1,0,4.23,2,1,Pellet,Left,29,23,12,0,21.43,87,nan
3/20/2024 18:56:37,1.16.3,FR1,0,4.23,nan,1,Left,Left,30,23,12,0,nan,nan,0.04
3/20/2024 18:56:37,1.16.3,FR1,0,4.23,nan,1,LeftDuringDispense,Left,31,23,12,0,nan,nan,0.09
3/20/2024 18:56:42,1.16.3,FR1,0,4.23,2,1,Pellet,Left,31,23,13,0,1.65,94,nan
3/20/2024 18:57:07,1.16.3,FR1,0,4.23,nan,1,Left,Left,32,23,13,0,nan,nan,0.00
3/20/2024 18:57:11,1.16.3,FR1,0,4.23,1,1,Pellet,Left,32,23,14,0,2.93,29,nan
3/20/2024 18:57:49,1.16.3,FR1,0,4.24,nan,1,Left,Left,33,23,14,0,nan,nan,0.22
3/20/2024 18:57:57,1.16.3,FR1,0,4.23,1,1,Pellet,Left,33,23,15,0,6.43,46,nan
3/20/2024 19:01:18,1.16.3,FR1,0,4.23,nan,1,Right,Left,33,24,15,0,nan,nan,0.18
3/20/2024 19:03:15,1.16.3,FR1,0,4.24,nan,1,Left,Left,34,24,15,0,nan,nan,0.19
3/20/2024 19:03:19,1.16.3,FR1,0,4.23,1,1,Pellet,Left,34,24,16,0,2.87,322,nan
3/20/2024 19:03:40,1.16.3,FR1,0,4.23,nan,1,Left,Left,35,24,16,0,nan,nan,0.25
3/20/2024 19:03:52,1.16.3,FR1,0,4.23,2,1,Pellet,Left,35,24,17,0,8.58,32,nan
3/20/2024 19:04:52,1.16.3,FR1,0,4.23,nan,1,Left,Left,36,24,17,0,nan,nan,0.00
