MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/0/2000 30:03:29,1.16.3,RevT_R,0,4.09,nan,1,Right,Right,0,1,0,0,nan,nan,0.24
1/0/2000 30:03:29,1.16.3,RevT_R,0,4.09,nan,1,RightDuringDispense,Right,0,2,0,0,nan,nan,0.07
1/0/2000 30:03:29,1.16.3,RevT_R,0,4.09,nan,1,RightDuringDispense,Right,0,3,0,0,nan,nan,0.08
1/0/2000 30:03:34,1.16.3,RevT_R,0,4.09,nan,1,RightWithPellet,Right,0,4,0,0,nan,nan,0.55
1/0/2000 30:03:51,1.16.3,RevT_R,0,4.09,3,1,Pellet,Right,0,4,1,0,18.94,nan,nan
1/0/2000 30:04:08,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,1,4,1,0,nan,nan,0.05
1/0/2000 30:04:54,1.16.3,RevT_R,0,4.09,nan,1,Right,Right,1,5,1,0,nan,nan,0.15
1/0/2000 30:04:55,1.16.3,RevT_R,0,4.09,nan,1,RightDuringDispense,Right,1,6,1,0,nan,nan,0.63
1/0/2000 30:05:01,1.16.3,RevT_R,0,4.09,3,1,Pellet,Right,1,6,2,0,2.87,70,nan
1/0/2000 30:05:11,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,2,6,2,0,nan,nan,0.11
1/0/2000 30:05:31,1.16.3,RevT_R,0,4.09,nan,1,Right,Right,2,7,2,0,nan,nan,0.15
1/0/2000 30:06:19,1.16.3,RevT_R,0,4.09,11,1,Pellet,Right,2,7,3,0,20.72,78,nan
1/0/2000 30:07:02,1.16.3,RevT_R,0,4.09,nan,1,Right,Right,2,8,3,0,nan,nan,0.03
1/0/2000 30:07:20,1.16.3,RevT_R,0,4.09,3,1,Pellet,Right,2,8,4,0,12.56,61,nan
1/0/2000 30:08:20,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,3,8,4,0,nan,nan,0.03
1/0/2000 30:09:11,1.16.3,RevT_R,0,4.09,nan,1,Right,Right,3,9,4,0,nan,nan,0.74
1/0/2000 30:10:04,1.16.3,RevT_R,0,4.09,2,1,Pellet,Right,3,9,5,0,52.36,164,nan
1/0/2000 30:11:33,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,4,9,5,0,nan,nan,1.26
1/0/2000 30:11:34,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,5,9,5,0,nan,nan,0.00
