MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/20/2024 17:58:38,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,0,1,0,0,nan,nan,0.03
3/20/2024 17:58:39,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,0,2,0,0,nan,nan,0.32
3/20/2024 17:58:39,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,0,3,0,0,nan,nan,0.11
3/20/2024 17:58:57,1.16.3,FR1_R,0,4.12,2,1,Pellet,Right,0,3,1,0,15.14,nan,nan
3/20/2024 17:59:13,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,0,4,1,0,nan,nan,0.05
3/20/2024 18:00:20,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,0,4,2,0,Timed_out,83,nan
3/20/2024 18:00:34,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,1,4,2,0,nan,nan,0.07
3/20/2024 18:13:10,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,1,5,2,0,nan,nan,0.00
3/20/2024 18:13:23,1.16.3,FR1_R,0,4.12,1,1,Pellet,Right,1,5,3,0,12.50,783,nan
3/20/2024 18:25:50,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,2,5,3,0,nan,nan,0.54
3/20/2024 18:25:56,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,3,5,3,0,nan,nan,0.00
3/20/2024 18:36:51,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,3,6,3,0,nan,nan,0.03
3/20/2024 18:36:51,1.16.3,FR1_R,0,4.11,nan,1,RightDuringDispense,Right,3,7,3,0,nan,nan,0.02
3/20/2024 18:36:52,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,3,8,3,0,nan,nan,0.20
3/20/2024 18:37:17,1.16.3,FR1_R,0,4.12,2,1,Pellet,Right,3,8,4,0,22.90,1434,nan
3/20/2024 18:37:37,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,4,8,4,0,nan,nan,0.23
3/20/2024 18:42:16,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,5,8,4,0,nan,nan,0.16
3/20/2024 19:05:49,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,6,8,4,0,nan,nan,0.67
3/20/2024 19:06:36,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,7,8,4,0,nan,nan,0.02
3/20/2024 19:07:33,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,8,8,4,0,nan,nan,0.01
3/20/2024 19:07:47,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,9,8,4,0,nan,nan,0.41
3/20/2024 19:09:49,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,10,8,4,0,nan,nan,0.05
3/20/2024 19:10:03,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,11,8,4,0,nan,nan,0.06
3/20/2024 19:10:05,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,12,8,4,0,nan,nan,0.21
3/20/2024 19:10:07,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,13,8,4,0,nan,nan,0.03
3/20/2024 19:17:43,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,14,8,4,0,nan,nan,0.29
3/20/2024 19:17:47,1.16.3,FR1_R,0,4.12,nan,1,Right,Right,14,9,4,0,nan,nan,0.07
3/20/2024 19:17:48,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,14,10,4,0,nan,nan,0.01
3/20/2024 19:18:19,1.16.3,FR1_R,0,4.12,2,1,Pellet,Right,14,10,5,0,27.99,2462,nan
3/20/2024 19:18:52,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,15,10,5,0,nan,nan,0.32
3/20/2024 19:19:07,1.16.3,FR1_R,0,4.11,nan,1,Right,Right,15,11,5,0,nan,nan,0.06
3/20/2024 19:19:07,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,15,12,5,0,nan,nan,0.33
3/20/2024 19:19:10,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,15,13,5,0,nan,nan,0.79
3/20/2024 19:19:15,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,15,14,5,0,nan,nan,0.06
3/20/2024 19:19:16,1.16.3,FR1_R,0,4.12,nan,1,RightDuringDispense,Right,15,15,5,0,nan,nan,0.58
3/20/2024 19:19:17,1.16.3,FR1_R,0,4.11,nan,1,RightDuringDispense,Right,15,16,5,0,nan,nan,0.90
3/20/2024 19:19:18,1.16.3,FR1_R,0,4.11,nan,1,RightDuringDispense,Right,15,17,5,0,nan,nan,0.05
3/20/2024 19:21:48,1.16.3,FR1_R,0,4.11,23,1,Pellet,Right,15,17,6,0,Timed_out,209,nan
3/20/2024 19:23:32,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,16,17,6,0,nan,nan,0.05
3/20/2024 19:30:29,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,17,17,6,0,nan,nan,0.05
3/20/2024 19:53:39,1.16.3,FR1_R,0,4.11,nan,1,Right,Right,17,18,6,0,nan,nan,0.15
3/20/2024 19:53:55,1.16.3,FR1_R,0,4.12,6,1,Pellet,Right,17,18,7,0,4.34,1927,nan
3/20/2024 19:54:14,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,18,18,7,0,nan,nan,0.37
3/20/2024 19:55:25,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,19,18,7,0,nan,nan,0.42
3/20/2024 20:00:18,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,20,18,7,0,nan,nan,0.06
3/20/2024 20:06:47,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,21,18,7,0,nan,nan,0.32
3/20/2024 20:20:55,1.16.3,FR1_R,0,4.12,nan,1,Left,Right,22,18,7,0,nan,nan,0.43
3/20/2024 20:21:07,1.16.3,FR1_R,0,4.11,nan,1,Right,Right,22,19,7,0,nan,nan,0.36
3/20/2024 20:22:03,1.16.3,FR1_R,0,4.11,17,1,Pellet,Right,22,19,8,0,11.10,1688,nan
3/20/2024 20:22:18,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,23,19,8,0,nan,nan,0.21
3/20/2024 20:24:07,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,24,19,8,0,nan,nan,0.20
3/20/2024 20:26:16,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,25,19,8,0,nan,nan,0.15
3/20/2024 20:28:20,1.16.3,FR1_R,0,4.11,nan,1,Right,Right,25,20,8,0,nan,nan,0.10
3/20/2024 20:32:48,1.16.3,FR1_R,0,4.11,nan,1,LeftDuringDispense,Right,26,20,8,0,nan,nan,0.04
3/20/2024 20:38:53,1.16.3,FR1_R,0,4.11,201,1,Pellet,Right,26,20,9,0,30.87,1010,nan
3/20/2024 20:39:11,1.16.3,FR1_R,0,4.11,nan,1,Left,Right,27,20,9,0,nan,nan,0.08
3/20/2024 20:39:54,1.16.3,FR1_R,0,4.11,nan,1,Right,Right,27,21,9,0,nan,nan,0.26
3/20/2024 21:00:39,1.16.3,FR1_R,0,4.09,411,1,Pellet,Right,27,21,10,0,0.06,1306,nan
3/20/2024 21:09:02,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,28,21,10,0,nan,nan,0.02
3/20/2024 21:09:32,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,28,22,10,0,nan,nan,0.14
3/20/2024 21:11:16,1.16.3,FR1_R,0,4.09,11,1,Pellet,Right,28,22,11,0,Timed_out,637,nan
3/20/2024 21:11:29,1.16.3,FR1_R,0,4.08,nan,1,Left,Right,29,22,11,0,nan,nan,0.21
3/20/2024 21:13:10,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,30,22,11,0,nan,nan,0.02
3/20/2024 21:20:26,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,31,22,11,0,nan,nan,0.18
3/20/2024 21:24:03,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,32,22,11,0,nan,nan,0.40
3/20/2024 21:40:16,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,33,22,11,0,nan,nan,0.19
3/20/2024 21:51:25,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,34,22,11,0,nan,nan,0.47
3/20/2024 22:16:51,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,35,22,11,0,nan,nan,0.90
3/20/2024 22:16:53,1.16.3,FR1_R,0,4.08,nan,1,Left,Right,36,22,11,0,nan,nan,0.00
3/20/2024 22:24:39,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,37,22,11,0,nan,nan,0.64
3/20/2024 22:24:41,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,38,22,11,0,nan,nan,0.95
3/20/2024 22:24:42,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,39,22,11,0,nan,nan,0.70
3/20/2024 22:24:44,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,40,22,11,0,nan,nan,0.57
3/20/2024 22:26:26,1.16.3,FR1_R,0,4.09,nan,1,Left,Right,41,22,11,0,nan,nan,0.05
3/20/2024 22:27:34,1.16.3,FR1_R,0,4.09,nan,1,Right,Right,41,23,11,0,nan,nan,0.12
3/20/2024 22:28:39,1.16.3,FR1_R,0,4.09,nan,1,RightDuringDispense,Right,41,24,11,0,nan,nan,1.18
3/20/2024 22:28:40,1.16.3,FR1_R,0,4.09,nan,1,RightDuringDispense,Right,41,25,11,0,nan,nan,0.22
3/20/2024 22:28:46,1.16.3,FR1_R,0,4.08,nan,1,RightDuringDispense,Right,41,26,11,0,nan,nan,0.24
3/20/2024 22:28:47,1.16.3,FR1_R,0,4.09,nan,1,RightDuringDispense,Right,41,27,11,0,nan,nan,0.15
3/20/2024 22:29:34,1.16.3,FR1_R,0,4.08,nan,1,LeftDuringDispense,Right,42,27,11,0,nan,nan,0.03
3/20/2024 22:29:34,1.16.3,FR1_R,0,4.08,nan,1,LeftDuringDispense,Right,43,27,11,0,nan,nan,0.16
3/20/2024 22:29:36,1.16.3,FR1_R,0,4.09,nan,1,LeftDuringDispense,Right,44,27,11,0,nan,nan,0.02
3/20/2024 22:40:07,1.16.3,FR1_R,0,4.07,nan,1,LeftDuringDispense,Right,45,27,11,0,nan,nan,0.07
3/20/2024 22:56:13,1.16.3,FR1_R,0,4.07,571,1,Pellet,Right,45,27,12,0,0.06,6297,nan
3/20/2024 23:02:00,1.16.3,FR1_R,0,4.07,nan,1,Left,Right,46,27,12,0,nan,nan,0.03
3/20/2024 23:02:49,1.16.3,FR1_R,0,4.07,nan,1,Left,Right,47,27,12,0,nan,nan,0.07
