MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/28/2024 14:26:44,1.16.3,FR1,0,3.82,,1,Left,Left,1,0,0,0,,,0.01
4/28/2024 14:26:52,1.16.3,FR1,0,3.82,1,1,Pellet,Left,1,0,1,0,8.26,,
4/28/2024 14:27:05,1.16.3,FR1,0,3.82,,1,Left,Left,2,0,1,0,,,0.01
4/28/2024 14:27:06,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,3,0,1,0,,,0.12
4/28/2024 14:27:51,1.16.3,FR1,0,3.82,4,1,Pellet,Left,3,0,2,0,39.81,59,
4/28/2024 14:30:30,1.16.3,FR1,0,3.82,,1,Right,Left,3,1,2,0,,,0.01
4/28/2024 15:05:45,1.16.3,FR1,0,3.82,,1,Left,Left,4,1,2,0,,,0.09
4/28/2024 15:05:46,1.16.3,FR1,0,3.82,2,1,Pellet,Left,4,1,3,0,0.6,2275,
4/28/2024 15:08:18,1.16.3,FR1,0,3.82,,1,Left,Left,5,1,3,0,,,0.49
4/28/2024 15:08:19,1.16.3,FR1,0,3.82,2,1,Pellet,Left,5,1,4,0,0.06,153,
4/28/2024 15:09:12,1.16.3,FR1,0,3.82,,1,Left,Left,6,1,4,0,,,0.21
4/28/2024 15:09:13,1.16.3,FR1,0,3.82,2,1,Pellet,Left,6,1,5,0,0.79,54,
4/28/2024 15:09:40,1.16.3,FR1,0,3.82,,1,Left,Left,7,1,5,0,,,0.14
4/28/2024 15:09:42,1.16.3,FR1,0,3.82,1,1,Pellet,Left,7,1,6,0,0.54,29,
4/28/2024 15:10:04,1.16.3,FR1,0,3.82,,1,Left,Left,8,1,6,0,,,0.04
4/28/2024 15:10:12,1.16.3,FR1,0,3.82,4,1,Pellet,Left,8,1,7,0,0.36,30,
4/28/2024 15:10:35,1.16.3,FR1,0,3.82,,1,Left,Left,9,1,7,0,,,0.13
4/28/2024 15:10:46,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,10,1,7,0,,,0.24
4/28/2024 15:10:47,1.16.3,FR1,0,3.82,7,1,Pellet,Left,10,1,8,0,0.12,35,
4/28/2024 15:11:15,1.16.3,FR1,0,3.83,,1,Left,Left,11,1,8,0,,,0.11
4/28/2024 15:11:18,1.16.3,FR1,0,3.82,2,1,Pellet,Left,11,1,9,0,0.48,31,
4/28/2024 15:11:39,1.16.3,FR1,0,3.82,,1,Left,Left,12,1,9,0,,,0.04
4/28/2024 15:11:40,1.16.3,FR1,0,3.82,1,1,Pellet,Left,12,1,10,0,0.54,22,
4/28/2024 15:12:21,1.16.3,FR1,0,3.83,,1,Left,Left,13,1,10,0,,,0.05
4/28/2024 15:12:22,1.16.3,FR1,0,3.82,2,1,Pellet,Left,13,1,11,0,0.36,42,
4/28/2024 15:12:47,1.16.3,FR1,0,3.82,,1,Left,Left,14,1,11,0,,,0.06
4/28/2024 15:12:58,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,15,1,11,0,,,0.2
4/28/2024 15:13:02,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,16,1,11,0,,,0.37
4/28/2024 15:13:04,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,17,1,11,0,,,0.37
4/28/2024 15:13:19,1.16.3,FR1,0,3.82,11,1,Pellet,Left,17,1,12,0,3.79,57,
4/28/2024 15:16:07,1.16.3,FR1,0,3.82,,1,Left,Left,18,1,12,0,,,0.05
4/28/2024 15:16:14,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,19,1,12,0,,,0.28
4/28/2024 15:16:19,1.16.3,FR1,0,3.82,5,1,Pellet,Left,19,1,13,0,2.26,180,
4/28/2024 15:16:42,1.16.3,FR1,0,3.82,,1,Left,Left,20,1,13,0,,,0.05
4/28/2024 15:16:42,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,21,1,13,0,,,0.02
4/28/2024 15:16:45,1.16.3,FR1,0,3.82,,1,LeftDuringDispense,Left,22,1,13,0,,,0.21
4/28/2024 15:16:46,1.16.3,FR1,0,3.82,2,1,Pellet,Left,22,1,14,0,0.67,27,
4/28/2024 15:17:03,1.16.3,FR1,0,3.82,,1,Left,Left,23,1,14,0,,,0.06
4/28/2024 15:17:04,1.16.3,FR1,0,3.83,2,1,Pellet,Left,23,1,15,0,0.36,18,
4/28/2024 15:17:24,1.16.3,FR1,0,3.82,,1,Left,Left,24,1,15,0,,,0.04
4/28/2024 15:17:26,1.16.3,FR1,0,3.82,2,1,Pellet,Left,24,1,16,0,0.18,22,
4/28/2024 15:17:50,1.16.3,FR1,0,3.82,,1,Left,Left,25,1,16,0,,,0.19
4/28/2024 15:17:51,1.16.3,FR1,0,3.82,2,1,Pellet,Left,25,1,17,0,0.12,25,
4/28/2024 15:18:17,1.16.3,FR1,0,3.82,,1,Left,Left,26,1,17,0,,,0.03
4/28/2024 15:18:18,1.16.3,FR1,0,3.82,1,1,Pellet,Left,26,1,18,0,0.36,27,
4/28/2024 15:18:31,1.16.3,FR1,0,3.82,,1,Left,Left,27,1,18,0,,,0
4/28/2024 15:18:32,1.16.3,FR1,0,3.82,1,1,Pellet,Left,27,1,19,0,0.18,14,
4/28/2024 15:18:53,1.16.3,FR1,0,3.82,,1,Left,Left,28,1,19,0,,,0.04
4/28/2024 15:18:54,1.16.3,FR1,0,3.82,1,1,Pellet,Left,28,1,20,0,0.24,22,
4/28/2024 15:19:21,1.16.3,FR1,0,3.82,,1,Left,Left,29,1,20,0,,,0.14
4/28/2024 15:19:22,1.16.3,FR1,0,3.82,1,1,Pellet,Left,29,1,21,0,0.36,28,
4/28/2024 15:19:45,1.16.3,FR1,0,3.82,,1,Left,Left,30,1,21,0,,,0.03
4/28/2024 15:19:46,1.16.3,FR1,0,3.82,1,1,Pellet,Left,30,1,22,0,0.3,24,
4/28/2024 15:20:22,1.16.3,FR1,0,3.82,,1,Left,Left,31,1,22,0,,,0.1
4/28/2024 15:20:38,1.16.3,FR1,0,3.82,2,1,Pellet,Left,31,1,23,0,13,52,
4/28/2024 15:21:05,1.16.3,FR1,0,3.82,,1,Left,Left,32,1,23,0,,,0.17
4/28/2024 15:21:06,1.16.3,FR1,0,3.82,1,1,Pellet,Left,32,1,24,0,0.18,28,
4/28/2024 15:46:14,1.16.3,FR1,0,3.82,,1,Left,Left,33,1,24,0,,,0.04
4/28/2024 15:46:16,1.16.3,FR1,0,3.82,1,1,Pellet,Left,33,1,25,0,0.61,1510,
4/28/2024 15:46:42,1.16.3,FR1,0,3.82,,1,Left,Left,34,1,25,0,,,0.03
4/28/2024 15:46:43,1.16.3,FR1,0,3.82,1,1,Pellet,Left,34,1,26,0,0.3,27,
4/28/2024 15:47:20,1.16.3,FR1,0,3.82,,1,Left,Left,35,1,26,0,,,0.03
4/28/2024 15:47:23,1.16.3,FR1,0,3.82,3,1,Pellet,Left,35,1,27,0,0.12,40,
4/28/2024 15:47:51,1.16.3,FR1,0,3.82,,1,Left,Left,36,1,27,0,,,0.07
4/28/2024 15:47:51,1.16.3,FR1,0,3.82,1,1,Pellet,Left,36,1,28,0,0.06,28,
4/28/2024 15:48:04,1.16.3,FR1,0,3.82,,1,Left,Left,37,1,28,0,,,0.15
4/28/2024 15:48:05,1.16.3,FR1,0,3.82,1,1,Pellet,Left,37,1,29,0,0.3,14,
4/28/2024 15:48:24,1.16.3,FR1,0,3.82,,1,Left,Left,38,1,29,0,,,0.03
4/28/2024 15:48:26,1.16.3,FR1,0,3.82,1,1,Pellet,Left,38,1,30,0,1.22,21,
4/28/2024 15:48:53,1.16.3,FR1,0,3.82,,1,Left,Left,39,1,30,0,,,0.12
4/28/2024 15:48:54,1.16.3,FR1,0,3.83,1,1,Pellet,Left,39,1,31,0,0.67,28,
4/28/2024 15:49:19,1.16.3,FR1,0,3.82,,1,Left,Left,40,1,31,0,,,0.09
4/28/2024 15:49:21,1.16.3,FR1,0,3.82,1,1,Pellet,Left,40,1,32,0,0.48,27,
4/28/2024 18:00:37,1.16.3,FR1,0,3.82,,1,Left,Left,41,1,32,0,,,0.15
4/28/2024 18:00:38,1.16.3,FR1,0,3.82,2,1,Pellet,Left,41,1,33,0,0.12,7877,
4/28/2024 18:01:08,1.16.3,FR1,0,3.82,,1,Left,Left,42,1,33,0,,,0.17
4/28/2024 18:01:09,1.16.3,FR1,0,3.82,1,1,Pellet,Left,42,1,34,0,0.3,31,
4/28/2024 18:01:39,1.16.3,FR1,0,3.82,,1,Left,Left,43,1,34,0,,,0.05
4/28/2024 18:03:06,1.16.3,FR1,0,3.82,3,1,Pellet,Left,43,1,35,0,Timed_out,117,
4/28/2024 18:03:36,1.16.3,FR1,0,3.82,,1,Left,Left,44,1,35,0,,,0.16
4/28/2024 18:03:38,1.16.3,FR1,0,3.82,2,1,Pellet,Left,44,1,36,0,0.18,32,
4/28/2024 18:04:01,1.16.3,FR1,0,3.82,,1,Left,Left,45,1,36,0,,,0.06
4/28/2024 18:04:02,1.16.3,FR1,0,3.81,1,1,Pellet,Left,45,1,37,0,0.3,24,
4/28/2024 18:04:26,1.16.3,FR1,0,3.82,,1,Left,Left,46,1,37,0,,,0.06
4/28/2024 18:04:27,1.16.3,FR1,0,3.82,1,1,Pellet,Left,46,1,38,0,0.36,25,
4/28/2024 18:04:58,1.16.3,FR1,0,3.82,,1,Left,Left,47,1,38,0,,,0.2
4/28/2024 18:04:59,1.16.3,FR1,0,3.82,1,1,Pellet,Left,47,1,39,0,0.3,32,
4/28/2024 18:05:26,1.16.3,FR1,0,3.82,,1,Left,Left,48,1,39,0,,,0.09
4/28/2024 18:05:27,1.16.3,FR1,0,3.82,1,1,Pellet,Left,48,1,40,0,0.18,27,
4/28/2024 18:05:47,1.16.3,FR1,0,3.82,,1,Left,Left,49,1,40,0,,,0.02
4/28/2024 18:05:48,1.16.3,FR1,0,3.82,1,1,Pellet,Left,49,1,41,0,0.3,22,
4/28/2024 18:06:13,1.16.3,FR1,0,3.82,,1,Left,Left,50,1,41,0,,,0
4/28/2024 18:06:14,1.16.3,FR1,0,3.81,1,1,Pellet,Left,50,1,42,0,0.18,25,
4/28/2024 18:10:40,1.16.3,FR1,0,3.81,,1,Right,Left,50,2,42,0,,,0.27
4/28/2024 18:10:45,1.16.3,FR1,0,3.82,,1,Left,Left,51,2,42,0,,,0.06
4/28/2024 18:10:47,1.16.3,FR1,0,3.82,2,1,Pellet,Left,51,2,43,0,0.85,273,
4/28/2024 18:11:19,1.16.3,FR1,0,3.82,,1,Left,Left,52,2,43,0,,,0.05
4/28/2024 18:11:20,1.16.3,FR1,0,3.82,1,1,Pellet,Left,52,2,44,0,0.18,34,
