MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/22/2024 16:39:16,1.16.3,FR1_R,0,4.21,,1,Left,Right,1,0,0,0,,,0.14
4/22/2024 16:39:18,1.16.3,FR1_R,0,4.21,,1,Left,Right,2,0,0,0,,,0.15
4/22/2024 16:40:58,1.16.3,FR1_R,0,4.21,,1,Left,Right,3,0,0,0,,,0.03
4/22/2024 16:40:58,1.16.3,FR1_R,0,4.21,,1,Left,Right,4,0,0,0,,,0.0
4/22/2024 16:40:59,1.16.3,FR1_R,0,4.21,,1,Left,Right,5,0,0,0,,,0.08
4/22/2024 16:41:00,1.16.3,FR1_R,0,4.21,,1,Left,Right,6,0,0,0,,,0.04
4/22/2024 16:41:09,1.16.3,FR1_R,0,4.2,,1,Left,Right,7,0,0,0,,,0.05
4/22/2024 16:41:14,1.16.3,FR1_R,0,4.21,,1,Right,Right,7,1,0,0,,,0.23
4/22/2024 16:42:09,1.16.3,FR1_R,0,4.2,3.0,1,Pellet,Right,7,1,1,0,52.06,,
4/22/2024 16:43:02,1.16.3,FR1_R,0,4.2,,1,Left,Right,8,1,1,0,,,0.27
4/22/2024 16:46:34,1.16.3,FR1_R,0,4.2,,1,Right,Right,8,2,1,0,,,0.24
4/22/2024 16:47:41,1.16.3,FR1_R,0,4.21,2.0,1,Pellet,Right,8,2,2,0,Timed_out,332.0,
4/22/2024 16:48:17,1.16.3,FR1_R,0,4.2,,1,Right,Right,8,3,2,0,,,0.08
4/22/2024 16:48:25,1.16.3,FR1_R,0,4.2,2.0,1,Pellet,Right,8,3,3,0,6.92,44.0,
4/22/2024 16:50:37,1.16.3,FR1_R,0,4.21,,1,Left,Right,9,3,3,0,,,0.69
4/22/2024 16:55:24,1.16.3,FR1_R,0,4.2,,1,Left,Right,10,3,3,0,,,0.01
4/22/2024 16:55:25,1.16.3,FR1_R,0,4.2,,1,Left,Right,11,3,3,0,,,0.0
4/22/2024 16:55:52,1.16.3,FR1_R,0,4.2,,1,Left,Right,12,3,3,0,,,0.01
4/22/2024 16:55:53,1.16.3,FR1_R,0,4.2,,1,Left,Right,13,3,3,0,,,0.0
4/22/2024 16:57:22,1.16.3,FR1_R,0,4.2,,1,Right,Right,13,4,3,0,,,0.25
4/22/2024 16:57:43,1.16.3,FR1_R,0,4.2,2.0,1,Pellet,Right,13,4,4,0,20.07,558.0,
4/22/2024 17:02:26,1.16.3,FR1_R,0,4.2,,1,Right,Right,13,5,4,0,,,0.08
4/22/2024 17:03:14,1.16.3,FR1_R,0,4.21,1.0,1,Pellet,Right,13,5,5,0,47.17,331.0,
4/22/2024 17:04:34,1.16.3,FR1_R,0,4.21,,1,Left,Right,14,5,5,0,,,0.13
4/22/2024 17:11:03,1.16.3,FR1_R,0,4.2,,1,Left,Right,15,5,5,0,,,0.38
4/22/2024 17:11:03,1.16.3,FR1_R,0,4.2,,1,Left,Right,16,5,5,0,,,0.0
4/22/2024 17:11:32,1.16.3,FR1_R,0,4.2,,1,Right,Right,16,6,5,0,,,0.02
4/22/2024 17:11:33,1.16.3,FR1_R,0,4.2,,1,RightDuringDispense,Right,16,7,5,0,,,0.08
4/22/2024 17:11:43,1.16.3,FR1_R,0,4.21,2.0,1,Pellet,Right,16,7,6,0,7.16,509.0,
4/22/2024 17:12:36,1.16.3,FR1_R,0,4.2,,1,Right,Right,16,8,6,0,,,0.17
