MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/29/2024 17:14:00,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,1,0,0,0,nan,nan,0.21
4/29/2024 17:14:38,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,2,0,0,0,nan,nan,0.15
4/29/2024 17:16:22,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,3,0,0,0,nan,nan,0.09
4/29/2024 17:16:24,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,4,0,0,0,nan,nan,0.04
4/29/2024 17:16:27,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,5,0,0,0,nan,nan,0.15
4/29/2024 17:16:28,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,6,0,0,0,nan,nan,0.08
4/29/2024 17:16:32,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,7,0,0,0,nan,nan,0.23
4/29/2024 17:16:33,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,8,0,0,0,nan,nan,0.03
4/29/2024 17:16:37,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,9,0,0,0,nan,nan,0.19
4/29/2024 17:16:38,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,10,0,0,0,nan,nan,0.17
4/29/2024 17:16:41,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,11,0,0,0,nan,nan,0.21
4/29/2024 17:16:42,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,12,0,0,0,nan,nan,0
4/29/2024 17:16:46,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,13,0,0,0,nan,nan,0.11
4/29/2024 17:16:49,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,14,0,0,0,nan,nan,0.19
4/29/2024 17:16:51,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,15,0,0,0,nan,nan,0.2
4/29/2024 17:16:53,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,16,0,0,0,nan,nan,0.45
4/29/2024 17:16:55,1.16.3,RevT_R,0,3.76,nan,1,Right,Right,16,1,0,0,nan,nan,0.22
4/29/2024 17:16:57,1.16.3,RevT_R,0,3.76,nan,1,RightWithPellet,Right,16,2,0,0,nan,nan,0.28
4/29/2024 17:16:59,1.16.3,RevT_R,0,3.77,1,1,Pellet,Right,16,2,1,0,2.73,nan,nan
4/29/2024 17:17:43,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,17,2,1,0,nan,nan,0.18
4/29/2024 17:17:45,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,18,2,1,0,nan,nan,0.19
4/29/2024 17:17:47,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,19,2,1,0,nan,nan,0.22
4/29/2024 17:17:49,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,20,2,1,0,nan,nan,0.17
4/29/2024 17:17:51,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,21,2,1,0,nan,nan,0.23
4/29/2024 17:17:53,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,22,2,1,0,nan,nan,0.38
4/29/2024 17:17:56,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,23,2,1,0,nan,nan,0.17
4/29/2024 17:17:56,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,24,2,1,0,nan,nan,0
4/29/2024 17:17:57,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,25,2,1,0,nan,nan,0
4/29/2024 17:17:59,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,26,2,1,0,nan,nan,0.31
4/29/2024 17:17:59,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,27,2,1,0,nan,nan,0
4/29/2024 17:18:01,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,28,2,1,0,nan,nan,0.21
4/29/2024 17:18:08,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,29,2,1,0,nan,nan,0.16
4/29/2024 17:18:10,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,30,2,1,0,nan,nan,0.22
4/29/2024 17:18:11,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,31,2,1,0,nan,nan,0.06
4/29/2024 17:18:12,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,32,2,1,0,nan,nan,0
4/29/2024 17:18:13,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,33,2,1,0,nan,nan,0.16
4/29/2024 17:18:16,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,34,2,1,0,nan,nan,0.21
4/29/2024 17:18:18,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,35,2,1,0,nan,nan,0.12
4/29/2024 17:18:20,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,36,2,1,0,nan,nan,0.27
4/29/2024 17:18:21,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,37,2,1,0,nan,nan,0.14
4/29/2024 17:18:27,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,38,2,1,0,nan,nan,0.67
4/29/2024 17:18:27,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,39,2,1,0,nan,nan,0
4/29/2024 17:18:30,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,40,2,1,0,nan,nan,0.22
4/29/2024 17:18:33,1.16.3,RevT_R,0,3.77,nan,1,Right,Right,40,3,1,0,nan,nan,0.32
4/29/2024 17:18:34,1.16.3,RevT_R,0,3.77,nan,1,RightDuringDispense,Right,40,4,1,0,nan,nan,0.01
4/29/2024 17:18:37,1.16.3,RevT_R,0,3.76,nan,1,LeftWithPellet,Right,41,4,1,0,nan,nan,0.16
4/29/2024 17:18:38,1.16.3,RevT_R,0,3.76,2,1,Pellet,Right,41,4,2,0,1.74,99,nan
4/29/2024 17:18:59,1.16.3,RevT_R,0,3.76,nan,1,Left,Right,42,4,2,0,nan,nan,0.03
4/29/2024 17:18:59,1.16.3,RevT_R,0,3.77,nan,1,Left,Right,43,,,,,,
