MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/29/2024 16:45:58,1.16.3,RevT_L,0,3.52,,99,Left,Left,1,0,0,0,,,0.94
4/29/2024 16:46:20,1.16.3,RevT_L,0,3.52,,99,RightWithPellet,Left,1,1,0,0,,,0.02
4/29/2024 16:46:22,1.16.3,RevT_L,0,3.53,1.0,99,Pellet,Left,1,1,1,0,23.02,,
4/29/2024 16:47:02,1.16.3,RevT_L,0,3.51,,99,Right,Left,1,2,1,0,,,0.17
4/29/2024 16:47:21,1.16.3,RevT_L,0,3.51,,99,Right,Left,1,3,1,0,,,0.34
4/29/2024 16:47:22,1.16.3,RevT_L,0,3.53,,99,Right,Left,1,4,1,0,,,0.09
4/29/2024 16:47:24,1.16.3,RevT_L,0,3.52,,99,Right,Left,1,5,1,0,,,0.11
4/29/2024 16:48:04,1.16.3,RevT_L,0,3.52,,99,Right,Left,1,6,1,0,,,0.26
4/29/2024 16:48:21,1.16.3,RevT_L,0,3.52,,99,Left,Left,2,6,1,0,,,0.14
4/29/2024 16:48:23,1.16.3,RevT_L,0,3.52,1.0,99,Pellet,Left,2,6,2,0,1.16,121.0,
4/29/2024 16:49:15,1.16.3,RevT_L,0,3.53,,99,Right,Left,2,7,2,0,,,0.14
4/29/2024 16:49:19,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,8,2,0,,,0.51
4/29/2024 16:49:23,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,9,2,0,,,0.66
4/29/2024 16:49:36,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,10,2,0,,,0.06
4/29/2024 16:49:40,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,11,2,0,,,0.65
4/29/2024 16:49:42,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,12,2,0,,,0.39
4/29/2024 16:49:44,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,13,2,0,,,0.34
4/29/2024 16:49:50,1.16.3,RevT_L,0,3.51,,99,Right,Left,2,14,2,0,,,0.0
4/29/2024 16:50:34,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,15,2,0,,,0.04
4/29/2024 16:50:37,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,16,2,0,,,0.01
4/29/2024 16:50:39,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,17,2,0,,,0.08
4/29/2024 16:50:42,1.16.3,RevT_L,0,3.52,,99,Right,Left,2,18,2,0,,,0.1
4/29/2024 16:50:50,1.16.3,RevT_L,0,3.52,,99,Left,Left,3,18,2,0,,,0.06
4/29/2024 16:50:54,1.16.3,RevT_L,0,3.52,1.0,99,Pellet,Left,3,18,3,0,2.69,151.0,
4/29/2024 16:51:14,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,19,3,0,,,0.09
4/29/2024 16:51:17,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,20,3,0,,,0.08
4/29/2024 16:51:19,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,21,3,0,,,0.35
4/29/2024 16:51:21,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,22,3,0,,,0.12
4/29/2024 16:51:22,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,23,3,0,,,0.29
4/29/2024 16:51:22,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,24,3,0,,,0.1
4/29/2024 16:51:25,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,25,3,0,,,0.04
4/29/2024 16:51:26,1.16.3,RevT_L,0,3.53,,99,Right,Left,3,26,3,0,,,0.0
4/29/2024 16:51:27,1.16.3,RevT_L,0,3.52,,99,Right,Left,3,27,3,0,,,0.11
4/29/2024 16:51:50,1.16.3,RevT_L,0,3.53,,99,Right,Left,3,28,3,0,,,0.32
4/29/2024 16:51:54,1.16.3,RevT_L,0,3.52,,99,Left,Left,4,28,3,0,,,0.31
4/29/2024 16:52:31,1.16.3,RevT_L,0,3.52,11.0,99,Pellet,Left,4,28,4,0,13.68,97.0,
4/29/2024 16:53:13,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,29,4,0,,,0.95
4/29/2024 16:53:16,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,30,4,0,,,0.93
4/29/2024 16:53:21,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,31,4,0,,,1.03
4/29/2024 16:53:25,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,32,4,0,,,0.35
4/29/2024 16:53:29,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,33,4,0,,,0.14
4/29/2024 16:53:30,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,34,4,0,,,0.09
4/29/2024 16:53:36,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,35,4,0,,,0.0
4/29/2024 16:55:01,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,36,4,0,,,0.0
4/29/2024 16:56:28,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,37,4,0,,,0.78
4/29/2024 16:56:31,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,38,4,0,,,0.44
4/29/2024 16:56:33,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,39,4,0,,,0.63
4/29/2024 16:56:35,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,40,4,0,,,0.17
4/29/2024 16:56:38,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,41,4,0,,,0.71
4/29/2024 16:56:41,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,42,4,0,,,0.01
4/29/2024 16:56:43,1.16.3,RevT_L,0,3.53,,99,Right,Left,4,43,4,0,,,0.0
4/29/2024 16:56:47,1.16.3,RevT_L,0,3.52,,99,Right,Left,4,44,4,0,,,0.22
4/29/2024 16:57:16,1.16.3,RevT_L,0,3.52,,99,Left,Left,5,44,4,0,,,0.42
4/29/2024 16:57:18,1.16.3,RevT_L,0,3.52,,99,LeftDuringDispense,Left,6,44,4,0,,,0.96
4/29/2024 16:57:19,1.16.3,RevT_L,0,3.51,,99,LeftDuringDispense,Left,7,44,4,0,,,1.29
4/29/2024 16:57:26,1.16.3,RevT_L,0,3.52,,99,LeftDuringDispense,Left,8,44,4,0,,,0.39
4/29/2024 16:57:27,1.16.3,RevT_L,0,3.52,,99,LeftDuringDispense,Left,9,44,4,0,,,0.06
4/29/2024 16:57:31,1.16.3,RevT_L,0,3.52,,99,LeftDuringDispense,Left,10,44,4,0,,,0.09
4/29/2024 16:57:40,1.16.3,RevT_L,0,3.52,,99,RightDuringDispense,Left,10,45,4,0,,,0.07
4/29/2024 16:57:41,1.16.3,RevT_L,0,3.52,,99,RightDuringDispense,Left,10,46,4,0,,,0.27
4/29/2024 16:57:42,1.16.3,RevT_L,0,3.52,,99,RightDuringDispense,Left,10,47,4,0,,,0.53
4/29/2024 16:57:45,1.16.3,RevT_L,0,3.52,,99,RightDuringDispense,Left,10,48,4,0,,,2.45
4/29/2024 16:57:58,1.16.3,RevT_L,0,3.52,,99,RightDuringDispense,Left,10,49,4,0,,,0.08
4/29/2024 17:00:16,1.16.3,RevT_L,0,3.52,52.0,99,Pellet,Left,10,49,5,0,15.71,465.0,
4/29/2024 17:00:37,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,50,5,0,,,0.02
4/29/2024 17:00:40,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,51,5,0,,,0.5
4/29/2024 17:00:43,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,52,5,0,,,0.7
4/29/2024 17:00:45,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,53,5,0,,,0.3
4/29/2024 17:00:49,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,54,5,0,,,0.15
4/29/2024 17:00:51,1.16.3,RevT_L,0,3.53,,99,Right,Left,10,55,5,0,,,0.0
4/29/2024 17:00:59,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,56,5,0,,,0.94
4/29/2024 17:01:00,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,57,5,0,,,0.24
4/29/2024 17:01:04,1.16.3,RevT_L,0,3.52,,99,Right,Left,10,58,5,0,,,0.06
