MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/22/2024 16:53:39,1.16.3,FR1,0,3.97,,1,Left,Left,1,0,0,0,,,0.01
4/22/2024 16:53:40,1.16.3,FR1,0,3.98,,1,LeftDuringDispense,Left,2,0,0,0,,,0.07
4/22/2024 16:53:40,1.16.3,FR1,0,3.97,,1,LeftDuringDispense,Left,3,0,0,0,,,0.06
4/22/2024 16:53:41,1.16.3,FR1,0,3.98,,1,LeftDuringDispense,Left,4,0,0,0,,,0.37
4/22/2024 16:53:48,1.16.3,FR1,0,3.97,4.0,1,Pellet,Left,4,0,1,0,2.26,,
4/22/2024 16:54:55,1.16.3,FR1,0,3.97,,1,Left,Left,5,0,1,0,,,0.07
4/22/2024 16:56:35,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,5,1,1,0,,,0.1
4/22/2024 16:56:39,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,5,2,1,0,,,0.6
4/22/2024 17:02:17,1.16.3,FR1,0,3.97,,1,LeftWithPellet,Left,6,2,1,0,,,0.18
4/22/2024 17:02:18,1.16.3,FR1,0,3.97,,1,LeftWithPellet,Left,7,2,1,0,,,0.01
4/22/2024 17:02:31,1.16.3,FR1,0,3.97,,1,LeftWithPellet,Left,8,2,1,0,,,0.06
4/22/2024 17:04:35,1.16.3,FR1,0,3.97,,1,LeftWithPellet,Left,9,2,1,0,,,0.63
4/22/2024 17:08:50,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,9,3,1,0,,,0.04
4/22/2024 17:09:52,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,9,4,1,0,,,0.22
4/22/2024 17:11:52,1.16.3,FR1,0,3.96,,1,RightWithPellet,Left,9,5,1,0,,,0.13
4/22/2024 17:18:54,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,9,6,1,0,,,0.25
4/22/2024 17:19:46,1.16.3,FR1,0,3.97,2.0,1,Pellet,Left,9,6,2,0,Timed_out,1558.0,
4/22/2024 17:21:38,1.16.3,FR1,0,3.97,,1,Left,Left,10,6,2,0,,,0.12
4/22/2024 17:26:54,1.16.3,FR1,0,3.98,,1,RightWithPellet,Left,10,7,2,0,,,0.68
4/22/2024 17:31:59,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,10,8,2,0,,,0.18
4/22/2024 17:32:14,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,10,9,2,0,,,0.15
4/22/2024 17:33:33,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,10,10,2,0,,,0.12
4/22/2024 17:34:41,1.16.3,FR1,0,3.96,,1,LeftWithPellet,Left,11,10,2,0,,,0.57
4/22/2024 17:34:50,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,11,11,2,0,,,0.37
4/22/2024 17:44:17,1.16.3,FR1,0,3.97,,1,RightWithPellet,Left,11,12,2,0,,,0.11
4/22/2024 17:44:44,1.16.3,FR1,0,3.97,1.0,1,Pellet,Left,11,12,3,0,Timed_out,1498.0,
4/22/2024 17:45:19,1.16.3,FR1,0,3.97,,1,Right,Left,11,13,3,0,,,0.09
4/22/2024 17:45:19,1.16.3,FR1,0,3.97,,1,Right,Left,11,14,3,0,,,0.0
4/22/2024 17:45:20,1.16.3,FR1,0,3.97,,1,Right,Left,11,15,3,0,,,0.0
