MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/29/2024 17:15:21,1.16.3,RevT_L,0,4.16,,99,Left,Left,1,0,0,0,,,0.39
4/29/2024 17:15:52,1.16.3,RevT_L,0,4.16,2.0,99,Pellet,Left,1,0,1,0,28.62,,
4/29/2024 17:16:11,1.16.3,RevT_L,0,4.16,,99,Right,Left,1,1,1,0,,,0.0
4/29/2024 17:16:58,1.16.3,RevT_L,0,4.16,,99,Right,Left,1,2,1,0,,,0.18
4/29/2024 17:17:27,1.16.3,RevT_L,0,4.16,,99,Left,Left,2,2,1,0,,,0.26
4/29/2024 17:17:28,1.16.3,RevT_L,0,4.16,1.0,99,Pellet,Left,2,2,2,0,0.54,96.0,
4/29/2024 17:17:46,1.16.3,RevT_L,0,4.16,,99,Right,Left,2,3,2,0,,,0.0
4/29/2024 17:18:25,1.16.3,RevT_L,0,4.16,,99,Left,Left,3,3,2,0,,,0.02
4/29/2024 17:18:27,1.16.3,RevT_L,0,4.16,1.0,99,Pellet,Left,3,3,3,0,0.79,59.0,
4/29/2024 17:18:37,1.16.3,RevT_L,0,4.16,,99,Left,Left,4,3,3,0,,,0.05
4/29/2024 17:18:39,1.16.3,RevT_L,0,4.16,1.0,99,Pellet,Left,4,3,4,0,0.54,12.0,
4/29/2024 17:19:19,1.16.3,RevT_L,0,4.16,,99,Right,Left,4,4,4,0,,,0.4
4/29/2024 17:19:24,1.16.3,RevT_L,0,4.16,,99,Left,Left,5,4,4,0,,,0.08
4/29/2024 17:19:28,1.16.3,RevT_L,0,4.16,2.0,99,Pellet,Left,5,4,5,0,1.03,49.0,
4/29/2024 17:20:14,1.16.3,RevT_L,0,4.16,,99,Left,Left,6,4,5,0,,,0.43
4/29/2024 17:20:16,1.16.3,RevT_L,0,4.16,1.0,99,Pellet,Left,6,4,6,0,0.73,48.0,
4/29/2024 17:20:26,1.16.3,RevT_L,0,4.16,,99,Left,Left,7,4,6,0,,,0.09
4/29/2024 17:20:28,1.16.3,RevT_L,0,4.16,1.0,99,Pellet,Left,7,4,7,0,0.67,12.0,
