MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/29/2024 17:50:49,1.16.3,RevT_R,0,3.82,,1,Left,Right,1,0,0,0,,,0.04
4/29/2024 17:53:31,1.16.3,RevT_R,0,3.81,,1,Left,Right,2,0,0,0,,,0.23
4/29/2024 17:53:37,1.16.3,RevT_R,0,3.82,,1,Left,Right,3,0,0,0,,,0.0
4/29/2024 18:01:47,1.16.3,RevT_R,0,3.82,,1,Right,Right,3,1,0,0,,,0.13
4/29/2024 18:12:30,1.16.3,RevT_R,0,3.82,1.0,1,Pellet,Right,3,1,1,0,Timed_out,,
4/29/2024 18:13:39,1.16.3,RevT_R,0,3.82,,1,Left,Right,4,1,1,0,,,0.18
4/29/2024 18:14:40,1.16.3,RevT_R,0,3.81,,1,Left,Right,5,1,1,0,,,0.23
4/29/2024 18:14:51,1.16.3,RevT_R,0,3.82,,1,Left,Right,6,1,1,0,,,0.1
4/29/2024 18:14:56,1.16.3,RevT_R,0,3.81,,1,Left,Right,7,1,1,0,,,0.08
4/29/2024 18:14:59,1.16.3,RevT_R,0,3.82,,1,Left,Right,8,1,1,0,,,0.11
4/29/2024 18:15:02,1.16.3,RevT_R,0,3.82,,1,Left,Right,9,1,1,0,,,0.08
4/29/2024 18:15:05,1.16.3,RevT_R,0,3.82,,1,Left,Right,10,1,1,0,,,0.02
4/29/2024 18:15:07,1.16.3,RevT_R,0,3.82,,1,Left,Right,11,1,1,0,,,0.16
4/29/2024 18:15:09,1.16.3,RevT_R,0,3.82,,1,Right,Right,11,2,1,0,,,0.25
4/29/2024 18:15:14,1.16.3,RevT_R,0,3.82,1.0,1,Pellet,Right,11,2,2,0,4.22,164.0,
4/29/2024 18:15:51,1.16.3,RevT_R,0,3.82,,1,Left,Right,12,2,2,0,,,0.08
4/29/2024 18:15:53,1.16.3,RevT_R,0,3.81,,1,Left,Right,13,2,2,0,,,0.09
4/29/2024 18:15:57,1.16.3,RevT_R,0,3.81,,1,Left,Right,14,2,2,0,,,0.1
4/29/2024 18:15:58,1.16.3,RevT_R,0,3.82,,1,Left,Right,15,2,2,0,,,0.01
4/29/2024 18:16:00,1.16.3,RevT_R,0,3.82,,1,Left,Right,16,2,2,0,,,0.15
4/29/2024 18:16:02,1.16.3,RevT_R,0,3.81,,1,Left,Right,17,2,2,0,,,0.16
4/29/2024 18:16:05,1.16.3,RevT_R,0,3.82,,1,Left,Right,18,2,2,0,,,0.29
4/29/2024 18:16:08,1.16.3,RevT_R,0,3.81,,1,Left,Right,19,2,2,0,,,0.17
4/29/2024 18:16:10,1.16.3,RevT_R,0,3.81,,1,Left,Right,20,2,2,0,,,0.21
4/29/2024 18:16:11,1.16.3,RevT_R,0,3.82,,1,Left,Right,21,2,2,0,,,0.11
4/29/2024 18:16:24,1.16.3,RevT_R,0,3.81,,1,Left,Right,22,2,2,0,,,0.45
4/29/2024 18:16:27,1.16.3,RevT_R,0,3.81,,1,Left,Right,23,2,2,0,,,0.03
4/29/2024 18:16:30,1.16.3,RevT_R,0,3.82,,1,Right,Right,23,3,2,0,,,0.12
4/29/2024 18:16:35,1.16.3,RevT_R,0,3.82,1.0,1,Pellet,Right,23,3,3,0,3.55,81.0,
4/29/2024 18:17:15,1.16.3,RevT_R,0,3.82,,1,Left,Right,24,3,3,0,,,0.13
4/29/2024 18:19:43,1.16.3,RevT_R,0,3.82,,1,Left,Right,25,3,3,0,,,0.04
4/29/2024 18:19:53,1.16.3,RevT_R,0,3.82,,1,Left,Right,26,3,3,0,,,0.5
4/29/2024 18:19:54,1.16.3,RevT_R,0,3.82,,1,Left,Right,27,3,3,0,,,0.09
4/29/2024 18:19:58,1.16.3,RevT_R,0,3.81,,1,Left,Right,28,3,3,0,,,0.13
4/29/2024 18:20:01,1.16.3,RevT_R,0,3.81,,1,Left,Right,29,3,3,0,,,0.18
4/29/2024 18:20:16,1.16.3,RevT_R,0,3.81,,1,Left,Right,30,3,3,0,,,0.3
4/29/2024 18:20:20,1.16.3,RevT_R,0,3.82,,1,Left,Right,31,3,3,0,,,0.31
4/29/2024 18:20:23,1.16.3,RevT_R,0,3.81,,1,Left,Right,32,3,3,0,,,0.24
4/29/2024 18:20:27,1.16.3,RevT_R,0,3.82,,1,Right,Right,32,4,3,0,,,0.18
4/29/2024 18:20:32,1.16.3,RevT_R,0,3.81,1.0,1,Pellet,Right,32,4,4,0,4.35,237.0,
4/29/2024 18:21:03,1.16.3,RevT_R,0,3.81,,1,Left,Right,33,4,4,0,,,0.09
4/29/2024 18:21:06,1.16.3,RevT_R,0,3.82,,1,Left,Right,34,4,4,0,,,0.07
4/29/2024 18:21:08,1.16.3,RevT_R,0,3.81,,1,Left,Right,35,4,4,0,,,0.12
4/29/2024 18:21:11,1.16.3,RevT_R,0,3.82,,1,Left,Right,36,4,4,0,,,0.15
4/29/2024 18:21:12,1.16.3,RevT_R,0,3.82,,1,Left,Right,37,4,4,0,,,0.14
4/29/2024 18:21:17,1.16.3,RevT_R,0,3.81,,1,Left,Right,38,4,4,0,,,0.1
4/29/2024 18:21:19,1.16.3,RevT_R,0,3.82,,1,Left,Right,39,4,4,0,,,0.12
4/29/2024 18:21:23,1.16.3,RevT_R,0,3.81,,1,Right,Right,39,5,4,0,,,0.2
4/29/2024 18:21:24,1.16.3,RevT_R,0,3.82,1.0,1,Pellet,Right,39,5,5,0,0.42,52.0,
4/29/2024 18:22:05,1.16.3,RevT_R,0,3.81,,1,Left,Right,40,5,5,0,,,0.08
4/29/2024 18:22:06,1.16.3,RevT_R,0,3.81,,1,Left,Right,41,5,5,0,,,0.19
4/29/2024 18:22:09,1.16.3,RevT_R,0,3.82,,1,Left,Right,42,5,5,0,,,0.12
4/29/2024 18:22:11,1.16.3,RevT_R,0,3.82,,1,Left,Right,43,5,5,0,,,0.08
4/29/2024 18:22:14,1.16.3,RevT_R,0,3.82,,1,Left,Right,44,5,5,0,,,0.07
