MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/25/2025 6:33:46,1.16.3,FR1,0,4.16,nan,1,Right,Left,0,1,0,0,nan,nan,0.04
2/25/2025 6:42:59,1.16.3,FR1,0,4.16,nan,1,Right,Left,0,2,0,0,nan,nan,0.01
2/25/2025 6:43:11,1.16.3,FR1,0,4.16,nan,1,Right,Left,0,3,0,0,nan,nan,0.11
2/25/2025 6:44:41,1.16.3,FR1,0,4.16,nan,1,Right,Left,0,4,0,0,nan,nan,0.26
2/25/2025 6:49:00,1.16.3,FR1,0,4.16,nan,1,Left,Left,1,4,0,0,nan,nan,0.05
2/25/2025 6:49:12,1.16.3,FR1,0,4.16,2,1,Pellet,Left,1,4,1,0,8.57,nan,nan
2/25/2025 7:02:59,1.16.3,FR1,0,4.16,nan,1,Left,Left,2,4,1,0,nan,nan,0.08
2/25/2025 7:10:52,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,3,4,1,0,nan,nan,0.06
2/25/2025 7:10:55,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,4,4,1,0,nan,nan,0.18
2/25/2025 7:26:52,1.16.3,FR1,0,4.16,1,1,Pellet,Left,4,4,2,0,Timed_out,2260,nan
2/25/2025 7:29:05,1.16.3,FR1,0,4.16,nan,1,Left,Left,5,4,2,0,nan,nan,0.14
2/25/2025 7:29:05,1.16.3,FR1,0,4.16,nan,1,LeftDuringDispense,Left,6,4,2,0,nan,nan,0.13
2/25/2025 7:29:13,1.16.3,FR1,0,4.16,2,1,Pellet,Left,6,4,3,0,5.26,141,nan
2/25/2025 8:02:05,1.16.3,FR1,0,4.16,nan,1,Left,Left,7,4,3,0,nan,nan,0.34
2/25/2025 8:02:11,1.16.3,FR1,0,4.16,1,1,Pellet,Left,7,4,4,0,4.83,1978,nan
2/25/2025 8:13:26,1.16.3,FR1,0,4.16,nan,1,Right,Left,7,5,4,0,nan,nan,1.26
2/25/2025 8:13:27,1.16.3,FR1,0,4.16,nan,1,Right,Left,7,6,4,0,nan,nan,0.00
2/25/2025 8:13:28,1.16.3,FR1,0,4.16,nan,1,Right,Left,7,7,4,0,nan,nan,0.03
2/25/2025 8:13:30,1.16.3,FR1,0,4.16,nan,1,Right,Left,7,8,4,0,nan,nan,0.29
2/25/2025 8:13:32,1.16.3,FR1,0,4.15,nan,1,Right,Left,7,9,4,0,nan,nan,0.11
2/25/2025 8:19:27,1.16.3,FR1,0,4.16,nan,1,Left,Left,8,9,4,0,nan,nan,0.09
2/25/2025 8:19:33,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,8,10,4,0,nan,nan,0.03
2/25/2025 8:22:28,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,9,10,4,0,nan,nan,1.02
2/25/2025 8:27:39,1.16.3,FR1,0,4.15,nan,1,RightWithPellet,Left,9,11,4,0,nan,nan,0.05
2/25/2025 8:27:40,1.16.3,FR1,0,4.15,1,1,Pellet,Left,9,11,5,0,Timed_out,1529,nan
2/25/2025 8:30:25,1.16.3,FR1,0,4.16,nan,1,Left,Left,10,11,5,0,nan,nan,0.27
2/25/2025 8:38:50,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,11,11,5,0,nan,nan,0.08
2/25/2025 8:40:12,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,12,11,5,0,nan,nan,0.27
2/25/2025 8:41:53,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,13,11,5,0,nan,nan,0.05
2/25/2025 8:42:33,1.16.3,FR1,0,4.15,nan,1,LeftWithPellet,Left,14,11,5,0,nan,nan,0.70
2/25/2025 8:44:18,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,14,12,5,0,nan,nan,0.95
2/25/2025 8:44:43,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,14,13,5,0,nan,nan,0.09
2/25/2025 8:45:44,1.16.3,FR1,0,4.15,nan,1,LeftWithPellet,Left,15,13,5,0,nan,nan,0.02
2/25/2025 8:46:07,1.16.3,FR1,0,4.15,nan,1,LeftWithPellet,Left,16,13,5,0,nan,nan,0.04
2/25/2025 8:48:34,1.16.3,FR1,0,4.16,nan,1,RightWithPellet,Left,16,14,5,0,nan,nan,0.13
2/25/2025 8:49:21,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,17,14,5,0,nan,nan,0.80
2/25/2025 8:53:16,1.16.3,FR1,0,4.16,1,1,Pellet,Left,17,14,6,0,Timed_out,1535,nan
2/25/2025 9:16:37,1.16.3,FR1,0,4.16,nan,1,Left,Left,18,14,6,0,nan,nan,0.00
2/25/2025 9:17:05,1.16.3,FR1,0,4.16,nan,1,LeftWithPellet,Left,19,14,6,0,nan,nan,0.15
