MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Pellet_Count_Adj,Pellet_Count,Pellet_Count.1,Retrieval_Time,Pellet_Count.3,Pellet_Count.4,Cum_Sum,Percent_Correct
2023-03-26 09:17:32,1.11.0,FR1_R,0,4.16,1,1,Left,Right,,1,0,0,,0,0,,,0.36,,
2023-03-26 09:18:03,1.11.0,FR1_R,0,4.17,1,1,Left,Right,,2,0,0,,0,0,,,0.04,,
2023-03-26 09:22:23,1.11.0,FR1_R,0,4.17,1,1,Right,Right,,2,0,1,,0,0,,,0.14,,
2023-03-26 09:42:44,1.11.0,FR1_R,0,4.16,3,1,RightWithPellet,Right,,2,0,2,,0,0,,,0.05,,
2023-03-26 09:44:17,1.11.0,FR1_R,0,4.16,3,1,Pellet,Right,0.0,2,1,2,,1,0,Timed_out,,,0.00471698113207547,1.0
2023-03-26 09:44:41,1.11.0,FR1_R,0,4.16,1,1,Right,Right,0.0,2,2,3,,1,0,,,0.08,0.00471698113207547,1.0
2023-03-26 09:45:36,1.11.0,FR1_R,0,4.16,1,1,Pellet,Right,0.0,2,2,3,,2,0,54.23,79.0,,0.00943396226415094,1.0
2023-03-26 09:53:54,1.11.0,FR1_R,0,4.16,1,1,Left,Right,1.0,3,2,3,,2,0,,,0.14,0.00943396226415094,0.666666666666667
2023-03-26 09:55:20,1.11.0,FR1_R,0,4.16,1,1,Left,Right,2.0,4,2,3,,2,0,,,0.03,0.00943396226415094,0.5
2023-03-26 09:55:28,1.11.0,FR1_R,0,4.16,1,1,Left,Right,3.0,5,2,3,,2,0,,,0.02,0.00943396226415094,0.4
2023-03-26 10:07:43,1.11.0,FR1_R,0,4.16,1,1,Left,Right,4.0,6,2,3,0.0,2,0,,,0.0,0.00943396226415094,0.333333333333333
2023-03-26 10:07:46,1.11.0,FR1_R,0,4.16,1,1,Left,Right,5.0,7,2,3,0.0,2,0,,,0.08,0.00943396226415094,0.285714285714286
2023-03-26 10:20:32,1.11.0,FR1_R,0,4.16,1,1,Left,Right,6.0,8,2,3,0.0,2,0,,,0.06,0.00943396226415094,0.25
2023-03-26 10:30:32,1.11.0,FR1_R,0,4.16,1,1,Left,Right,7.0,9,2,3,0.0,2,0,,,0.0,0.00943396226415094,0.222222222222222
2023-03-26 10:31:03,1.11.0,FR1_R,0,4.16,1,1,Left,Right,8.0,10,2,3,0.0,2,0,,,0.16,0.00943396226415094,0.2
