MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Unnamed: 13,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-07-17 08:52:50,1.16.3,FR1_R,0,4.17,,1,Left,Right,,1,,0,,0,0,,,0.04,,
2023-07-17 08:53:37,1.16.3,FR1_R,0,4.17,,1,Right,Right,,1,,1,,0,0,,,0.05,,
2023-07-17 08:55:44,1.16.3,FR1_R,0,4.16,,1,LeftWithPellet,Right,,2,,1,,0,0,,,0.08,,
2023-07-17 08:56:28,1.16.3,FR1_R,0,4.17,2.0,1,Pellet,Right,0.0,2,1.0,1,,1,0,Timed_out,,,0.00342465753424658,1.0
2023-07-17 08:58:44,1.16.3,FR1_R,0,4.17,,1,Left,Right,1.0,3,1.0,1,,1,0,,,0.04,0.00342465753424658,0.5
2023-07-17 09:01:29,1.16.3,FR1_R,0,4.17,,1,Left,Right,2.0,4,1.0,1,,1,0,,,0.05,0.00342465753424658,0.333333333333333
2023-07-17 09:01:35,1.16.3,FR1_R,0,4.17,,1,Right,Right,2.0,4,2.0,2,,1,0,,,0.08,0.00342465753424658,0.5
2023-07-17 09:01:55,1.16.3,FR1_R,0,4.17,2.0,1,Pellet,Right,2.0,4,2.0,2,,2,0,17.14,327.0,,0.00684931506849315,0.5
2023-07-17 09:05:08,1.16.3,FR1_R,0,4.17,,1,Left,Right,3.0,5,2.0,2,,2,0,,,0.13,0.00684931506849315,0.4
2023-07-17 09:05:09,1.16.3,FR1_R,0,4.17,,1,Left,Right,4.0,6,2.0,2,,2,0,,,0.0,0.00684931506849315,0.333333333333333
2023-07-17 09:05:10,1.16.3,FR1_R,0,4.16,,1,Left,Right,5.0,7,2.0,2,,2,0,,,0.0,0.00684931506849315,0.285714285714286
2023-07-17 09:05:13,1.16.3,FR1_R,0,4.17,,1,Right,Right,5.0,7,3.0,3,,2,0,,,0.09,0.00684931506849315,0.375
2023-07-17 09:05:18,1.16.3,FR1_R,0,4.17,1.0,1,Pellet,Right,5.0,7,3.0,3,,3,0,4.94,203.0,,0.0102739726027397,0.375
2023-07-17 09:06:12,1.16.3,FR1_R,0,4.17,,1,Left,Right,6.0,8,3.0,3,,3,0,,,0.06,0.0102739726027397,0.333333333333333
2023-07-17 09:06:12,1.16.3,FR1_R,0,4.16,,1,Left,Right,7.0,9,3.0,3,,3,0,,,0.0,0.0102739726027397,0.3
2023-07-17 09:08:51,1.16.3,FR1_R,0,4.17,,1,Left,Right,8.0,10,3.0,3,,3,0,,,0.01,0.0102739726027397,0.272727272727273
2023-07-17 09:08:53,1.16.3,FR1_R,0,4.16,,1,Left,Right,9.0,11,3.0,3,,3,0,,,0.05,0.0102739726027397,0.25
2023-07-17 09:09:47,1.16.3,FR1_R,0,4.16,,1,Right,Right,9.0,11,4.0,4,,3,0,,,0.06,0.0102739726027397,0.307692307692308
2023-07-17 09:09:52,1.16.3,FR1_R,0,4.17,1.0,1,Pellet,Right,9.0,11,4.0,4,,4,0,4.81,274.0,,0.0136986301369863,0.307692307692308
2023-07-17 09:11:49,1.16.3,FR1_R,0,4.17,,1,Left,Right,10.0,12,4.0,4,,4,0,,,0.11,0.0136986301369863,0.285714285714286
