MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count_Adj,Left_Poke_Count,Right_Poke_Count_Adj,Right_Poke_Count,Pellet_Count_Adj,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Cum_Sum,Percent_Correct
2023-03-26 09:07:57,1.11.0,FR1_R,0,4.12,1,1,Left,Right,0,1,0,0,,0,0,,,0.28,,
2023-03-26 09:08:09,1.11.0,FR1_R,0,4.12,1,1,Right,Right,0,1,1,1,,0,0,,,0.0,,
2023-03-26 09:20:00,1.11.0,FR1_R,0,4.12,3,1,Pellet,Right,0,1,1,1,,1,0,Timed_out,,,0.00469483568075117,1.0
2023-03-26 09:36:27,1.11.0,FR1_R,0,4.12,1,1,Left,Right,1,2,1,1,,1,0,,,0.03,0.00469483568075117,0.5
2023-03-26 10:04:41,1.11.0,FR1_R,0,4.12,1,1,Right,Right,1,2,2,2,0.0,1,0,,,0.05,0.00469483568075117,0.666666666666667
2023-03-26 10:05:40,1.11.0,FR1_R,0,4.12,1,1,Pellet,Right,1,2,2,2,1.0,2,0,58.65,2740.0,,0.00938967136150235,0.666666666666667
2023-03-26 10:10:11,1.11.0,FR1_R,0,4.12,1,1,Right,Right,1,2,3,3,1.0,2,0,,,0.24,0.00938967136150235,0.75
2023-03-26 10:10:46,1.11.0,FR1_R,0,4.12,1,1,Pellet,Right,1,2,3,3,2.0,3,0,33.62,306.0,,0.0140845070422535,0.75
2023-03-26 10:12:36,1.11.0,FR1_R,0,4.12,1,1,Right,Right,1,2,4,4,2.0,3,0,,,0.04,0.0140845070422535,0.8
2023-03-26 10:12:43,1.11.0,FR1_R,0,4.12,1,1,Pellet,Right,1,2,4,4,3.0,4,0,6.55,117.0,,0.0187793427230047,0.8
2023-03-26 10:14:51,1.11.0,FR1_R,0,4.12,1,1,Left,Right,2,3,4,4,3.0,4,0,,,0.03,0.0187793427230047,0.666666666666667
2023-03-26 10:15:51,1.11.0,FR1_R,0,4.12,1,1,Right,Right,2,3,5,5,3.0,4,0,,,0.08,0.0187793427230047,0.714285714285714
2023-03-26 10:16:01,1.11.0,FR1_R,0,4.12,1,1,Pellet,Right,2,3,5,5,4.0,5,0,9.49,198.0,,0.0234741784037559,0.714285714285714
2023-03-26 10:17:14,1.11.0,FR1_R,0,4.12,1,1,Right,Right,2,3,6,6,4.0,5,0,,,0.36,0.0234741784037559,0.75
2023-03-26 10:17:22,1.11.0,FR1_R,0,4.12,1,1,Pellet,Right,2,3,6,6,5.0,6,0,7.44,81.0,,0.028169014084507,0.75
2023-03-26 10:17:45,1.11.0,FR1_R,0,4.12,1,1,Left,Right,3,4,6,6,5.0,6,0,,,0.48,0.028169014084507,0.666666666666667
2023-03-26 10:17:50,1.11.0,FR1_R,0,4.12,1,1,Left,Right,4,5,6,6,5.0,6,0,,,0.34,0.028169014084507,0.6
2023-03-26 10:17:53,1.11.0,FR1_R,0,4.12,1,1,Left,Right,5,6,6,6,5.0,6,0,,,0.32,0.028169014084507,0.545454545454545
2023-03-26 10:18:01,1.11.0,FR1_R,0,4.12,1,1,Left,Right,6,7,6,6,5.0,6,0,,,0.07,0.028169014084507,0.5
2023-03-26 10:18:03,1.11.0,FR1_R,0,4.12,1,1,Left,Right,7,8,6,6,5.0,6,0,,,0.47,0.028169014084507,0.461538461538462
2023-03-26 10:18:16,1.11.0,FR1_R,0,4.12,1,1,Left,Right,8,9,6,6,5.0,6,0,,,0.34,0.028169014084507,0.428571428571429
2023-03-26 10:18:21,1.11.0,FR1_R,0,4.12,1,1,Left,Right,9,10,6,6,5.0,6,0,,,0.37,0.028169014084507,0.4
2023-03-26 10:18:52,1.11.0,FR1_R,0,4.12,1,1,Left,Right,10,11,6,6,5.0,6,0,,,0.27,0.028169014084507,0.375
2023-03-26 10:19:03,1.11.0,FR1_R,0,4.12,1,1,Left,Right,11,12,6,6,5.0,6,0,,,0.52,0.028169014084507,0.352941176470588
2023-03-26 10:19:43,1.11.0,FR1_R,0,4.12,1,1,Left,Right,12,13,6,6,5.0,6,0,,,0.29,0.028169014084507,0.333333333333333
2023-03-26 10:19:56,1.11.0,FR1_R,0,4.12,1,1,Left,Right,13,14,6,6,5.0,6,0,,,0.31,0.028169014084507,0.31578947368421
2023-03-26 10:20:12,1.11.0,FR1_R,0,4.12,1,1,Left,Right,14,15,6,6,5.0,6,0,,,0.6,0.028169014084507,0.3
2023-03-26 10:20:30,1.11.0,FR1_R,0,4.12,1,1,Left,Right,15,16,6,6,5.0,6,0,,,0.23,0.028169014084507,0.285714285714286
2023-03-26 10:21:01,1.11.0,FR1_R,0,4.12,1,1,Left,Right,16,17,6,6,5.0,6,0,,,0.04,0.028169014084507,0.272727272727273
2023-03-26 10:21:03,1.11.0,FR1_R,0,4.12,1,1,Left,Right,17,18,6,6,5.0,6,0,,,0.22,0.028169014084507,0.260869565217391
2023-03-26 10:21:15,1.11.0,FR1_R,0,4.12,1,1,Left,Right,18,19,6,6,5.0,6,0,,,0.13,0.028169014084507,0.25
2023-03-26 10:21:26,1.11.0,FR1_R,0,4.12,1,1,Left,Right,19,20,6,6,5.0,6,0,,,0.65,0.028169014084507,0.24
2023-03-26 10:21:46,1.11.0,FR1_R,0,4.12,1,1,Left,Right,20,21,6,6,5.0,6,0,,,0.07,0.028169014084507,0.230769230769231
2023-03-26 10:22:39,1.11.0,FR1_R,0,4.12,1,1,Left,Right,21,22,6,6,5.0,6,0,,,0.38,0.028169014084507,0.222222222222222
2023-03-26 10:22:50,1.11.0,FR1_R,0,4.12,1,1,Left,Right,22,23,6,6,5.0,6,0,,,0.32,0.028169014084507,0.214285714285714
2023-03-26 10:23:17,1.11.0,FR1_R,0,4.12,1,1,Left,Right,23,24,6,6,5.0,6,0,,,0.12,0.028169014084507,0.206896551724138
2023-03-26 10:23:41,1.11.0,FR1_R,0,4.12,1,1,Left,Right,24,25,6,6,5.0,6,0,,,0.0,0.028169014084507,0.2
2023-03-26 10:24:30,1.11.0,FR1_R,0,4.12,1,1,Left,Right,25,26,6,6,5.0,6,0,,,0.38,0.028169014084507,0.193548387096774
2023-03-26 10:25:38,1.11.0,FR1_R,0,4.12,1,1,Left,Right,26,27,6,6,5.0,6,0,,,0.41,0.028169014084507,0.1875
