MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/13/2024 10:05:50,1.16.3,RevT_L,0,4.11,,99,Left,Left,1,0,0,0,,,0.23
12/13/2024 10:05:50,1.16.3,RevT_L,0,4.11,,99,LeftDuringDispense,Left,2,0,0,0,,,0.01
12/13/2024 10:05:56,1.16.3,RevT_L,0,4.11,2.0,99,Pellet,Left,2,0,1,0,3.48,,
12/13/2024 10:08:23,1.16.3,RevT_L,0,4.11,,99,Right,Left,2,1,1,0,,,0.39
12/13/2024 10:11:23,1.16.3,RevT_L,0,4.11,,99,Right,Left,2,2,1,0,,,0.27
12/13/2024 10:20:16,1.16.3,RevT_L,0,4.11,,99,Left,Left,3,2,1,0,,,0.61
12/13/2024 10:20:25,1.16.3,RevT_L,0,4.11,1.0,99,Pellet,Left,3,2,2,0,8.08,869.0,
12/13/2024 10:26:44,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,3,2,0,,,0.2
12/13/2024 10:27:01,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,4,2,0,,,0.18
12/13/2024 10:27:03,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,5,2,0,,,0.16
12/13/2024 10:27:08,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,6,2,0,,,0.25
12/13/2024 10:28:24,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,7,2,0,,,0.12
12/13/2024 10:33:57,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,8,2,0,,,0.02
12/13/2024 10:34:02,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,9,2,0,,,0.71
12/13/2024 10:34:06,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,10,2,0,,,0.01
12/13/2024 10:34:10,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,11,2,0,,,0.2
12/13/2024 10:34:12,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,12,2,0,,,0.39
12/13/2024 10:34:14,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,13,2,0,,,0.62
12/13/2024 10:34:19,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,14,2,0,,,0.09
12/13/2024 10:34:21,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,15,2,0,,,0.08
12/13/2024 10:34:29,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,16,2,0,,,0.13
12/13/2024 10:34:32,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,17,2,0,,,0.06
12/13/2024 10:34:33,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,18,2,0,,,0.0
12/13/2024 10:35:34,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,19,2,0,,,0.23
12/13/2024 10:35:49,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,20,2,0,,,0.48
12/13/2024 10:35:51,1.16.3,RevT_L,0,4.11,,99,Right,Left,3,21,2,0,,,0.16
