MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/12/2024 6:18:37,1.16.3,FR1,0,4.14,,1,Right,Left,0,1,0,0,,,0.54
12/12/2024 6:21:18,1.16.3,FR1,0,4.14,,1,Left,Left,1,1,0,0,,,0.77
12/12/2024 6:28:48,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,1,2,0,0,,,0.49
12/12/2024 6:30:37,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,2,2,0,0,,,0.24
12/12/2024 6:36:21,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,2,3,0,0,,,0.39
12/12/2024 6:41:53,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,3,3,0,0,,,0.03
12/12/2024 6:41:55,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,4,3,0,0,,,0.02
12/12/2024 6:41:56,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,5,3,0,0,,,0.03
12/12/2024 6:41:57,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,6,3,0,0,,,0.06
12/12/2024 6:41:59,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,7,3,0,0,,,0.56
12/12/2024 6:48:11,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,7,4,0,0,,,0.14
12/12/2024 6:59:32,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,7,5,0,0,,,0.05
12/12/2024 7:15:42,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,7,6,0,0,,,0.01
12/12/2024 7:18:04,1.16.3,FR1,0,4.14,2.0,1,Pellet,Left,7,6,1,0,Timed_out,,
12/12/2024 7:23:25,1.16.3,FR1,0,4.13,,1,Right,Left,7,7,1,0,,,0.25
12/12/2024 7:27:56,1.16.3,FR1,0,4.14,,1,Left,Left,8,7,1,0,,,0.83
12/12/2024 7:27:58,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,9,7,1,0,,,0.52
12/12/2024 7:28:00,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,10,7,1,0,,,0.35
12/12/2024 7:30:42,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,11,7,1,0,,,0.46
12/12/2024 7:30:47,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,12,7,1,0,,,0.1
12/12/2024 7:30:49,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,13,7,1,0,,,0.02
12/12/2024 7:30:52,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,14,7,1,0,,,0.15
12/12/2024 7:30:54,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,15,7,1,0,,,0.13
12/12/2024 7:30:55,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,16,7,1,0,,,0.15
12/12/2024 7:30:56,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,17,7,1,0,,,0.17
12/12/2024 7:32:02,1.16.3,FR1,0,4.13,,1,RightWithPellet,Left,17,8,1,0,,,0.21
12/12/2024 7:32:05,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,17,9,1,0,,,0.3
12/12/2024 7:32:08,1.16.3,FR1,0,4.14,,1,RightWithPellet,Left,17,10,1,0,,,0.28
12/12/2024 7:36:02,1.16.3,FR1,0,4.14,,1,LeftWithPellet,Left,18,10,1,0,,,0.4
