Mouse	Day 1(min)	Day 2(min)	Day 3(min)
C3.M4	  3.55		  0.517		 0.167
C1.M2	  0.6		  0.3		 10.983
C1.M1	  3.0		  4.0		 -1
C2.M3	  1.05		  0.367		 44.9
C2.M1	  0.917		  1.433		 1.85
B5.M2	  0.483		  0.2		 0.067
B11.M3	  0.75		  2.4		 1.067
B11.M2	  0.217		  0.067		 0.233
B5.M3	  0.833		  2.95		 10.983
B5.M1	  1.067		  0.683		 0.633
B11.M1	  0.517		  6.167		 91.083
B7.M2	  1.35		  0.25		 0.467
B5.M4	  23.7		  25.517		 0.217
B11.M5	  0.283		  0.067		 0.383
B11.M4	  0.483		  0.033		 0.033
B7.M4	  0.55		  0.333		 0.233
B12.M2	  2.25		  0.383		 0.25
B12.M3	  0.517		  0.35		 0.55
B12.M1	  8.233		  0.233		 1.55
