Mouse	Day 1(min)	Day 2(min)	Day 3(min)
R1M1	  0.483		  34.833		  3.55
R1M2	  1.4		  0.267		  0.317
R1M3	  51.717		  0		  -1
R1M4	  1.617		  0.983		  1.667
R1M5	  4.7		  1.717		  1.267
R1M6	  1.717		  10.3		  1.783
R1M7	  257.917		  0.783		  0.883
R1M8	  1.483		  1.533		  1.45
R1M9	  35.133		  6.383		  52.483
R2M1	  3.567		  32.733		  5.4
R2M2	  9.033		  2.033		  0.583
R2M3	  52.767		  118.233		  0.067
R2M4	  714.25		  566.017		  36.3
R2M5	  1.117		  14.8		  0.25
R2M6	  53.6		  110.55		  3.35
R2M7	  11.233		  66.8		  1.5
